epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576684704103,2019-12-18T15:58:24.103,0.000,-35.465,-26.608,-70.968
1576684704123,2019-12-18T15:58:24.123,0.020,-34.223,-24.131,-74.162
1576684704142,2019-12-18T15:58:24.142,0.039,-25.915,-14.108,-86.098
1576684704163,2019-12-18T15:58:24.163,0.060,-18.895,-6.951,-97.142
1576684704183,2019-12-18T15:58:24.183,0.080,-16.319,-3.407,-99.802
1576684704202,2019-12-18T15:58:24.202,0.099,-14.672,-3.018,-96.418
1576684704223,2019-12-18T15:58:24.223,0.120,-14.680,3.034,-91.639
1576684704242,2019-12-18T15:58:24.242,0.139,-17.576,19.543,-82.470
1576684704262,2019-12-18T15:58:24.262,0.159,-14.832,33.643,-67.767
1576684704281,2019-12-18T15:58:24.281,0.178,-14.207,37.797,-50.168
1576684704302,2019-12-18T15:58:24.302,0.199,-15.320,33.742,-38.834
1576684704322,2019-12-18T15:58:24.322,0.219,-16.212,2.104,-25.640
1576684704341,2019-12-18T15:58:24.341,0.238,-14.703,-6.433,-22.248
1576684704362,2019-12-18T15:58:24.362,0.259,-10.884,7.279,-24.893
1576684704381,2019-12-18T15:58:24.381,0.278,-5.335,19.192,-22.637
1576684704401,2019-12-18T15:58:24.401,0.298,-0.084,15.998,-12.363
1576684704420,2019-12-18T15:58:24.420,0.317,4.916,12.729,-2.530
1576684704441,2019-12-18T15:58:24.441,0.338,9.261,15.976,-1.966
1576684704461,2019-12-18T15:58:24.461,0.358,11.326,17.492,-2.553
1576684704480,2019-12-18T15:58:24.480,0.377,10.145,12.774,-1.784
1576684704501,2019-12-18T15:58:24.501,0.398,7.409,4.657,-1.029
1576684704520,2019-12-18T15:58:24.520,0.417,4.070,-0.313,-0.503
1576684704541,2019-12-18T15:58:24.541,0.438,1.044,-2.538,-0.175
1576684704560,2019-12-18T15:58:24.560,0.457,0.198,-3.171,-0.152
1576684704580,2019-12-18T15:58:24.580,0.477,0.396,-1.387,-0.404
1576684704601,2019-12-18T15:58:24.601,0.498,0.434,0.595,-0.716
1576684704620,2019-12-18T15:58:24.620,0.517,0.412,0.404,-0.549
1576684704640,2019-12-18T15:58:24.640,0.537,0.503,-0.351,-0.373
1576684704659,2019-12-18T15:58:24.659,0.556,0.762,-0.716,-0.213
1576684704680,2019-12-18T15:58:24.680,0.577,1.189,-0.107,-0.221
1576684704699,2019-12-18T15:58:24.699,0.596,1.776,0.793,-0.206
1576684704719,2019-12-18T15:58:24.719,0.616,1.814,0.381,-0.046
1576684704740,2019-12-18T15:58:24.740,0.637,2.043,-0.305,0.000
1576684704759,2019-12-18T15:58:24.759,0.656,2.050,-1.059,0.267
1576684704779,2019-12-18T15:58:24.779,0.676,1.784,-0.282,0.206
1576684704798,2019-12-18T15:58:24.798,0.695,1.319,0.015,0.091
1576684704819,2019-12-18T15:58:24.819,0.716,0.617,0.069,0.198
1576684704838,2019-12-18T15:58:24.838,0.735,0.412,0.556,0.137
1576684704858,2019-12-18T15:58:24.858,0.755,0.313,0.221,0.046
