epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576840003730,2019-12-20T11:06:43.730,0.000,0.808,0.046,-0.427
1576840003749,2019-12-20T11:06:43.749,0.019,1.021,-0.030,0.427
1576840003770,2019-12-20T11:06:43.770,0.040,1.174,0.595,-0.069
1576840003789,2019-12-20T11:06:43.789,0.059,1.547,0.518,-0.701
1576840003810,2019-12-20T11:06:43.810,0.080,1.669,-0.069,-0.762
1576840003830,2019-12-20T11:06:43.830,0.100,1.768,-0.381,-0.831
1576840003849,2019-12-20T11:06:43.849,0.119,1.814,-0.335,-0.793
1576840003870,2019-12-20T11:06:43.870,0.140,1.532,0.145,-0.602
1576840003889,2019-12-20T11:06:43.889,0.159,1.288,0.396,-0.442
1576840003909,2019-12-20T11:06:43.909,0.179,1.273,0.427,-0.434
1576840003928,2019-12-20T11:06:43.928,0.198,1.471,0.655,-0.610
1576840003949,2019-12-20T11:06:43.949,0.219,1.372,1.425,-0.831
1576840003969,2019-12-20T11:06:43.969,0.239,1.128,2.980,-1.273
1576840003988,2019-12-20T11:06:43.988,0.258,0.709,4.748,-1.753
1576840004009,2019-12-20T11:06:44.009,0.279,0.450,6.151,-2.020
1576840004028,2019-12-20T11:06:44.028,0.298,0.168,6.822,-2.134
1576840004048,2019-12-20T11:06:44.048,0.318,0.008,7.111,-2.287
1576840004067,2019-12-20T11:06:44.067,0.337,0.107,7.378,-2.180
1576840004088,2019-12-20T11:06:44.088,0.358,0.373,7.233,-1.890
1576840004108,2019-12-20T11:06:44.108,0.378,0.534,5.777,-1.448
1576840004127,2019-12-20T11:06:44.127,0.397,0.716,3.338,-1.075
1576840004148,2019-12-20T11:06:44.148,0.418,0.823,1.014,-0.473
1576840004167,2019-12-20T11:06:44.167,0.437,0.869,0.107,0.213
1576840004187,2019-12-20T11:06:44.187,0.457,1.181,0.023,0.412
1576840004206,2019-12-20T11:06:44.206,0.476,1.418,-0.175,0.351
1576840004227,2019-12-20T11:06:44.227,0.497,1.707,-0.762,0.282
1576840004248,2019-12-20T11:06:44.248,0.518,1.928,-0.907,0.213
1576840004267,2019-12-20T11:06:44.267,0.537,1.852,-0.991,0.183
1576840004287,2019-12-20T11:06:44.287,0.557,1.761,-1.258,0.183
1576840004306,2019-12-20T11:06:44.306,0.576,1.684,-1.555,0.465
1576840004327,2019-12-20T11:06:44.327,0.597,1.372,-0.869,0.655
1576840004346,2019-12-20T11:06:44.346,0.616,1.456,0.770,0.099
1576840004366,2019-12-20T11:06:44.366,0.636,1.707,1.837,-0.328
1576840004385,2019-12-20T11:06:44.385,0.655,1.585,1.845,-0.686
1576840004406,2019-12-20T11:06:44.406,0.676,0.938,2.149,-0.907
1576840004426,2019-12-20T11:06:44.426,0.696,0.091,2.066,-0.503
1576840004445,2019-12-20T11:06:44.445,0.715,-0.335,1.883,-0.160
1576840004466,2019-12-20T11:06:44.466,0.736,-0.099,1.883,-0.267
1576840004485,2019-12-20T11:06:44.485,0.755,0.335,2.332,-0.343
1576840004505,2019-12-20T11:06:44.505,0.775,0.648,2.096,-0.373
1576840004524,2019-12-20T11:06:44.524,0.794,0.991,0.960,-0.640
1576840004545,2019-12-20T11:06:44.545,0.815,1.105,-0.229,-0.663
1576840004565,2019-12-20T11:06:44.565,0.835,0.633,-0.274,-0.175
1576840004584,2019-12-20T11:06:44.584,0.854,0.114,-0.008,0.419
1576840004605,2019-12-20T11:06:44.605,0.875,0.534,-0.732,0.473
1576840004624,2019-12-20T11:06:44.624,0.894,1.006,-2.165,0.655
1576840004644,2019-12-20T11:06:44.644,0.914,1.296,-3.399,0.998
1576840004664,2019-12-20T11:06:44.664,0.934,1.669,-4.695,0.930
1576840004684,2019-12-20T11:06:44.684,0.954,1.623,-5.366,0.953
1576840004705,2019-12-20T11:06:44.705,0.975,1.189,-4.779,0.930
