epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1578062483171,2020-01-03T14:41:23.171,0.000,0.221,2.477,2.088
1578062483192,2020-01-03T14:41:23.192,0.021,0.053,2.066,1.677
1578062483212,2020-01-03T14:41:23.212,0.041,0.030,2.279,1.418
1578062483231,2020-01-03T14:41:23.231,0.060,0.137,2.279,1.380
1578062483252,2020-01-03T14:41:23.252,0.081,0.320,2.226,1.204
1578062483271,2020-01-03T14:41:23.271,0.100,0.351,2.012,0.953
1578062483291,2020-01-03T14:41:23.291,0.120,0.396,1.784,0.724
1578062483310,2020-01-03T14:41:23.310,0.139,0.610,1.753,0.511
1578062483331,2020-01-03T14:41:23.331,0.160,0.755,1.639,0.229
1578062483351,2020-01-03T14:41:23.351,0.180,0.739,1.288,-0.046
1578062483370,2020-01-03T14:41:23.370,0.199,0.770,1.059,-0.244
1578062483391,2020-01-03T14:41:23.391,0.220,0.922,1.181,-0.335
1578062483410,2020-01-03T14:41:23.410,0.239,0.938,1.143,-0.335
1578062483430,2020-01-03T14:41:23.430,0.259,1.014,1.143,-0.191
1578062483449,2020-01-03T14:41:23.449,0.278,0.976,1.128,-0.084
1578062483470,2020-01-03T14:41:23.470,0.299,0.724,0.976,-0.015
1578062483490,2020-01-03T14:41:23.490,0.319,0.587,0.892,0.091
1578062483509,2020-01-03T14:41:23.509,0.338,0.534,0.953,0.206
1578062483530,2020-01-03T14:41:23.530,0.359,0.541,0.991,0.213
1578062483549,2020-01-03T14:41:23.549,0.378,0.595,0.953,0.183
1578062483570,2020-01-03T14:41:23.570,0.399,0.663,0.846,0.183
1578062483589,2020-01-03T14:41:23.589,0.418,0.808,0.739,0.107
1578062483609,2020-01-03T14:41:23.609,0.438,0.915,0.495,-0.023
1578062483628,2020-01-03T14:41:23.628,0.457,0.907,0.305,-0.114
1578062483649,2020-01-03T14:41:23.649,0.478,1.006,0.213,-0.198
1578062483669,2020-01-03T14:41:23.669,0.498,1.075,0.229,-0.244
1578062483688,2020-01-03T14:41:23.688,0.517,1.143,0.358,-0.145
1578062483709,2020-01-03T14:41:23.709,0.538,1.204,0.389,-0.030
1578062483728,2020-01-03T14:41:23.728,0.557,1.242,0.511,-0.030
1578062483748,2020-01-03T14:41:23.748,0.577,1.220,0.655,0.061
1578062483767,2020-01-03T14:41:23.767,0.596,1.098,0.686,0.152
1578062483788,2020-01-03T14:41:23.788,0.617,0.983,0.770,0.114
1578062483808,2020-01-03T14:41:23.808,0.637,0.831,0.701,0.046
1578062483827,2020-01-03T14:41:23.827,0.656,0.816,0.564,-0.076
1578062483848,2020-01-03T14:41:23.848,0.677,0.694,0.534,-0.069
1578062483867,2020-01-03T14:41:23.867,0.696,0.640,0.595,-0.008
1578062483887,2020-01-03T14:41:23.887,0.716,0.739,0.663,0.069
1578062483906,2020-01-03T14:41:23.906,0.735,0.686,0.762,0.236
1578062483927,2020-01-03T14:41:23.927,0.756,0.579,0.831,0.320
1578062483947,2020-01-03T14:41:23.947,0.776,0.572,0.960,0.434
1578062483967,2020-01-03T14:41:23.967,0.796,0.465,1.098,0.648
1578062483987,2020-01-03T14:41:23.987,0.816,0.320,1.098,0.716
1578062484006,2020-01-03T14:41:24.006,0.835,0.313,1.082,0.602
1578062484027,2020-01-03T14:41:24.027,0.856,0.328,0.838,0.465
1578062484046,2020-01-03T14:41:24.046,0.875,0.297,0.671,0.152
1578062484066,2020-01-03T14:41:24.066,0.895,0.351,0.488,-0.152
1578062484087,2020-01-03T14:41:24.087,0.916,0.335,0.358,-0.396
1578062484106,2020-01-03T14:41:24.106,0.935,0.442,0.236,-0.655
1578062484126,2020-01-03T14:41:24.126,0.955,0.617,-0.030,-0.861
1578062484145,2020-01-03T14:41:24.145,0.974,0.724,-0.221,-1.090
1578062484166,2020-01-03T14:41:24.166,0.995,0.899,-0.412,-1.227
1578062484185,2020-01-03T14:41:24.185,1.014,1.090,-0.610,-1.334
1578062484205,2020-01-03T14:41:24.205,1.034,1.349,-0.724,-1.441
1578062484224,2020-01-03T14:41:24.224,1.053,1.532,-0.808,-1.517
1578062484245,2020-01-03T14:41:24.245,1.074,1.692,-1.006,-1.563
1578062484265,2020-01-03T14:41:24.265,1.094,1.715,-1.151,-1.463
1578062484284,2020-01-03T14:41:24.284,1.113,1.951,-1.120,-1.402
1578062484305,2020-01-03T14:41:24.305,1.134,2.066,-1.181,-1.296
1578062484324,2020-01-03T14:41:24.324,1.153,2.005,-1.181,-1.227
1578062484344,2020-01-03T14:41:24.344,1.173,1.959,-0.976,-1.105
1578062484363,2020-01-03T14:41:24.363,1.192,1.890,-0.602,-0.930
1578062484384,2020-01-03T14:41:24.384,1.213,1.684,-0.351,-0.747
1578062484404,2020-01-03T14:41:24.404,1.233,1.303,-0.236,-0.701
1578062484424,2020-01-03T14:41:24.424,1.253,1.014,-0.145,-0.579
1578062484444,2020-01-03T14:41:24.444,1.273,0.777,0.030,-0.419
1578062484463,2020-01-03T14:41:24.463,1.292,0.419,0.335,-0.244
1578062484484,2020-01-03T14:41:24.484,1.313,0.297,0.617,-0.061
1578062484503,2020-01-03T14:41:24.503,1.332,0.297,0.716,0.069
1578062484523,2020-01-03T14:41:24.523,1.352,0.290,0.701,0.259
1578062484544,2020-01-03T14:41:24.544,1.373,0.518,0.732,0.412
1578062484563,2020-01-03T14:41:24.563,1.392,0.701,0.724,0.526
1578062484583,2020-01-03T14:41:24.583,1.412,0.816,0.579,0.412
1578062484602,2020-01-03T14:41:24.602,1.431,0.915,0.396,0.221
1578062484623,2020-01-03T14:41:24.623,1.452,0.846,0.290,-0.099
1578062484642,2020-01-03T14:41:24.642,1.471,0.915,0.168,-0.381
1578062484662,2020-01-03T14:41:24.662,1.491,0.892,0.046,-0.640
1578062484683,2020-01-03T14:41:24.683,1.512,0.739,-0.221,-0.899
1578062484702,2020-01-03T14:41:24.702,1.531,0.678,-0.282,-0.991
1578062484722,2020-01-03T14:41:24.722,1.551,0.800,-0.320,-0.991
1578062484741,2020-01-03T14:41:24.741,1.570,0.915,-0.244,-0.884
1578062484762,2020-01-03T14:41:24.762,1.591,0.991,-0.152,-0.755
1578062484781,2020-01-03T14:41:24.781,1.610,1.090,-0.091,-0.541
1578062484801,2020-01-03T14:41:24.801,1.630,1.128,-0.076,-0.373
