epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1578262935774,2020-01-05T22:22:15.774,0.000,0.175,0.434,-1.845
1578262935794,2020-01-05T22:22:15.794,0.020,0.244,0.061,-1.113
1578262935813,2020-01-05T22:22:15.813,0.039,0.130,0.137,-1.654
1578262935834,2020-01-05T22:22:15.834,0.060,0.541,0.252,-1.601
1578262935853,2020-01-05T22:22:15.853,0.079,0.945,0.328,-1.265
1578262935873,2020-01-05T22:22:15.873,0.099,1.197,0.503,-0.816
1578262935894,2020-01-05T22:22:15.894,0.120,1.532,0.526,-0.236
1578262935913,2020-01-05T22:22:15.913,0.139,1.791,0.351,0.488
1578262935933,2020-01-05T22:22:15.933,0.159,1.974,0.457,1.128
1578262935953,2020-01-05T22:22:15.953,0.179,2.218,0.625,1.639
1578262935973,2020-01-05T22:22:15.973,0.199,2.409,0.808,2.127
1578262935992,2020-01-05T22:22:15.992,0.218,2.546,1.075,2.546
1578262936013,2020-01-05T22:22:16.013,0.239,2.477,1.174,2.691
1578262936033,2020-01-05T22:22:16.033,0.259,2.309,1.288,2.736
1578262936052,2020-01-05T22:22:16.052,0.278,2.149,1.349,2.630
1578262936073,2020-01-05T22:22:16.073,0.299,1.768,1.433,2.386
1578262936092,2020-01-05T22:22:16.092,0.318,1.410,1.280,2.035
1578262936112,2020-01-05T22:22:16.112,0.338,0.838,0.861,1.585
1578262936131,2020-01-05T22:22:16.131,0.357,0.244,0.716,1.044
1578262936152,2020-01-05T22:22:16.152,0.378,-0.160,0.800,0.526
1578262936172,2020-01-05T22:22:16.172,0.398,-0.351,0.716,-0.152
1578262936191,2020-01-05T22:22:16.191,0.417,-0.678,-0.183,-0.938
1578262936212,2020-01-05T22:22:16.212,0.438,-0.953,-1.433,-1.639
1578262936231,2020-01-05T22:22:16.231,0.457,-0.968,-1.319,-2.096
1578262936251,2020-01-05T22:22:16.251,0.477,-0.777,-0.274,-2.264
1578262936270,2020-01-05T22:22:16.270,0.496,-0.488,0.701,-2.111
1578262936291,2020-01-05T22:22:16.291,0.517,-0.084,1.113,-1.822
1578262936311,2020-01-05T22:22:16.311,0.537,0.358,0.381,-1.502
1578262936330,2020-01-05T22:22:16.330,0.556,0.739,-0.922,-1.303
1578262936351,2020-01-05T22:22:16.351,0.577,1.250,-1.463,-1.105
1578262936370,2020-01-05T22:22:16.370,0.596,1.555,-1.059,-0.755
1578262936390,2020-01-05T22:22:16.390,0.616,1.776,-0.114,-0.412
1578262936410,2020-01-05T22:22:16.410,0.636,1.837,1.059,-0.030
