epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576685534269,2019-12-18T16:12:14.269,0.000,1.235,0.114,0.008
1576685534288,2019-12-18T16:12:14.288,0.019,0.701,0.084,0.076
1576685534309,2019-12-18T16:12:14.309,0.040,0.640,0.076,-0.305
1576685534328,2019-12-18T16:12:14.328,0.059,0.655,-0.107,-0.145
1576685534349,2019-12-18T16:12:14.349,0.080,0.595,-0.206,-0.091
1576685534369,2019-12-18T16:12:14.369,0.100,0.640,-0.137,-0.130
1576685534388,2019-12-18T16:12:14.388,0.119,0.716,0.015,-0.198
1576685534409,2019-12-18T16:12:14.409,0.140,0.694,0.107,-0.259
1576685534428,2019-12-18T16:12:14.428,0.159,0.716,0.076,-0.328
1576685534448,2019-12-18T16:12:14.448,0.179,0.808,0.122,-0.343
1576685534467,2019-12-18T16:12:14.467,0.198,0.724,0.191,-0.381
1576685534488,2019-12-18T16:12:14.488,0.219,0.694,0.267,-0.442
1576685534508,2019-12-18T16:12:14.508,0.239,0.816,0.373,-0.351
1576685534527,2019-12-18T16:12:14.527,0.258,0.877,0.473,-0.290
1576685534548,2019-12-18T16:12:14.548,0.279,0.938,0.495,-0.130
1576685534567,2019-12-18T16:12:14.567,0.298,1.120,0.465,-0.038
1576685534587,2019-12-18T16:12:14.587,0.318,1.418,0.663,-0.023
1576685534606,2019-12-18T16:12:14.606,0.337,1.730,1.006,-0.267
1576685534627,2019-12-18T16:12:14.627,0.358,2.043,1.334,-0.381
1576685534647,2019-12-18T16:12:14.647,0.378,2.317,1.463,-0.373
1576685534666,2019-12-18T16:12:14.666,0.397,2.401,1.303,-0.419
1576685534687,2019-12-18T16:12:14.687,0.418,2.447,1.159,-0.389
1576685534706,2019-12-18T16:12:14.706,0.437,2.279,0.877,-0.335
1576685534726,2019-12-18T16:12:14.726,0.457,1.913,0.434,-0.099
1576685534746,2019-12-18T16:12:14.746,0.477,1.593,0.084,-0.076
1576685534766,2019-12-18T16:12:14.766,0.497,1.288,0.152,-0.046
1576685534785,2019-12-18T16:12:14.785,0.516,1.067,0.229,0.061
1576685534806,2019-12-18T16:12:14.806,0.537,0.816,0.206,0.015
1576685534826,2019-12-18T16:12:14.826,0.557,0.694,0.335,-0.015
1576685534845,2019-12-18T16:12:14.845,0.576,0.694,0.412,-0.107
1576685534866,2019-12-18T16:12:14.866,0.597,0.686,0.427,-0.145
1576685534885,2019-12-18T16:12:14.885,0.616,0.831,0.305,-0.084
1576685534905,2019-12-18T16:12:14.905,0.636,0.884,0.221,0.000
1576685534924,2019-12-18T16:12:14.924,0.655,1.059,0.191,0.091
1576685534945,2019-12-18T16:12:14.945,0.676,1.319,0.351,0.175
1576685534965,2019-12-18T16:12:14.965,0.696,1.563,0.572,0.290
1576685534984,2019-12-18T16:12:14.984,0.715,1.646,0.473,0.450
1576685535005,2019-12-18T16:12:15.005,0.736,1.608,0.023,0.648
1576685535024,2019-12-18T16:12:15.024,0.755,1.570,-0.236,0.694
1576685535044,2019-12-18T16:12:15.044,0.775,1.532,-0.274,0.663
1576685535063,2019-12-18T16:12:15.063,0.794,1.563,-0.297,0.564
1576685535084,2019-12-18T16:12:15.084,0.815,1.456,-0.351,0.427
1576685535104,2019-12-18T16:12:15.104,0.835,1.296,-0.213,0.236
1576685535123,2019-12-18T16:12:15.123,0.854,1.059,-0.008,0.015
1576685535144,2019-12-18T16:12:15.144,0.875,0.701,0.137,-0.297
1576685535163,2019-12-18T16:12:15.163,0.894,0.480,0.290,-0.511
1576685535183,2019-12-18T16:12:15.183,0.914,0.030,0.381,-0.739
1576685535203,2019-12-18T16:12:15.203,0.934,-0.343,0.770,-0.953
1576685535223,2019-12-18T16:12:15.223,0.954,-0.488,1.273,-1.067
1576685535244,2019-12-18T16:12:15.244,0.975,-0.480,1.585,-1.082
1576685535263,2019-12-18T16:12:15.263,0.994,-0.351,1.623,-1.181
1576685535283,2019-12-18T16:12:15.283,1.014,-0.213,1.387,-1.075
1576685535302,2019-12-18T16:12:15.302,1.033,0.000,1.082,-0.861
1576685535323,2019-12-18T16:12:15.323,1.054,0.343,0.861,-0.640
1576685535342,2019-12-18T16:12:15.342,1.073,0.640,0.572,-0.404
1576685535362,2019-12-18T16:12:15.362,1.093,0.816,0.244,-0.030
1576685535381,2019-12-18T16:12:15.381,1.112,1.212,-0.183,0.434
1576685535402,2019-12-18T16:12:15.402,1.133,1.608,-0.640,0.838
1576685535422,2019-12-18T16:12:15.422,1.153,1.928,-1.159,1.166
1576685535441,2019-12-18T16:12:15.441,1.172,2.050,-1.646,1.280
