epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1578263380075,2020-01-05T22:29:40.075,0.000,-0.119,-0.997,-0.066
1578263380095,2020-01-05T22:29:40.095,0.020,-0.118,-1.007,-0.064
1578263380116,2020-01-05T22:29:40.116,0.041,-0.119,-1.004,-0.064
1578263380135,2020-01-05T22:29:40.135,0.060,-0.120,-1.003,-0.060
1578263380156,2020-01-05T22:29:40.156,0.081,-0.122,-1.003,-0.058
1578263380175,2020-01-05T22:29:40.175,0.100,-0.123,-1.002,-0.056
1578263380195,2020-01-05T22:29:40.195,0.120,-0.127,-1.000,-0.053
1578263380214,2020-01-05T22:29:40.214,0.139,-0.128,-1.000,-0.049
1578263380235,2020-01-05T22:29:40.235,0.160,-0.128,-0.999,-0.048
1578263380254,2020-01-05T22:29:40.254,0.179,-0.123,-0.998,-0.051
1578263380274,2020-01-05T22:29:40.274,0.199,-0.116,-1.005,-0.050
1578263380295,2020-01-05T22:29:40.295,0.220,-0.126,-1.004,-0.047
1578263380314,2020-01-05T22:29:40.314,0.239,-0.124,-1.002,-0.045
1578263380334,2020-01-05T22:29:40.334,0.259,-0.148,-0.995,-0.047
1578263380353,2020-01-05T22:29:40.353,0.278,-0.185,-0.989,-0.043
1578263380374,2020-01-05T22:29:40.374,0.299,-0.179,-0.992,-0.045
1578263380393,2020-01-05T22:29:40.393,0.318,-0.149,-0.998,-0.054
1578263380413,2020-01-05T22:29:40.413,0.338,-0.130,-1.001,-0.057
1578263380434,2020-01-05T22:29:40.434,0.359,-0.120,-1.002,-0.059
1578263380453,2020-01-05T22:29:40.453,0.378,-0.126,-1.005,-0.065
1578263380473,2020-01-05T22:29:40.473,0.398,-0.138,-1.004,-0.065
1578263380492,2020-01-05T22:29:40.492,0.417,-0.158,-1.002,-0.063
1578263380513,2020-01-05T22:29:40.513,0.438,-0.162,-1.001,-0.061
1578263380532,2020-01-05T22:29:40.532,0.457,-0.145,-0.999,-0.061
1578263380553,2020-01-05T22:29:40.553,0.478,-0.116,-1.004,-0.061
1578263380573,2020-01-05T22:29:40.573,0.498,-0.099,-1.005,-0.062
1578263380592,2020-01-05T22:29:40.592,0.517,-0.107,-1.005,-0.062
1578263380613,2020-01-05T22:29:40.613,0.538,-0.123,-1.004,-0.058
1578263380632,2020-01-05T22:29:40.632,0.557,-0.134,-1.002,-0.053
1578263380652,2020-01-05T22:29:40.652,0.577,-0.141,-0.999,-0.044
1578263380671,2020-01-05T22:29:40.671,0.596,-0.153,-0.995,-0.029
1578263380692,2020-01-05T22:29:40.692,0.617,-0.177,-0.990,-0.032
1578263380712,2020-01-05T22:29:40.712,0.637,-0.110,-1.003,-0.108
1578263380731,2020-01-05T22:29:40.731,0.656,-0.052,-1.023,-0.072
1578263380752,2020-01-05T22:29:40.752,0.677,-0.116,-1.000,-0.052
1578263380771,2020-01-05T22:29:40.771,0.696,-0.136,-0.995,-0.060
1578263380791,2020-01-05T22:29:40.791,0.716,-0.099,-1.006,-0.056
1578263380810,2020-01-05T22:29:40.810,0.735,-0.105,-1.008,-0.046
1578263380831,2020-01-05T22:29:40.831,0.756,-0.129,-1.002,-0.042
1578263380851,2020-01-05T22:29:40.851,0.776,-0.132,-1.000,-0.052
1578263380870,2020-01-05T22:29:40.870,0.795,-0.121,-1.004,-0.052
1578263380891,2020-01-05T22:29:40.891,0.816,-0.109,-1.005,-0.053
1578263380910,2020-01-05T22:29:40.910,0.835,-0.116,-1.005,-0.058
1578263380930,2020-01-05T22:29:40.930,0.855,-0.111,-1.004,-0.069
1578263380949,2020-01-05T22:29:40.949,0.874,-0.110,-1.006,-0.066
1578263380970,2020-01-05T22:29:40.970,0.895,-0.116,-1.004,-0.054
1578263380990,2020-01-05T22:29:40.990,0.915,-0.122,-1.003,-0.052
1578263381010,2020-01-05T22:29:41.010,0.935,-0.122,-1.001,-0.054
1578263381030,2020-01-05T22:29:41.030,0.955,-0.119,-1.003,-0.050
1578263381049,2020-01-05T22:29:41.049,0.974,-0.118,-1.003,-0.047
1578263381070,2020-01-05T22:29:41.070,0.995,-0.116,-1.003,-0.051
1578263381089,2020-01-05T22:29:41.089,1.014,-0.118,-1.004,-0.049
1578263381109,2020-01-05T22:29:41.109,1.034,-0.121,-1.002,-0.045
1578263381128,2020-01-05T22:29:41.128,1.053,-0.121,-1.002,-0.045
1578263381149,2020-01-05T22:29:41.149,1.074,-0.119,-1.001,-0.049
1578263381169,2020-01-05T22:29:41.169,1.094,-0.117,-1.002,-0.048
1578263381188,2020-01-05T22:29:41.188,1.113,-0.115,-1.003,-0.048
1578263381209,2020-01-05T22:29:41.209,1.134,-0.113,-1.004,-0.047
1578263381228,2020-01-05T22:29:41.228,1.153,-0.110,-1.004,-0.047
1578263381248,2020-01-05T22:29:41.248,1.173,-0.110,-1.004,-0.047
1578263381267,2020-01-05T22:29:41.267,1.192,-0.107,-1.004,-0.048
1578263381288,2020-01-05T22:29:41.288,1.213,-0.105,-1.003,-0.046
1578263381308,2020-01-05T22:29:41.308,1.233,-0.102,-1.005,-0.048
1578263381327,2020-01-05T22:29:41.327,1.252,-0.097,-1.006,-0.050
1578263381348,2020-01-05T22:29:41.348,1.273,-0.096,-1.005,-0.047
1578263381367,2020-01-05T22:29:41.367,1.292,-0.096,-1.006,-0.048
1578263381387,2020-01-05T22:29:41.387,1.312,-0.097,-1.007,-0.046
1578263381407,2020-01-05T22:29:41.407,1.332,-0.097,-1.005,-0.047
1578263381427,2020-01-05T22:29:41.427,1.352,-0.096,-1.006,-0.050
1578263381448,2020-01-05T22:29:41.448,1.373,-0.097,-1.007,-0.047
1578263381467,2020-01-05T22:29:41.467,1.392,-0.099,-1.005,-0.047
1578263381487,2020-01-05T22:29:41.487,1.412,-0.104,-1.004,-0.047
1578263381506,2020-01-05T22:29:41.506,1.431,-0.105,-1.003,-0.048
1578263381527,2020-01-05T22:29:41.527,1.452,-0.105,-1.005,-0.049
1578263381546,2020-01-05T22:29:41.546,1.471,-0.104,-1.005,-0.050
1578263381566,2020-01-05T22:29:41.566,1.491,-0.103,-1.005,-0.050
1578263381587,2020-01-05T22:29:41.587,1.512,-0.097,-1.006,-0.050
1578263381606,2020-01-05T22:29:41.606,1.531,-0.099,-1.006,-0.049
1578263381626,2020-01-05T22:29:41.626,1.551,-0.102,-1.008,-0.052
1578263381645,2020-01-05T22:29:41.645,1.570,-0.100,-1.005,-0.052
1578263381666,2020-01-05T22:29:41.666,1.591,-0.099,-1.007,-0.052
1578263381685,2020-01-05T22:29:41.685,1.610,-0.100,-1.007,-0.052
1578263381705,2020-01-05T22:29:41.705,1.630,-0.105,-1.005,-0.050
1578263381726,2020-01-05T22:29:41.726,1.651,-0.106,-1.005,-0.050
1578263381745,2020-01-05T22:29:41.745,1.670,-0.109,-1.005,-0.048
1578263381765,2020-01-05T22:29:41.765,1.690,-0.114,-1.004,-0.044
1578263381784,2020-01-05T22:29:41.784,1.709,-0.113,-1.004,-0.044
1578263381805,2020-01-05T22:29:41.805,1.730,-0.111,-1.005,-0.043
1578263381824,2020-01-05T22:29:41.824,1.749,-0.109,-1.007,-0.046
1578263381844,2020-01-05T22:29:41.844,1.769,-0.108,-1.009,-0.045
1578263381864,2020-01-05T22:29:41.864,1.789,-0.104,-1.012,-0.047
1578263381884,2020-01-05T22:29:41.884,1.809,-0.100,-1.028,-0.054
1578263381905,2020-01-05T22:29:41.905,1.830,-0.104,-1.060,-0.069
1578263381924,2020-01-05T22:29:41.924,1.849,-0.120,-1.107,-0.047
1578263381944,2020-01-05T22:29:41.944,1.869,-0.181,-1.136,-0.010
1578263381963,2020-01-05T22:29:41.963,1.888,-0.179,-1.194,0.084
1578263381984,2020-01-05T22:29:41.984,1.909,-0.113,-1.277,0.243
1578263382003,2020-01-05T22:29:42.003,1.928,-0.142,-1.276,0.254
1578263382023,2020-01-05T22:29:42.023,1.948,-0.125,-1.252,0.138
1578263382044,2020-01-05T22:29:42.044,1.969,-0.110,-1.247,0.169
1578263382063,2020-01-05T22:29:42.063,1.988,-0.207,-1.256,0.349
1578263382083,2020-01-05T22:29:42.083,2.008,-0.222,-1.201,0.477
1578263382102,2020-01-05T22:29:42.102,2.027,-0.132,-1.122,0.437
1578263382123,2020-01-05T22:29:42.123,2.048,-0.104,-1.069,0.366
1578263382142,2020-01-05T22:29:42.142,2.067,-0.082,-1.006,0.354
1578263382162,2020-01-05T22:29:42.162,2.087,-0.043,-0.949,0.356
1578263382183,2020-01-05T22:29:42.183,2.108,-0.024,-0.913,0.308
1578263382202,2020-01-05T22:29:42.202,2.127,-0.024,-0.877,0.242
1578263382222,2020-01-05T22:29:42.222,2.147,-0.038,-0.832,0.193
1578263382241,2020-01-05T22:29:42.241,2.166,-0.062,-0.796,0.153
1578263382262,2020-01-05T22:29:42.262,2.187,-0.087,-0.784,0.103
1578263382281,2020-01-05T22:29:42.281,2.206,-0.106,-0.792,0.060
1578263382302,2020-01-05T22:29:42.302,2.227,-0.109,-0.799,0.020
1578263382322,2020-01-05T22:29:42.322,2.247,-0.115,-0.789,-0.024
1578263382341,2020-01-05T22:29:42.341,2.266,-0.126,-0.788,-0.075
1578263382362,2020-01-05T22:29:42.362,2.287,-0.115,-0.800,-0.162
1578263382381,2020-01-05T22:29:42.381,2.306,-0.090,-0.844,-0.214
1578263382401,2020-01-05T22:29:42.401,2.326,-0.068,-0.895,-0.209
1578263382420,2020-01-05T22:29:42.420,2.345,-0.073,-0.910,-0.218
1578263382441,2020-01-05T22:29:42.441,2.366,-0.081,-0.936,-0.255
1578263382461,2020-01-05T22:29:42.461,2.386,-0.102,-0.975,-0.256
1578263382480,2020-01-05T22:29:42.480,2.405,-0.141,-1.027,-0.258
1578263382501,2020-01-05T22:29:42.501,2.426,-0.164,-1.085,-0.261
