epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1578263853544,2020-01-05T22:37:33.544,0.000,0.412,0.152,-0.724
1578263853563,2020-01-05T22:37:33.563,0.019,0.259,0.366,-0.267
1578263853583,2020-01-05T22:37:33.583,0.039,0.206,0.053,-0.716
1578263853602,2020-01-05T22:37:33.602,0.058,0.274,0.015,-0.625
1578263853623,2020-01-05T22:37:33.623,0.079,0.366,-0.213,-0.473
1578263853643,2020-01-05T22:37:33.643,0.099,0.518,-0.137,-0.457
1578263853662,2020-01-05T22:37:33.662,0.118,0.838,0.160,-0.343
1578263853683,2020-01-05T22:37:33.683,0.139,1.113,0.358,-0.351
1578263853702,2020-01-05T22:37:33.702,0.158,1.273,0.236,-0.305
1578263853722,2020-01-05T22:37:33.722,0.178,1.380,0.023,-0.297
1578263853741,2020-01-05T22:37:33.741,0.197,1.471,-0.114,-0.267
1578263853762,2020-01-05T22:37:33.762,0.218,1.372,0.091,-0.229
1578263853781,2020-01-05T22:37:33.781,0.237,1.250,0.358,-0.137
1578263853801,2020-01-05T22:37:33.801,0.257,1.029,0.480,-0.122
1578263853822,2020-01-05T22:37:33.822,0.278,0.732,0.495,-0.069
1578263853841,2020-01-05T22:37:33.841,0.297,0.503,0.434,-0.130
1578263853862,2020-01-05T22:37:33.862,0.318,0.183,0.320,-0.236
1578263853881,2020-01-05T22:37:33.881,0.337,0.114,0.259,-0.259
1578263853901,2020-01-05T22:37:33.901,0.357,-0.008,0.122,-0.274
1578263853920,2020-01-05T22:37:33.920,0.376,0.015,0.313,-0.457
1578263853941,2020-01-05T22:37:33.941,0.397,0.175,0.427,-0.480
1578263853961,2020-01-05T22:37:33.961,0.417,0.335,0.480,-0.633
1578263853980,2020-01-05T22:37:33.980,0.436,0.480,0.373,-0.816
1578263854001,2020-01-05T22:37:34.001,0.457,0.457,0.053,-1.052
1578263854020,2020-01-05T22:37:34.020,0.476,0.274,-0.694,-1.189
1578263854040,2020-01-05T22:37:34.040,0.496,0.305,-1.341,-1.486
1578263854059,2020-01-05T22:37:34.059,0.515,0.290,-1.258,-1.707
1578263854080,2020-01-05T22:37:34.080,0.536,0.244,-0.434,-1.928
1578263854100,2020-01-05T22:37:34.100,0.556,0.114,0.252,-2.081
1578263854119,2020-01-05T22:37:34.119,0.575,0.282,1.547,-2.317
1578263854140,2020-01-05T22:37:34.140,0.596,0.297,2.180,-2.668
1578263854159,2020-01-05T22:37:34.159,0.615,0.053,1.494,-2.988
1578263854179,2020-01-05T22:37:34.179,0.635,-0.259,1.425,-3.201
1578263854198,2020-01-05T22:37:34.198,0.654,-0.633,2.035,-3.285
1578263854219,2020-01-05T22:37:34.219,0.675,-0.976,1.730,-3.255
1578263854239,2020-01-05T22:37:34.239,0.695,-1.319,0.244,-3.384
1578263854259,2020-01-05T22:37:34.259,0.715,-1.502,-0.800,-3.491
1578263854279,2020-01-05T22:37:34.279,0.735,-1.799,-1.341,-3.422
1578263854298,2020-01-05T22:37:34.298,0.754,-1.707,-0.335,-3.361
1578263854319,2020-01-05T22:37:34.319,0.775,-1.570,-0.236,-3.003
1578263854338,2020-01-05T22:37:34.338,0.794,-1.349,-0.617,-2.820
1578263854358,2020-01-05T22:37:34.358,0.814,-1.151,-1.235,-2.622
1578263854379,2020-01-05T22:37:34.379,0.835,-1.037,-1.776,-2.447
1578263854398,2020-01-05T22:37:34.398,0.854,-0.785,-1.959,-2.279
1578263854418,2020-01-05T22:37:34.418,0.874,-0.381,-2.332,-2.210
1578263854437,2020-01-05T22:37:34.437,0.893,-0.030,-2.218,-2.134
1578263854458,2020-01-05T22:37:34.458,0.914,0.572,-1.204,-1.974
1578263854477,2020-01-05T22:37:34.477,0.933,1.029,-0.488,-1.791
1578263854497,2020-01-05T22:37:34.497,0.953,1.616,0.084,-1.662
1578263854518,2020-01-05T22:37:34.518,0.974,1.936,-0.465,-1.547
1578263854537,2020-01-05T22:37:34.537,0.993,2.248,-1.433,-1.174
1578263854557,2020-01-05T22:37:34.557,1.013,2.729,-1.242,-0.617
1578263854576,2020-01-05T22:37:34.576,1.032,3.262,-0.099,0.008
1578263854597,2020-01-05T22:37:34.597,1.053,3.826,0.755,0.892
1578263854616,2020-01-05T22:37:34.616,1.072,4.017,1.105,1.745
1578263854636,2020-01-05T22:37:34.636,1.092,4.078,1.395,2.523
1578263854656,2020-01-05T22:37:34.656,1.112,4.200,1.288,2.950
1578263854676,2020-01-05T22:37:34.676,1.132,4.284,0.808,3.072
1578263854697,2020-01-05T22:37:34.697,1.153,4.276,-0.099,3.194
1578263854716,2020-01-05T22:37:34.716,1.172,4.268,-0.107,3.178
1578263854736,2020-01-05T22:37:34.736,1.192,4.215,0.808,3.011
1578263854755,2020-01-05T22:37:34.755,1.211,4.238,1.852,2.729
1578263854776,2020-01-05T22:37:34.776,1.232,4.108,2.660,2.409
1578263854795,2020-01-05T22:37:34.795,1.251,4.101,2.599,1.928
