epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576759693973,2019-12-19T12:48:13.973,0.000,1.479,8.537,-3.933
1576759693992,2019-12-19T12:48:13.992,0.019,1.288,11.029,-4.566
1576759694013,2019-12-19T12:48:14.013,0.040,2.569,20.549,-4.177
1576759694032,2019-12-19T12:48:14.032,0.059,3.933,25.419,-2.637
1576759694052,2019-12-19T12:48:14.052,0.079,4.131,23.948,-2.439
1576759694071,2019-12-19T12:48:14.071,0.098,3.834,17.180,-2.508
1576759694092,2019-12-19T12:48:14.092,0.119,3.727,12.157,-2.195
1576759694111,2019-12-19T12:48:14.111,0.138,4.428,14.695,-2.454
1576759694131,2019-12-19T12:48:14.131,0.158,4.002,23.445,-4.146
1576759694152,2019-12-19T12:48:14.152,0.179,3.361,29.451,-6.563
1576759694171,2019-12-19T12:48:14.171,0.198,2.454,36.151,-10.884
1576759694191,2019-12-19T12:48:14.191,0.218,6.082,53.819,-16.715
1576759694211,2019-12-19T12:48:14.211,0.238,5.008,63.155,-19.611
1576759694231,2019-12-19T12:48:14.231,0.258,-0.983,71.563,-22.386
1576759694250,2019-12-19T12:48:14.250,0.277,-5.434,61.220,-21.212
1576759694271,2019-12-19T12:48:14.271,0.298,-8.445,30.983,-23.072
1576759694291,2019-12-19T12:48:14.291,0.318,-9.002,9.093,-24.688
1576759694310,2019-12-19T12:48:14.310,0.337,-7.729,4.245,-22.104
1576759694331,2019-12-19T12:48:14.331,0.358,-5.915,7.858,-12.995
1576759694350,2019-12-19T12:48:14.350,0.377,-2.134,14.032,-1.105
1576759694370,2019-12-19T12:48:14.370,0.397,2.470,20.671,-0.358
1576759694389,2019-12-19T12:48:14.389,0.416,3.095,23.072,-1.250
1576759694410,2019-12-19T12:48:14.410,0.437,1.235,19.047,-0.831
1576759694430,2019-12-19T12:48:14.430,0.457,-1.052,11.280,-0.747
1576759694449,2019-12-19T12:48:14.449,0.476,-2.096,1.059,-0.335
1576759694470,2019-12-19T12:48:14.470,0.497,-0.015,-1.563,-0.046
1576759694489,2019-12-19T12:48:14.489,0.516,1.616,-2.012,-0.130
1576759694509,2019-12-19T12:48:14.509,0.536,1.761,-1.593,-0.213
1576759694528,2019-12-19T12:48:14.528,0.555,1.120,-0.998,-0.130
1576759694549,2019-12-19T12:48:14.549,0.576,1.113,0.175,-0.114
1576759694569,2019-12-19T12:48:14.569,0.596,0.869,1.784,-0.198
1576759694588,2019-12-19T12:48:14.588,0.615,0.564,2.492,-0.229
1576759694609,2019-12-19T12:48:14.609,0.636,0.579,1.303,-0.267
1576759694628,2019-12-19T12:48:14.628,0.655,0.480,-0.907,-0.183
1576759694649,2019-12-19T12:48:14.649,0.676,-0.038,-0.579,-0.198
1576759694668,2019-12-19T12:48:14.668,0.695,-0.396,1.227,-0.175
1576759694688,2019-12-19T12:48:14.688,0.715,0.160,1.601,-0.168
1576759694707,2019-12-19T12:48:14.707,0.734,0.518,1.288,-0.137
1576759694728,2019-12-19T12:48:14.728,0.755,0.701,0.442,-0.114
1576759694748,2019-12-19T12:48:14.748,0.775,0.983,0.495,-0.183
1576759694767,2019-12-19T12:48:14.767,0.794,0.945,-0.793,-0.114
1576759694788,2019-12-19T12:48:14.788,0.815,0.442,-0.777,-0.091
1576759694807,2019-12-19T12:48:14.807,0.834,0.313,0.252,-0.145
1576759694827,2019-12-19T12:48:14.827,0.854,0.838,0.145,-0.160
1576759694846,2019-12-19T12:48:14.846,0.873,0.884,0.061,-0.259
1576759694867,2019-12-19T12:48:14.867,0.894,0.724,-0.541,-0.221
1576759694887,2019-12-19T12:48:14.887,0.914,0.816,-0.877,-0.175
1576759694906,2019-12-19T12:48:14.906,0.933,1.014,-0.785,-0.122
1576759694927,2019-12-19T12:48:14.927,0.954,1.357,-0.114,-0.152
1576759694946,2019-12-19T12:48:14.946,0.973,1.944,0.343,-0.267
1576759694966,2019-12-19T12:48:14.966,0.993,3.155,0.099,-0.282
1576759694985,2019-12-19T12:48:14.985,1.012,5.008,-0.518,-0.282
1576759695006,2019-12-19T12:48:15.006,1.033,8.095,0.343,-0.488
1576759695026,2019-12-19T12:48:15.026,1.053,13.811,1.761,-0.869
1576759695045,2019-12-19T12:48:15.045,1.072,22.294,2.454,-1.631
1576759695066,2019-12-19T12:48:15.066,1.093,31.044,-0.069,-2.538
1576759695085,2019-12-19T12:48:15.085,1.112,37.569,-3.864,0.762
1576759695106,2019-12-19T12:48:15.106,1.133,44.367,-1.601,22.995
1576759695125,2019-12-19T12:48:15.125,1.152,47.912,3.803,48.110
1576759695145,2019-12-19T12:48:15.145,1.172,54.497,-13.986,52.919
1576759695166,2019-12-19T12:48:15.166,1.193,67.043,-14.078,20.465
1576759695185,2019-12-19T12:48:15.185,1.212,84.352,39.238,19.215
1576759695205,2019-12-19T12:48:15.205,1.232,82.805,62.569,27.424
1576759695224,2019-12-19T12:48:15.224,1.251,67.378,56.456,25.808
1576759695245,2019-12-19T12:48:15.245,1.272,57.241,75.511,34.139
1576759695264,2019-12-19T12:48:15.264,1.291,41.799,157.912,33.453
1576759695284,2019-12-19T12:48:15.284,1.311,14.718,249.748,-11.494
1576759695305,2019-12-19T12:48:15.305,1.332,-9.992,249.748,-46.570
1576759695324,2019-12-19T12:48:15.324,1.351,-33.262,234.649,-67.492
1576759695344,2019-12-19T12:48:15.344,1.371,-49.154,203.498,-95.945
1576759695363,2019-12-19T12:48:15.363,1.390,-58.201,195.953,-122.622
1576759695384,2019-12-19T12:48:15.384,1.411,-62.919,206.738,-147.660
1576759695403,2019-12-19T12:48:15.403,1.430,-67.271,210.236,-174.253
1576759695423,2019-12-19T12:48:15.423,1.450,-76.212,201.814,-201.448
1576759695442,2019-12-19T12:48:15.442,1.469,-88.613,195.473,-222.904
