epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576835472428,2019-12-20T09:51:12.428,0.000,12.683,-5.320,-15.297
1576835472448,2019-12-20T09:51:12.448,0.020,11.921,-5.053,-14.314
1576835472467,2019-12-20T09:51:12.467,0.039,9.352,-1.921,-9.802
1576835472488,2019-12-20T09:51:12.488,0.060,6.311,2.264,-5.998
1576835472507,2019-12-20T09:51:12.507,0.079,2.912,3.338,-6.395
1576835472528,2019-12-20T09:51:12.528,0.100,-2.226,-0.739,-6.524
1576835472547,2019-12-20T09:51:12.547,0.119,-9.169,-0.655,-6.997
1576835472567,2019-12-20T09:51:12.567,0.139,-18.369,4.581,-9.078
1576835472588,2019-12-20T09:51:12.588,0.160,-27.622,13.803,-11.258
1576835472607,2019-12-20T09:51:12.607,0.179,-13.087,8.430,-11.639
1576835472627,2019-12-20T09:51:12.627,0.199,35.877,-25.907,-8.742
1576835472646,2019-12-20T09:51:12.646,0.218,30.922,-56.082,1.181
1576835472667,2019-12-20T09:51:12.667,0.239,16.532,-9.063,2.485
1576835472686,2019-12-20T09:51:12.686,0.258,6.966,36.966,2.035
1576835472706,2019-12-20T09:51:12.706,0.278,9.893,16.852,-1.753
1576835472727,2019-12-20T09:51:12.727,0.299,13.194,-9.817,-4.802
1576835472746,2019-12-20T09:51:12.746,0.318,11.662,-16.814,-2.950
1576835472766,2019-12-20T09:51:12.766,0.338,8.712,-10.998,-1.463
1576835472785,2019-12-20T09:51:12.785,0.357,7.409,2.736,-2.188
1576835472806,2019-12-20T09:51:12.806,0.378,8.521,7.965,-2.104
1576835472825,2019-12-20T09:51:12.825,0.397,9.390,3.773,-2.203
1576835472845,2019-12-20T09:51:12.845,0.417,8.742,-0.770,-2.576
1576835472866,2019-12-20T09:51:12.866,0.438,6.646,-6.341,-1.380
1576835472885,2019-12-20T09:51:12.885,0.457,4.009,-5.351,-0.503
1576835472905,2019-12-20T09:51:12.905,0.477,3.948,2.774,-0.884
1576835472924,2019-12-20T09:51:12.924,0.496,4.245,4.977,0.366
1576835472945,2019-12-20T09:51:12.945,0.517,3.095,2.134,1.517
1576835472964,2019-12-20T09:51:12.964,0.536,-0.122,4.284,4.063
1576835472985,2019-12-20T09:51:12.985,0.557,-4.581,9.002,6.944
1576835473005,2019-12-20T09:51:13.005,0.577,-7.355,10.290,8.300
1576835473024,2019-12-20T09:51:13.024,0.596,-8.582,7.111,10.389
1576835473045,2019-12-20T09:51:13.045,0.617,-6.669,4.070,11.471
1576835473064,2019-12-20T09:51:13.064,0.636,-3.956,2.340,9.710
1576835473084,2019-12-20T09:51:13.084,0.656,-5.061,-1.723,7.073
1576835473103,2019-12-20T09:51:13.103,0.675,-6.204,-4.573,6.616
1576835473124,2019-12-20T09:51:13.124,0.696,-9.284,1.006,10.389
1576835473143,2019-12-20T09:51:13.143,0.715,-8.049,3.925,12.027
1576835473163,2019-12-20T09:51:13.163,0.735,-7.226,-3.971,16.806
1576835473184,2019-12-20T09:51:13.184,0.756,-8.270,-16.761,20.114
1576835473203,2019-12-20T09:51:13.203,0.775,-9.764,-20.564,21.646
1576835473223,2019-12-20T09:51:13.223,0.795,-10.831,-14.809,20.198
1576835473242,2019-12-20T09:51:13.242,0.814,-11.913,-8.514,16.585
1576835473263,2019-12-20T09:51:13.263,0.835,-9.642,-6.364,11.776
1576835473282,2019-12-20T09:51:13.282,0.854,-3.598,-5.107,5.076
1576835473302,2019-12-20T09:51:13.302,0.874,2.043,-9.489,-3.041
1576835473323,2019-12-20T09:51:13.323,0.895,5.351,-16.684,-8.651
1576835473342,2019-12-20T09:51:13.342,0.914,9.634,-17.851,-13.819
