epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1575539078283,2019-12-05T09:44:38.283,0.000,-4.992,-0.343,-2.210
1575539078304,2019-12-05T09:44:38.304,0.021,-4.901,-1.113,-1.951
1575539078323,2019-12-05T09:44:38.323,0.040,-3.697,-4.032,-3.506
1575539078343,2019-12-05T09:44:38.343,0.060,-3.125,-3.323,-4.123
1575539078362,2019-12-05T09:44:38.362,0.079,-3.133,0.701,-3.011
1575539078383,2019-12-05T09:44:38.383,0.100,-3.117,1.776,-2.790
1575539078403,2019-12-05T09:44:38.403,0.120,-3.407,1.540,-2.668
1575539078422,2019-12-05T09:44:38.422,0.139,-3.529,0.595,-2.668
1575539078443,2019-12-05T09:44:38.443,0.160,-3.514,-0.274,-2.530
1575539078462,2019-12-05T09:44:38.462,0.179,-3.209,0.953,-2.096
1575539078482,2019-12-05T09:44:38.482,0.199,-2.470,2.553,-1.867
1575539078501,2019-12-05T09:44:38.501,0.218,-2.066,4.032,-1.471
1575539078522,2019-12-05T09:44:38.522,0.239,-1.989,5.114,-0.945
1575539078543,2019-12-05T09:44:38.543,0.260,-1.090,5.084,-0.709
1575539078562,2019-12-05T09:44:38.562,0.279,-0.130,4.063,-0.861
1575539078582,2019-12-05T09:44:38.582,0.299,0.191,3.133,-0.922
1575539078601,2019-12-05T09:44:38.601,0.318,0.526,2.256,-0.922
1575539078622,2019-12-05T09:44:38.622,0.339,1.006,1.311,-0.930
1575539078641,2019-12-05T09:44:38.641,0.358,1.387,0.221,-0.930
1575539078661,2019-12-05T09:44:38.661,0.378,1.242,0.648,-1.006
1575539078682,2019-12-05T09:44:38.682,0.399,0.785,1.799,-1.166
1575539078701,2019-12-05T09:44:38.701,0.418,0.191,3.422,-1.540
1575539078721,2019-12-05T09:44:38.721,0.438,-0.305,4.939,-1.387
1575539078740,2019-12-05T09:44:38.740,0.457,-0.351,4.604,-1.410
1575539078761,2019-12-05T09:44:38.761,0.478,-0.130,3.384,-1.463
1575539078780,2019-12-05T09:44:38.780,0.497,-0.183,2.599,-1.684
1575539078800,2019-12-05T09:44:38.800,0.517,-0.335,2.508,-1.410
1575539078819,2019-12-05T09:44:38.819,0.536,-0.419,2.858,-0.991
1575539078840,2019-12-05T09:44:38.840,0.557,-0.206,2.919,-0.755
1575539078860,2019-12-05T09:44:38.860,0.577,0.511,2.584,-0.716
1575539078879,2019-12-05T09:44:38.879,0.596,1.288,1.860,-0.709
1575539078900,2019-12-05T09:44:38.900,0.617,1.730,0.747,-0.739
1575539078919,2019-12-05T09:44:38.919,0.636,1.776,0.152,-0.686
1575539078939,2019-12-05T09:44:38.939,0.656,1.684,0.633,-0.663
1575539078959,2019-12-05T09:44:38.959,0.676,1.463,1.623,-0.709
1575539078979,2019-12-05T09:44:38.979,0.696,1.136,1.700,-0.541
1575539079000,2019-12-05T09:44:39.000,0.717,1.090,1.227,-0.320
1575539079019,2019-12-05T09:44:39.019,0.736,1.181,0.846,-0.457
1575539079039,2019-12-05T09:44:39.039,0.756,1.532,0.762,-0.587
1575539079058,2019-12-05T09:44:39.058,0.775,1.601,1.799,-0.739
1575539079079,2019-12-05T09:44:39.079,0.796,1.326,2.835,-0.572
1575539079098,2019-12-05T09:44:39.098,0.815,1.021,2.645,-0.328
1575539079118,2019-12-05T09:44:39.118,0.835,0.976,0.877,-0.183
1575539079139,2019-12-05T09:44:39.139,0.856,0.953,-0.602,-0.076
1575539079158,2019-12-05T09:44:39.158,0.875,1.090,-0.899,-0.030
1575539079178,2019-12-05T09:44:39.178,0.895,1.075,-0.290,-0.046
1575539079197,2019-12-05T09:44:39.197,0.914,1.250,0.610,-0.244
1575539079218,2019-12-05T09:44:39.218,0.935,1.601,1.410,-0.625
1575539079237,2019-12-05T09:44:39.237,0.954,1.936,1.181,-0.709
1575539079257,2019-12-05T09:44:39.257,0.974,2.027,0.381,-0.648
1575539079276,2019-12-05T09:44:39.276,0.993,1.928,0.099,-0.678
1575539079297,2019-12-05T09:44:39.297,1.014,1.875,0.305,-0.846
1575539079317,2019-12-05T09:44:39.317,1.034,1.502,0.938,-0.739
1575539079336,2019-12-05T09:44:39.336,1.053,0.907,0.595,-0.434
1575539079357,2019-12-05T09:44:39.357,1.074,0.503,0.282,-0.373
1575539079376,2019-12-05T09:44:39.376,1.093,0.023,0.526,-0.419
1575539079397,2019-12-05T09:44:39.397,1.114,-0.473,1.227,-0.564
1575539079416,2019-12-05T09:44:39.416,1.133,-0.534,1.456,-0.541
1575539079436,2019-12-05T09:44:39.436,1.153,-0.579,0.953,-0.290
1575539079457,2019-12-05T09:44:39.457,1.174,-0.587,0.389,0.015
1575539079476,2019-12-05T09:44:39.476,1.193,-0.793,-0.290,0.259
