epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576840003849,2019-12-20T11:06:43.849,0.000,0.724,0.131,0.632
1576840003870,2019-12-20T11:06:43.870,0.021,0.730,0.131,0.638
1576840003889,2019-12-20T11:06:43.889,0.040,0.728,0.130,0.637
1576840003909,2019-12-20T11:06:43.909,0.060,0.730,0.131,0.638
1576840003928,2019-12-20T11:06:43.928,0.079,0.735,0.131,0.637
1576840003949,2019-12-20T11:06:43.949,0.100,0.738,0.130,0.634
1576840003969,2019-12-20T11:06:43.969,0.120,0.738,0.132,0.635
1576840003988,2019-12-20T11:06:43.988,0.139,0.735,0.133,0.635
1576840004009,2019-12-20T11:06:44.009,0.160,0.728,0.132,0.639
1576840004028,2019-12-20T11:06:44.028,0.179,0.723,0.133,0.643
1576840004048,2019-12-20T11:06:44.048,0.199,0.722,0.133,0.643
1576840004067,2019-12-20T11:06:44.067,0.218,0.714,0.132,0.647
1576840004088,2019-12-20T11:06:44.088,0.239,0.705,0.133,0.651
1576840004108,2019-12-20T11:06:44.108,0.259,0.701,0.133,0.655
1576840004127,2019-12-20T11:06:44.127,0.278,0.698,0.134,0.656
1576840004148,2019-12-20T11:06:44.148,0.299,0.701,0.134,0.652
1576840004167,2019-12-20T11:06:44.167,0.318,0.707,0.131,0.652
1576840004187,2019-12-20T11:06:44.187,0.338,0.711,0.131,0.653
1576840004206,2019-12-20T11:06:44.206,0.357,0.709,0.131,0.652
1576840004227,2019-12-20T11:06:44.227,0.378,0.706,0.130,0.650
1576840004246,2019-12-20T11:06:44.246,0.397,0.714,0.134,0.651
1576840004267,2019-12-20T11:06:44.267,0.418,0.718,0.136,0.651
1576840004287,2019-12-20T11:06:44.287,0.438,0.715,0.136,0.648
1576840004306,2019-12-20T11:06:44.306,0.457,0.712,0.136,0.650
1576840004327,2019-12-20T11:06:44.327,0.478,0.717,0.132,0.650
1576840004346,2019-12-20T11:06:44.346,0.497,0.731,0.131,0.645
1576840004366,2019-12-20T11:06:44.366,0.517,0.732,0.136,0.648
1576840004385,2019-12-20T11:06:44.385,0.536,0.720,0.137,0.647
1576840004406,2019-12-20T11:06:44.406,0.557,0.718,0.141,0.648
1576840004426,2019-12-20T11:06:44.426,0.577,0.718,0.138,0.650
1576840004445,2019-12-20T11:06:44.445,0.596,0.714,0.134,0.650
1576840004466,2019-12-20T11:06:44.466,0.617,0.714,0.133,0.651
1576840004485,2019-12-20T11:06:44.485,0.636,0.715,0.135,0.655
1576840004505,2019-12-20T11:06:44.505,0.656,0.709,0.134,0.655
1576840004524,2019-12-20T11:06:44.524,0.675,0.703,0.133,0.653
1576840004545,2019-12-20T11:06:44.545,0.696,0.705,0.137,0.652
1576840004565,2019-12-20T11:06:44.565,0.716,0.709,0.139,0.653
1576840004584,2019-12-20T11:06:44.584,0.735,0.705,0.133,0.654
1576840004605,2019-12-20T11:06:44.605,0.756,0.702,0.132,0.655
1576840004624,2019-12-20T11:06:44.624,0.775,0.706,0.136,0.654
1576840004644,2019-12-20T11:06:44.644,0.795,0.711,0.133,0.653
1576840004664,2019-12-20T11:06:44.664,0.815,0.716,0.135,0.649
1576840004684,2019-12-20T11:06:44.684,0.835,0.719,0.135,0.648
1576840004705,2019-12-20T11:06:44.705,0.856,0.724,0.134,0.644
1576840004724,2019-12-20T11:06:44.724,0.875,0.729,0.133,0.644
1576840004744,2019-12-20T11:06:44.744,0.895,0.727,0.132,0.644
1576840004763,2019-12-20T11:06:44.763,0.914,0.727,0.136,0.643
1576840004784,2019-12-20T11:06:44.784,0.935,0.722,0.134,0.643
1576840004803,2019-12-20T11:06:44.803,0.954,0.712,0.132,0.647
1576840004823,2019-12-20T11:06:44.823,0.974,0.707,0.135,0.649
1576840004844,2019-12-20T11:06:44.844,0.995,0.718,0.135,0.648
1576840004863,2019-12-20T11:06:44.863,1.014,0.728,0.134,0.644
1576840004883,2019-12-20T11:06:44.883,1.034,0.733,0.130,0.640
1576840004902,2019-12-20T11:06:44.902,1.053,0.732,0.130,0.641
1576840004923,2019-12-20T11:06:44.923,1.074,0.727,0.132,0.641
1576840004942,2019-12-20T11:06:44.942,1.093,0.723,0.132,0.643
1576840004962,2019-12-20T11:06:44.962,1.113,0.718,0.135,0.644
1576840004983,2019-12-20T11:06:44.983,1.134,0.717,0.136,0.644
1576840005002,2019-12-20T11:06:45.002,1.153,0.722,0.136,0.644
1576840005022,2019-12-20T11:06:45.022,1.173,0.727,0.137,0.642
1576840005041,2019-12-20T11:06:45.041,1.192,0.729,0.133,0.640
1576840005062,2019-12-20T11:06:45.062,1.213,0.729,0.135,0.641
1576840005081,2019-12-20T11:06:45.081,1.232,0.723,0.134,0.644
1576840005102,2019-12-20T11:06:45.102,1.253,0.716,0.133,0.649
1576840005121,2019-12-20T11:06:45.121,1.272,0.712,0.134,0.648
1576840005141,2019-12-20T11:06:45.141,1.292,0.711,0.132,0.651
1576840005162,2019-12-20T11:06:45.162,1.313,0.709,0.133,0.651
1576840005181,2019-12-20T11:06:45.181,1.332,0.710,0.133,0.649
1576840005201,2019-12-20T11:06:45.201,1.352,0.715,0.134,0.651
1576840005220,2019-12-20T11:06:45.220,1.371,0.715,0.136,0.649
1576840005241,2019-12-20T11:06:45.241,1.392,0.714,0.134,0.649
1576840005260,2019-12-20T11:06:45.260,1.411,0.719,0.136,0.647
1576840005280,2019-12-20T11:06:45.280,1.431,0.722,0.135,0.646
1576840005301,2019-12-20T11:06:45.301,1.452,0.725,0.135,0.642
1576840005320,2019-12-20T11:06:45.320,1.471,0.733,0.137,0.640
1576840005340,2019-12-20T11:06:45.340,1.491,0.729,0.140,0.641
1576840005359,2019-12-20T11:06:45.359,1.510,0.723,0.137,0.640
1576840005380,2019-12-20T11:06:45.380,1.531,0.719,0.135,0.643
1576840005399,2019-12-20T11:06:45.399,1.550,0.710,0.130,0.650
1576840005419,2019-12-20T11:06:45.419,1.570,0.707,0.127,0.654
1576840005440,2019-12-20T11:06:45.440,1.591,0.709,0.128,0.651
1576840005459,2019-12-20T11:06:45.459,1.610,0.719,0.131,0.648
1576840005479,2019-12-20T11:06:45.479,1.630,0.723,0.135,0.644
1576840005498,2019-12-20T11:06:45.498,1.649,0.724,0.136,0.642
1576840005519,2019-12-20T11:06:45.519,1.670,0.728,0.137,0.642
1576840005538,2019-12-20T11:06:45.538,1.689,0.728,0.135,0.643
1576840005559,2019-12-20T11:06:45.559,1.710,0.725,0.132,0.645
1576840005579,2019-12-20T11:06:45.579,1.730,0.719,0.129,0.648
1576840005598,2019-12-20T11:06:45.598,1.749,0.716,0.132,0.649
1576840005619,2019-12-20T11:06:45.619,1.770,0.710,0.132,0.650
1576840005638,2019-12-20T11:06:45.638,1.789,0.712,0.134,0.650
1576840005658,2019-12-20T11:06:45.658,1.809,0.719,0.135,0.647
1576840005677,2019-12-20T11:06:45.677,1.828,0.728,0.134,0.643
1576840005698,2019-12-20T11:06:45.698,1.849,0.730,0.133,0.641
1576840005718,2019-12-20T11:06:45.718,1.869,0.724,0.135,0.642
1576840005737,2019-12-20T11:06:45.737,1.888,0.720,0.135,0.644
1576840005758,2019-12-20T11:06:45.758,1.909,0.718,0.132,0.647
1576840005777,2019-12-20T11:06:45.777,1.928,0.715,0.131,0.648
1576840005797,2019-12-20T11:06:45.797,1.948,0.717,0.133,0.647
1576840005816,2019-12-20T11:06:45.816,1.967,0.718,0.133,0.648
1576840005837,2019-12-20T11:06:45.837,1.988,0.719,0.133,0.649
1576840005857,2019-12-20T11:06:45.857,2.008,0.717,0.131,0.651
1576840005876,2019-12-20T11:06:45.876,2.027,0.715,0.131,0.651
1576840005897,2019-12-20T11:06:45.897,2.048,0.712,0.133,0.649
1576840005916,2019-12-20T11:06:45.916,2.067,0.712,0.132,0.651
1576840005936,2019-12-20T11:06:45.936,2.087,0.715,0.133,0.649
1576840005956,2019-12-20T11:06:45.956,2.107,0.720,0.134,0.647
1576840005976,2019-12-20T11:06:45.976,2.127,0.721,0.134,0.647
1576840005995,2019-12-20T11:06:45.995,2.146,0.722,0.133,0.649
1576840006016,2019-12-20T11:06:46.016,2.167,0.723,0.133,0.649
1576840006036,2019-12-20T11:06:46.036,2.187,0.724,0.134,0.648
1576840006055,2019-12-20T11:06:46.055,2.206,0.725,0.133,0.648
1576840006076,2019-12-20T11:06:46.076,2.227,0.723,0.132,0.649
1576840006095,2019-12-20T11:06:46.095,2.246,0.715,0.133,0.649
1576840006115,2019-12-20T11:06:46.115,2.266,0.707,0.133,0.652
1576840006134,2019-12-20T11:06:46.134,2.285,0.702,0.135,0.654
1576840006155,2019-12-20T11:06:46.155,2.306,0.705,0.133,0.656
1576840006175,2019-12-20T11:06:46.175,2.326,0.711,0.132,0.656
1576840006194,2019-12-20T11:06:46.194,2.345,0.709,0.130,0.657
1576840006215,2019-12-20T11:06:46.215,2.366,0.710,0.131,0.658
