epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576840327862,2019-12-20T11:12:07.862,0.000,1.319,0.495,-0.777
1576840327882,2019-12-20T11:12:07.882,0.020,1.341,0.343,-0.953
1576840327903,2019-12-20T11:12:07.903,0.041,0.793,0.960,-0.877
1576840327922,2019-12-20T11:12:07.922,0.060,0.419,2.043,-0.777
1576840327942,2019-12-20T11:12:07.942,0.080,0.457,2.073,-0.678
1576840327961,2019-12-20T11:12:07.961,0.099,0.732,1.951,-0.655
1576840327982,2019-12-20T11:12:07.982,0.120,0.701,1.517,-0.358
1576840328001,2019-12-20T11:12:08.001,0.139,0.709,0.762,0.030
1576840328021,2019-12-20T11:12:08.021,0.159,0.694,0.137,0.274
1576840328042,2019-12-20T11:12:08.042,0.180,0.518,1.364,0.084
1576840328061,2019-12-20T11:12:08.061,0.199,0.145,2.873,-0.244
1576840328082,2019-12-20T11:12:08.082,0.220,-0.137,5.084,-0.831
1576840328101,2019-12-20T11:12:08.101,0.239,-0.450,7.027,-1.052
1576840328121,2019-12-20T11:12:08.121,0.259,-0.808,7.790,-1.029
1576840328140,2019-12-20T11:12:08.140,0.278,-0.351,6.753,-1.143
1576840328161,2019-12-20T11:12:08.161,0.299,0.648,4.916,-1.311
1576840328180,2019-12-20T11:12:08.180,0.318,1.242,3.247,-1.425
1576840328200,2019-12-20T11:12:08.200,0.338,1.098,2.226,-1.014
1576840328221,2019-12-20T11:12:08.221,0.359,0.678,1.494,-0.564
1576840328240,2019-12-20T11:12:08.240,0.378,0.587,1.021,-0.343
1576840328260,2019-12-20T11:12:08.260,0.398,0.686,0.816,-0.274
1576840328279,2019-12-20T11:12:08.279,0.417,0.739,0.305,-0.130
1576840328300,2019-12-20T11:12:08.300,0.438,0.785,-0.030,-0.084
1576840328319,2019-12-20T11:12:08.319,0.457,0.800,-1.204,0.404
1576840328339,2019-12-20T11:12:08.339,0.477,1.364,-2.622,0.229
1576840328360,2019-12-20T11:12:08.360,0.498,1.349,-1.700,0.046
1576840328379,2019-12-20T11:12:08.379,0.517,0.579,-1.280,0.602
1576840328399,2019-12-20T11:12:08.399,0.537,0.732,-2.111,0.412
1576840328418,2019-12-20T11:12:08.418,0.556,1.288,-2.127,-0.008
1576840328439,2019-12-20T11:12:08.439,0.577,0.899,-0.663,0.183
1576840328458,2019-12-20T11:12:08.458,0.596,0.739,-0.625,0.313
1576840328479,2019-12-20T11:12:08.479,0.617,1.250,-0.800,-0.389
1576840328499,2019-12-20T11:12:08.499,0.637,1.250,-0.305,-0.511
1576840328518,2019-12-20T11:12:08.518,0.656,0.282,1.075,-0.183
1576840328539,2019-12-20T11:12:08.539,0.677,-0.008,0.861,0.046
1576840328558,2019-12-20T11:12:08.558,0.696,0.274,1.105,-0.351
1576840328578,2019-12-20T11:12:08.578,0.716,0.198,1.517,-0.191
1576840328597,2019-12-20T11:12:08.597,0.735,0.229,1.654,-0.130
1576840328618,2019-12-20T11:12:08.618,0.756,0.785,0.877,-0.282
1576840328638,2019-12-20T11:12:08.638,0.776,1.059,0.793,-0.442
1576840328657,2019-12-20T11:12:08.657,0.795,0.907,0.610,-0.290
1576840328678,2019-12-20T11:12:08.678,0.816,0.945,0.282,-0.351
1576840328697,2019-12-20T11:12:08.697,0.835,0.892,0.366,-0.396
1576840328717,2019-12-20T11:12:08.717,0.855,0.884,0.701,-0.328
1576840328736,2019-12-20T11:12:08.736,0.874,0.861,0.549,-0.305
1576840328757,2019-12-20T11:12:08.757,0.895,1.059,0.610,-0.549
1576840328777,2019-12-20T11:12:08.777,0.915,0.877,0.328,-0.335
1576840328796,2019-12-20T11:12:08.796,0.934,0.831,0.808,-0.518
1576840328817,2019-12-20T11:12:08.817,0.955,0.495,1.143,-0.305
1576840328836,2019-12-20T11:12:08.836,0.974,0.640,1.098,-0.396
1576840328856,2019-12-20T11:12:08.856,0.994,0.770,1.341,-0.655
1576840328875,2019-12-20T11:12:08.875,1.013,0.495,1.578,-0.640
1576840328896,2019-12-20T11:12:08.896,1.034,0.351,0.854,-0.343
1576840328915,2019-12-20T11:12:08.915,1.053,0.236,1.334,-0.412
1576840328936,2019-12-20T11:12:08.936,1.074,0.206,1.540,-0.145
1576840328956,2019-12-20T11:12:08.956,1.094,0.747,0.915,-0.351
1576840328975,2019-12-20T11:12:08.975,1.113,1.059,0.465,-0.625
1576840328996,2019-12-20T11:12:08.996,1.134,0.808,-0.137,-0.099
1576840329015,2019-12-20T11:12:09.015,1.153,0.739,-0.206,-0.061
1576840329035,2019-12-20T11:12:09.035,1.173,0.724,0.008,-0.175
1576840329054,2019-12-20T11:12:09.054,1.192,0.610,0.191,0.000
1576840329075,2019-12-20T11:12:09.075,1.213,0.572,-0.015,-0.008
1576840329095,2019-12-20T11:12:09.095,1.233,0.755,-0.556,-0.069
1576840329114,2019-12-20T11:12:09.114,1.252,0.823,-0.480,0.008
1576840329135,2019-12-20T11:12:09.135,1.273,0.747,-0.838,0.274
1576840329154,2019-12-20T11:12:09.154,1.292,0.884,-1.250,0.229
1576840329174,2019-12-20T11:12:09.174,1.312,1.014,-1.448,0.000
1576840329193,2019-12-20T11:12:09.193,1.331,0.960,-1.105,-0.069
1576840329214,2019-12-20T11:12:09.214,1.352,0.678,-0.838,0.145
1576840329234,2019-12-20T11:12:09.234,1.372,0.373,-0.328,0.282
1576840329253,2019-12-20T11:12:09.253,1.391,0.450,-0.511,0.061
1576840329274,2019-12-20T11:12:09.274,1.412,0.838,-0.221,-0.450
1576840329293,2019-12-20T11:12:09.293,1.431,0.640,0.145,-0.122
1576840329313,2019-12-20T11:12:09.313,1.451,0.450,0.069,0.137
1576840329333,2019-12-20T11:12:09.333,1.471,0.473,-0.061,-0.015
1576840329353,2019-12-20T11:12:09.353,1.491,0.617,0.091,-0.198
1576840329374,2019-12-20T11:12:09.374,1.512,0.617,-0.023,-0.183
1576840329393,2019-12-20T11:12:09.393,1.531,0.663,0.358,-0.198
1576840329413,2019-12-20T11:12:09.413,1.551,0.724,0.175,-0.046
1576840329432,2019-12-20T11:12:09.432,1.570,0.915,0.373,-0.412
1576840329453,2019-12-20T11:12:09.453,1.591,0.777,0.213,-0.221
1576840329472,2019-12-20T11:12:09.472,1.610,0.640,-0.023,-0.091
1576840329492,2019-12-20T11:12:09.492,1.630,0.877,-0.480,-0.313
1576840329513,2019-12-20T11:12:09.513,1.651,1.044,-0.030,-0.450
1576840329532,2019-12-20T11:12:09.532,1.670,1.067,0.152,-0.320
1576840329552,2019-12-20T11:12:09.552,1.690,1.052,0.252,-0.328
1576840329571,2019-12-20T11:12:09.571,1.709,0.991,-0.030,-0.313
1576840329592,2019-12-20T11:12:09.592,1.730,1.136,-0.008,-0.434
1576840329611,2019-12-20T11:12:09.611,1.749,1.006,0.183,-0.274
1576840329631,2019-12-20T11:12:09.631,1.769,0.671,0.122,-0.053
1576840329652,2019-12-20T11:12:09.652,1.790,0.953,-0.434,-0.236
1576840329671,2019-12-20T11:12:09.671,1.809,1.212,-0.572,-0.412
1576840329691,2019-12-20T11:12:09.691,1.829,1.197,-0.206,-0.404
1576840329710,2019-12-20T11:12:09.710,1.848,0.938,0.038,-0.274
1576840329731,2019-12-20T11:12:09.731,1.869,0.671,0.061,-0.152
1576840329750,2019-12-20T11:12:09.750,1.888,0.640,0.320,-0.099
1576840329771,2019-12-20T11:12:09.771,1.909,0.983,0.091,-0.213
1576840329790,2019-12-20T11:12:09.790,1.928,1.280,-0.236,-0.465
1576840329810,2019-12-20T11:12:09.810,1.948,1.159,-0.206,-0.404
1576840329831,2019-12-20T11:12:09.831,1.969,0.945,-0.084,-0.290
1576840329850,2019-12-20T11:12:09.850,1.988,0.945,-0.137,-0.335
1576840329870,2019-12-20T11:12:09.870,2.008,0.816,0.168,-0.313
1576840329889,2019-12-20T11:12:09.889,2.027,0.549,0.244,0.061
1576840329910,2019-12-20T11:12:09.910,2.048,0.732,0.107,-0.053
1576840329929,2019-12-20T11:12:09.929,2.067,1.014,-0.114,-0.373
1576840329949,2019-12-20T11:12:09.949,2.087,0.960,-0.465,-0.274
1576840329970,2019-12-20T11:12:09.970,2.108,0.998,-0.655,-0.229
1576840329989,2019-12-20T11:12:09.989,2.127,1.052,-0.701,-0.152
1576840330009,2019-12-20T11:12:10.009,2.147,0.838,-0.686,-0.038
1576840330028,2019-12-20T11:12:10.028,2.166,0.816,-0.412,-0.175
1576840330049,2019-12-20T11:12:10.049,2.187,0.861,-0.572,-0.221
1576840330068,2019-12-20T11:12:10.068,2.206,0.892,-0.587,-0.107
1576840330088,2019-12-20T11:12:10.088,2.226,0.823,-0.747,-0.084
1576840330109,2019-12-20T11:12:10.109,2.247,0.960,-0.861,-0.259
1576840330128,2019-12-20T11:12:10.128,2.266,0.968,-0.503,-0.320
1576840330148,2019-12-20T11:12:10.148,2.286,0.884,0.229,-0.343
1576840330167,2019-12-20T11:12:10.167,2.305,0.785,0.572,-0.297
1576840330188,2019-12-20T11:12:10.188,2.326,0.655,0.686,-0.313
1576840330207,2019-12-20T11:12:10.207,2.345,0.709,0.130,-0.366
1576840330228,2019-12-20T11:12:10.228,2.366,1.037,-0.023,-0.473
1576840330248,2019-12-20T11:12:10.248,2.386,0.991,0.015,-0.358
1576840330267,2019-12-20T11:12:10.267,2.405,0.823,0.015,-0.305
1576840330288,2019-12-20T11:12:10.288,2.426,0.930,-0.290,-0.328
1576840330307,2019-12-20T11:12:10.307,2.445,0.968,-0.152,-0.297
1576840330327,2019-12-20T11:12:10.327,2.465,0.899,0.145,-0.282
1576840330346,2019-12-20T11:12:10.346,2.484,0.846,-0.046,-0.267
1576840330367,2019-12-20T11:12:10.367,2.505,1.006,-0.206,-0.373
1576840330387,2019-12-20T11:12:10.387,2.525,1.044,-0.320,-0.488
1576840330406,2019-12-20T11:12:10.406,2.544,0.953,-0.168,-0.358
1576840330427,2019-12-20T11:12:10.427,2.565,0.938,0.160,-0.282
1576840330446,2019-12-20T11:12:10.446,2.584,0.907,0.183,-0.274
1576840330466,2019-12-20T11:12:10.466,2.604,0.747,0.000,-0.244
1576840330485,2019-12-20T11:12:10.485,2.623,0.816,-0.122,-0.213
1576840330506,2019-12-20T11:12:10.506,2.644,0.732,0.084,-0.130
1576840330525,2019-12-20T11:12:10.525,2.663,0.556,0.678,-0.259
1576840330545,2019-12-20T11:12:10.545,2.683,0.869,0.793,-0.389
1576840330566,2019-12-20T11:12:10.566,2.704,1.059,0.305,-0.396
1576840330585,2019-12-20T11:12:10.585,2.723,0.960,0.099,-0.328
1576840330605,2019-12-20T11:12:10.605,2.743,0.793,0.122,-0.191
1576840330625,2019-12-20T11:12:10.625,2.763,0.625,0.305,-0.221
1576840330645,2019-12-20T11:12:10.645,2.783,0.549,0.297,-0.198
1576840330664,2019-12-20T11:12:10.664,2.802,0.564,0.412,-0.145
1576840330685,2019-12-20T11:12:10.685,2.823,0.686,0.640,-0.343
1576840330705,2019-12-20T11:12:10.705,2.843,0.694,0.541,-0.259
1576840330724,2019-12-20T11:12:10.724,2.862,0.678,0.236,-0.122
1576840330745,2019-12-20T11:12:10.745,2.883,0.877,-0.191,-0.206
1576840330764,2019-12-20T11:12:10.764,2.902,1.021,-0.244,-0.198
1576840330784,2019-12-20T11:12:10.784,2.922,0.793,-0.084,-0.099
1576840330803,2019-12-20T11:12:10.803,2.941,0.671,0.069,-0.076
1576840330824,2019-12-20T11:12:10.824,2.962,0.686,0.061,-0.137
1576840330844,2019-12-20T11:12:10.844,2.982,0.770,0.122,-0.130
1576840330863,2019-12-20T11:12:10.863,3.001,0.709,0.038,-0.030
1576840330884,2019-12-20T11:12:10.884,3.022,0.640,0.008,-0.122
1576840330903,2019-12-20T11:12:10.903,3.041,0.564,0.259,-0.130
1576840330923,2019-12-20T11:12:10.923,3.061,0.511,0.701,-0.221
1576840330942,2019-12-20T11:12:10.942,3.080,0.511,0.861,-0.221
1576840330963,2019-12-20T11:12:10.963,3.101,0.541,0.640,-0.290
1576840330983,2019-12-20T11:12:10.983,3.121,0.587,0.373,-0.274
1576840331002,2019-12-20T11:12:11.002,3.140,0.686,0.145,-0.351
1576840331023,2019-12-20T11:12:11.023,3.161,0.762,0.183,-0.282
1576840331042,2019-12-20T11:12:11.042,3.180,0.655,0.160,-0.198
1576840331063,2019-12-20T11:12:11.063,3.201,0.732,-0.015,-0.244
1576840331082,2019-12-20T11:12:11.082,3.220,0.884,-0.168,-0.351
1576840331102,2019-12-20T11:12:11.102,3.240,0.800,-0.030,-0.290
1576840331121,2019-12-20T11:12:11.121,3.259,0.816,0.366,-0.183
1576840331142,2019-12-20T11:12:11.142,3.280,0.655,0.488,-0.175
1576840331162,2019-12-20T11:12:11.162,3.300,0.625,0.328,-0.259
1576840331181,2019-12-20T11:12:11.181,3.319,0.747,0.305,-0.236
1576840331202,2019-12-20T11:12:11.202,3.340,0.907,0.465,-0.282
1576840331221,2019-12-20T11:12:11.221,3.359,0.968,0.343,-0.236
1576840331241,2019-12-20T11:12:11.241,3.379,0.694,0.099,-0.206
1576840331260,2019-12-20T11:12:11.260,3.398,0.777,0.023,-0.252
1576840331281,2019-12-20T11:12:11.281,3.419,0.602,0.602,-0.191
1576840331301,2019-12-20T11:12:11.301,3.439,0.671,0.892,-0.107
1576840331320,2019-12-20T11:12:11.320,3.458,1.151,0.434,-0.373
1576840331341,2019-12-20T11:12:11.341,3.479,1.197,-0.053,-0.465
1576840331360,2019-12-20T11:12:11.360,3.498,1.052,-0.168,-0.221
1576840331380,2019-12-20T11:12:11.380,3.518,0.953,0.236,-0.061
1576840331399,2019-12-20T11:12:11.399,3.537,1.174,0.808,-0.084
1576840331420,2019-12-20T11:12:11.420,3.558,1.982,0.991,-0.030
1576840331440,2019-12-20T11:12:11.440,3.578,4.466,-0.732,-0.152
1576840331459,2019-12-20T11:12:11.459,3.597,8.171,-4.276,-0.556
1576840331480,2019-12-20T11:12:11.480,3.618,11.181,-8.361,-0.724
1576840331499,2019-12-20T11:12:11.499,3.637,14.756,-14.322,-0.869
1576840331520,2019-12-20T11:12:11.520,3.658,21.753,-23.643,-1.006
1576840331539,2019-12-20T11:12:11.539,3.677,34.870,-33.514,6.075
1576840331559,2019-12-20T11:12:11.559,3.697,51.296,-39.665,18.262
1576840331580,2019-12-20T11:12:11.580,3.718,51.753,-37.553,9.436
1576840331599,2019-12-20T11:12:11.599,3.737,33.514,41.479,-33.460
1576840331619,2019-12-20T11:12:11.619,3.757,0.267,159.527,-61.555
1576840331638,2019-12-20T11:12:11.638,3.776,-5.419,220.915,-66.303
1576840331659,2019-12-20T11:12:11.659,3.797,12.767,187.774,-30.114
1576840331678,2019-12-20T11:12:11.678,3.816,3.453,61.067,-5.038
1576840331698,2019-12-20T11:12:11.698,3.836,-24.162,-8.430,-22.637
1576840331717,2019-12-20T11:12:11.717,3.855,-47.660,21.677,-31.753
