epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576838070289,2019-12-20T10:34:30.289,0.000,-0.264,0.058,0.835
1576838070310,2019-12-20T10:34:30.310,0.021,-0.231,0.078,0.848
1576838070329,2019-12-20T10:34:30.329,0.040,-0.207,0.091,0.868
1576838070349,2019-12-20T10:34:30.349,0.060,-0.148,0.085,0.947
1576838070370,2019-12-20T10:34:30.370,0.081,-0.129,0.043,1.011
1576838070389,2019-12-20T10:34:30.389,0.100,-0.127,-0.015,1.041
1576838070409,2019-12-20T10:34:30.409,0.120,-0.124,-0.021,1.021
1576838070428,2019-12-20T10:34:30.428,0.139,-0.104,0.015,0.983
1576838070449,2019-12-20T10:34:30.449,0.160,-0.099,0.047,0.943
1576838070468,2019-12-20T10:34:30.468,0.179,-0.140,0.048,0.923
1576838070488,2019-12-20T10:34:30.488,0.199,-0.103,0.037,0.945
1576838070509,2019-12-20T10:34:30.509,0.220,-0.097,0.049,0.943
1576838070528,2019-12-20T10:34:30.528,0.239,-0.128,0.028,0.952
1576838070549,2019-12-20T10:34:30.549,0.260,-0.137,0.010,0.964
1576838070568,2019-12-20T10:34:30.568,0.279,-0.119,0.022,0.949
1576838070588,2019-12-20T10:34:30.588,0.299,-0.063,0.046,0.951
1576838070607,2019-12-20T10:34:30.607,0.318,-0.036,0.055,0.956
1576838070628,2019-12-20T10:34:30.628,0.339,-0.082,0.042,0.935
1576838070647,2019-12-20T10:34:30.647,0.358,-0.094,-0.003,0.983
1576838070667,2019-12-20T10:34:30.667,0.378,-0.056,0.013,0.982
1576838070688,2019-12-20T10:34:30.688,0.399,-0.035,0.043,0.954
1576838070707,2019-12-20T10:34:30.707,0.418,-0.046,0.040,0.958
1576838070727,2019-12-20T10:34:30.727,0.438,-0.078,0.029,0.969
1576838070746,2019-12-20T10:34:30.746,0.457,-0.087,0.030,0.962
1576838070767,2019-12-20T10:34:30.767,0.478,-0.083,0.032,0.948
1576838070786,2019-12-20T10:34:30.786,0.497,-0.068,0.036,0.951
1576838070806,2019-12-20T10:34:30.806,0.517,-0.049,0.032,0.971
1576838070827,2019-12-20T10:34:30.827,0.538,-0.052,0.034,0.958
1576838070846,2019-12-20T10:34:30.846,0.557,-0.071,0.036,0.945
1576838070866,2019-12-20T10:34:30.866,0.577,-0.084,0.029,0.956
1576838070885,2019-12-20T10:34:30.885,0.596,-0.079,0.027,0.962
