epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576838070289,2019-12-20T10:34:30.289,0.000,16.273,-42.142,-75.884
1576838070310,2019-12-20T10:34:30.310,0.021,16.014,-47.325,-77.759
1576838070329,2019-12-20T10:34:30.329,0.040,12.995,-75.434,-85.877
1576838070349,2019-12-20T10:34:30.349,0.060,12.332,-97.873,-93.514
1576838070370,2019-12-20T10:34:30.370,0.081,11.181,-91.014,-90.732
1576838070389,2019-12-20T10:34:30.389,0.100,9.741,-65.572,-81.258
1576838070409,2019-12-20T10:34:30.409,0.120,13.003,-35.008,-66.174
1576838070428,2019-12-20T10:34:30.428,0.139,15.381,-14.238,-52.165
1576838070449,2019-12-20T10:34:30.449,0.160,12.843,-7.546,-45.633
1576838070468,2019-12-20T10:34:30.468,0.179,6.395,-10.617,-42.873
1576838070488,2019-12-20T10:34:30.488,0.199,1.890,-11.883,-36.791
1576838070509,2019-12-20T10:34:30.509,0.220,-0.267,-2.576,-27.637
1576838070528,2019-12-20T10:34:30.528,0.239,-4.520,0.358,-21.029
1576838070549,2019-12-20T10:34:30.549,0.260,-4.078,-3.072,-16.006
1576838070568,2019-12-20T10:34:30.568,0.279,-2.858,-6.814,-11.639
1576838070588,2019-12-20T10:34:30.588,0.299,-3.323,-9.261,-7.279
1576838070607,2019-12-20T10:34:30.607,0.318,-5.183,-3.834,-2.645
1576838070628,2019-12-20T10:34:30.628,0.339,-8.049,3.133,0.389
1576838070648,2019-12-20T10:34:30.648,0.359,-6.654,-1.227,0.366
1576838070667,2019-12-20T10:34:30.667,0.378,-0.625,-4.657,0.114
1576838070688,2019-12-20T10:34:30.688,0.399,2.027,-3.018,-0.907
1576838070707,2019-12-20T10:34:30.707,0.418,0.938,0.168,-2.409
1576838070727,2019-12-20T10:34:30.727,0.438,0.343,1.578,-3.338
1576838070746,2019-12-20T10:34:30.746,0.457,0.747,0.244,-3.567
1576838070767,2019-12-20T10:34:30.767,0.478,0.191,-0.168,-2.180
1576838070786,2019-12-20T10:34:30.786,0.497,-0.762,-0.587,-0.320
1576838070806,2019-12-20T10:34:30.806,0.517,-0.930,0.267,0.282
1576838070827,2019-12-20T10:34:30.827,0.538,-0.915,3.849,0.655
1576838070846,2019-12-20T10:34:30.846,0.557,-0.358,4.657,-0.473
1576838070866,2019-12-20T10:34:30.866,0.577,-0.259,2.553,-1.159
1576838070885,2019-12-20T10:34:30.885,0.596,-0.389,0.869,-0.366
1576838070906,2019-12-20T10:34:30.906,0.617,0.000,0.229,-0.191
1576838070925,2019-12-20T10:34:30.925,0.636,1.151,-0.495,-0.274
1576838070946,2019-12-20T10:34:30.946,0.657,0.724,2.271,-0.572
1576838070966,2019-12-20T10:34:30.966,0.677,-0.267,4.527,0.084
1576838070985,2019-12-20T10:34:30.985,0.696,0.191,0.373,0.259
1576838071006,2019-12-20T10:34:31.006,0.717,0.335,-1.059,-0.122
1576838071025,2019-12-20T10:34:31.025,0.736,-0.252,-1.540,-0.297
1576838071045,2019-12-20T10:34:31.045,0.756,-0.755,-1.730,-0.877
1576838071064,2019-12-20T10:34:31.064,0.775,0.960,-0.457,-3.849
1576838071085,2019-12-20T10:34:31.085,0.796,4.108,3.582,-8.285
1576838071105,2019-12-20T10:34:31.105,0.816,6.006,6.395,-10.785
1576838071124,2019-12-20T10:34:31.124,0.835,6.791,5.762,-9.390
1576838071145,2019-12-20T10:34:31.145,0.856,11.151,8.605,-14.680
1576838071164,2019-12-20T10:34:31.164,0.875,17.614,14.489,-22.363
1576838071184,2019-12-20T10:34:31.184,0.895,25.770,7.797,-37.035
1576838071203,2019-12-20T10:34:31.203,0.914,33.872,2.889,-63.689
1576838071224,2019-12-20T10:34:31.224,0.935,35.686,19.809,-84.977
1576838071244,2019-12-20T10:34:31.244,0.955,35.015,27.058,-93.186
1576838071263,2019-12-20T10:34:31.263,0.974,32.835,17.942,-102.332
1576838071284,2019-12-20T10:34:31.284,0.995,29.184,17.462,-111.357
1576838071303,2019-12-20T10:34:31.303,1.014,26.105,11.273,-116.364
1576838071323,2019-12-20T10:34:31.323,1.034,22.569,-11.014,-121.105
1576838071342,2019-12-20T10:34:31.342,1.053,17.485,-26.578,-122.980
1576838071363,2019-12-20T10:34:31.363,1.074,10.739,-25.892,-121.052
1576838071383,2019-12-20T10:34:31.383,1.094,3.521,-11.189,-115.610
1576838071403,2019-12-20T10:34:31.403,1.114,-2.851,-6.890,-112.698
