epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1578261798279,2020-01-05T22:03:18.279,0.000,0.230,0.964,-0.066
1578261798298,2020-01-05T22:03:18.298,0.019,0.233,0.972,-0.068
1578261798318,2020-01-05T22:03:18.318,0.039,0.231,0.971,-0.069
1578261798339,2020-01-05T22:03:18.339,0.060,0.230,0.970,-0.072
1578261798358,2020-01-05T22:03:18.358,0.079,0.229,0.970,-0.070
1578261798378,2020-01-05T22:03:18.378,0.099,0.231,0.970,-0.071
1578261798397,2020-01-05T22:03:18.397,0.118,0.231,0.971,-0.069
1578261798418,2020-01-05T22:03:18.418,0.139,0.233,0.971,-0.070
1578261798437,2020-01-05T22:03:18.437,0.158,0.229,0.971,-0.069
1578261798457,2020-01-05T22:03:18.457,0.178,0.228,0.972,-0.066
1578261798477,2020-01-05T22:03:18.477,0.198,0.230,0.971,-0.068
1578261798497,2020-01-05T22:03:18.497,0.218,0.231,0.970,-0.068
1578261798518,2020-01-05T22:03:18.518,0.239,0.229,0.970,-0.069
1578261798537,2020-01-05T22:03:18.537,0.258,0.229,0.971,-0.067
1578261798557,2020-01-05T22:03:18.557,0.278,0.230,0.971,-0.068
1578261798576,2020-01-05T22:03:18.576,0.297,0.229,0.972,-0.068
1578261798597,2020-01-05T22:03:18.597,0.318,0.229,0.971,-0.068
1578261798616,2020-01-05T22:03:18.616,0.337,0.230,0.971,-0.068
1578261798636,2020-01-05T22:03:18.636,0.357,0.233,0.972,-0.069
1578261798657,2020-01-05T22:03:18.657,0.378,0.232,0.972,-0.069
1578261798676,2020-01-05T22:03:18.676,0.397,0.232,0.971,-0.072
1578261798696,2020-01-05T22:03:18.696,0.417,0.234,0.972,-0.071
1578261798715,2020-01-05T22:03:18.715,0.436,0.231,0.972,-0.068
1578261798736,2020-01-05T22:03:18.736,0.457,0.229,0.972,-0.069
1578261798755,2020-01-05T22:03:18.755,0.476,0.231,0.971,-0.069
1578261798775,2020-01-05T22:03:18.775,0.496,0.231,0.971,-0.068
1578261798796,2020-01-05T22:03:18.796,0.517,0.229,0.971,-0.069
1578261798815,2020-01-05T22:03:18.815,0.536,0.230,0.971,-0.070
1578261798835,2020-01-05T22:03:18.835,0.556,0.229,0.970,-0.069
1578261798854,2020-01-05T22:03:18.854,0.575,0.231,0.970,-0.071
1578261798875,2020-01-05T22:03:18.875,0.596,0.229,0.971,-0.069
1578261798894,2020-01-05T22:03:18.894,0.615,0.229,0.970,-0.068
1578261798915,2020-01-05T22:03:18.915,0.636,0.228,0.972,-0.067
1578261798935,2020-01-05T22:03:18.935,0.656,0.229,0.970,-0.067
1578261798954,2020-01-05T22:03:18.954,0.675,0.230,0.970,-0.068
1578261798975,2020-01-05T22:03:18.975,0.696,0.229,0.971,-0.070
1578261798994,2020-01-05T22:03:18.994,0.715,0.230,0.970,-0.070
1578261799014,2020-01-05T22:03:19.014,0.735,0.232,0.970,-0.071
1578261799033,2020-01-05T22:03:19.033,0.754,0.229,0.972,-0.068
1578261799054,2020-01-05T22:03:19.054,0.775,0.230,0.972,-0.070
1578261799074,2020-01-05T22:03:19.074,0.795,0.229,0.970,-0.069
1578261799093,2020-01-05T22:03:19.093,0.814,0.230,0.971,-0.067
1578261799114,2020-01-05T22:03:19.114,0.835,0.231,0.969,-0.066
1578261799133,2020-01-05T22:03:19.133,0.854,0.232,0.970,-0.067
1578261799153,2020-01-05T22:03:19.153,0.874,0.232,0.970,-0.069
1578261799172,2020-01-05T22:03:19.172,0.893,0.231,0.969,-0.070
1578261799193,2020-01-05T22:03:19.193,0.914,0.231,0.971,-0.068
1578261799213,2020-01-05T22:03:19.213,0.934,0.231,0.971,-0.070
1578261799232,2020-01-05T22:03:19.232,0.953,0.232,0.970,-0.067
1578261799253,2020-01-05T22:03:19.253,0.974,0.230,0.971,-0.068
1578261799272,2020-01-05T22:03:19.272,0.993,0.228,0.971,-0.071
1578261799292,2020-01-05T22:03:19.292,1.013,0.229,0.971,-0.071
1578261799311,2020-01-05T22:03:19.311,1.032,0.231,0.971,-0.069
1578261799332,2020-01-05T22:03:19.332,1.053,0.230,0.972,-0.069
1578261799352,2020-01-05T22:03:19.352,1.073,0.229,0.971,-0.069
1578261799372,2020-01-05T22:03:19.372,1.093,0.230,0.971,-0.070
1578261799392,2020-01-05T22:03:19.392,1.113,0.232,0.972,-0.071
1578261799411,2020-01-05T22:03:19.411,1.132,0.231,0.971,-0.068
1578261799432,2020-01-05T22:03:19.432,1.153,0.230,0.970,-0.067
1578261799451,2020-01-05T22:03:19.451,1.172,0.229,0.970,-0.067
1578261799471,2020-01-05T22:03:19.471,1.192,0.229,0.970,-0.068
1578261799490,2020-01-05T22:03:19.490,1.211,0.227,0.971,-0.067
1578261799511,2020-01-05T22:03:19.511,1.232,0.227,0.969,-0.070
