epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576835472428,2019-12-20T09:51:12.428,0.000,-0.356,-0.146,0.875
1576835472448,2019-12-20T09:51:12.448,0.020,-0.330,-0.145,0.874
1576835472467,2019-12-20T09:51:12.467,0.039,-0.337,-0.129,0.852
1576835472488,2019-12-20T09:51:12.488,0.060,-0.356,-0.089,0.833
1576835472507,2019-12-20T09:51:12.507,0.079,-0.355,-0.060,0.802
1576835472528,2019-12-20T09:51:12.528,0.100,-0.336,-0.039,0.786
1576835472547,2019-12-20T09:51:12.547,0.119,-0.309,-0.016,0.770
1576835472567,2019-12-20T09:51:12.567,0.139,-0.296,-0.003,0.764
1576835472588,2019-12-20T09:51:12.588,0.160,-0.321,-0.076,0.811
1576835472607,2019-12-20T09:51:12.607,0.179,-0.539,-0.420,1.127
1576835472627,2019-12-20T09:51:12.627,0.199,-0.563,-0.136,0.874
1576835472646,2019-12-20T09:51:12.646,0.218,-0.191,0.029,0.952
1576835472667,2019-12-20T09:51:12.667,0.239,-0.069,-0.140,0.957
1576835472686,2019-12-20T09:51:12.686,0.258,-0.309,-0.236,0.896
1576835472706,2019-12-20T09:51:12.706,0.278,-0.414,-0.243,0.925
1576835472727,2019-12-20T09:51:12.727,0.299,-0.340,-0.196,0.917
1576835472746,2019-12-20T09:51:12.746,0.318,-0.282,-0.149,0.903
1576835472766,2019-12-20T09:51:12.766,0.338,-0.260,-0.136,0.910
1576835472785,2019-12-20T09:51:12.785,0.357,-0.284,-0.154,0.912
1576835472806,2019-12-20T09:51:12.806,0.378,-0.317,-0.146,0.900
1576835472825,2019-12-20T09:51:12.825,0.397,-0.319,-0.120,0.900
1576835472845,2019-12-20T09:51:12.845,0.417,-0.329,-0.107,0.900
1576835472866,2019-12-20T09:51:12.866,0.438,-0.314,-0.119,0.898
1576835472885,2019-12-20T09:51:12.885,0.457,-0.280,-0.138,0.903
1576835472905,2019-12-20T09:51:12.905,0.477,-0.287,-0.152,0.916
1576835472924,2019-12-20T09:51:12.924,0.496,-0.309,-0.143,0.933
1576835472945,2019-12-20T09:51:12.945,0.517,-0.290,-0.112,0.958
1576835472964,2019-12-20T09:51:12.964,0.536,-0.263,-0.085,0.968
1576835472985,2019-12-20T09:51:12.985,0.557,-0.281,-0.089,0.967
1576835473004,2019-12-20T09:51:13.004,0.576,-0.330,-0.101,0.935
1576835473024,2019-12-20T09:51:13.024,0.596,-0.325,-0.106,0.909
1576835473045,2019-12-20T09:51:13.045,0.617,-0.303,-0.104,0.913
1576835473064,2019-12-20T09:51:13.064,0.636,-0.345,-0.077,0.906
1576835473084,2019-12-20T09:51:13.084,0.656,-0.362,-0.092,0.874
1576835473103,2019-12-20T09:51:13.103,0.675,-0.340,-0.073,0.869
1576835473124,2019-12-20T09:51:13.124,0.696,-0.343,-0.103,0.884
1576835473143,2019-12-20T09:51:13.143,0.715,-0.384,-0.155,0.853
1576835473163,2019-12-20T09:51:13.163,0.735,-0.408,-0.134,0.853
1576835473184,2019-12-20T09:51:13.184,0.756,-0.360,-0.125,0.855
