epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576835842475,2019-12-20T09:57:22.475,0.000,6.151,2.332,-55.762
1576835842496,2019-12-20T09:57:22.496,0.021,6.593,2.957,-54.627
1576835842515,2019-12-20T09:57:22.515,0.040,8.979,6.715,-50.587
1576835842535,2019-12-20T09:57:22.535,0.060,11.806,4.550,-46.128
1576835842554,2019-12-20T09:57:22.554,0.079,17.325,11.311,-54.322
1576835842575,2019-12-20T09:57:22.575,0.100,36.509,35.556,-48.468
1576835842594,2019-12-20T09:57:22.594,0.119,6.517,-27.889,2.607
1576835842614,2019-12-20T09:57:22.614,0.139,-7.325,-23.011,0.427
1576835842635,2019-12-20T09:57:22.635,0.160,-6.898,3.567,-3.186
1576835842654,2019-12-20T09:57:22.654,0.179,-7.569,1.776,-1.982
1576835842674,2019-12-20T09:57:22.674,0.199,-3.438,4.101,-0.838
1576835842693,2019-12-20T09:57:22.693,0.218,1.654,7.759,-1.822
1576835842714,2019-12-20T09:57:22.714,0.239,3.491,19.581,-3.102
1576835842733,2019-12-20T09:57:22.733,0.258,2.942,30.732,-3.849
1576835842753,2019-12-20T09:57:22.753,0.278,1.547,24.931,-2.782
1576835842774,2019-12-20T09:57:22.774,0.299,1.570,13.544,-0.404
1576835842793,2019-12-20T09:57:22.793,0.318,3.262,3.491,0.419
1576835842813,2019-12-20T09:57:22.813,0.338,3.285,-1.326,0.000
1576835842832,2019-12-20T09:57:22.832,0.357,1.639,-2.835,-0.488
1576835842853,2019-12-20T09:57:22.853,0.378,0.282,-3.399,-0.434
1576835842872,2019-12-20T09:57:22.872,0.397,0.175,-0.633,-0.511
1576835842893,2019-12-20T09:57:22.893,0.418,0.816,3.422,-1.448
1576835842913,2019-12-20T09:57:22.913,0.438,1.486,6.250,-2.226
1576835842932,2019-12-20T09:57:22.932,0.457,2.165,8.262,-2.553
1576835842953,2019-12-20T09:57:22.953,0.478,2.675,7.713,-2.591
1576835842972,2019-12-20T09:57:22.972,0.497,2.706,6.425,-2.050
1576835842992,2019-12-20T09:57:22.992,0.517,2.317,4.108,-1.425
1576835843011,2019-12-20T09:57:23.011,0.536,2.675,1.380,-0.907
1576835843032,2019-12-20T09:57:23.032,0.557,2.553,1.181,-0.747
1576835843051,2019-12-20T09:57:23.051,0.576,2.934,1.616,-0.922
1576835843071,2019-12-20T09:57:23.071,0.596,1.654,2.538,-0.823
1576835843092,2019-12-20T09:57:23.092,0.617,0.938,2.226,-0.373
1576835843111,2019-12-20T09:57:23.111,0.636,1.296,1.860,-0.366
1576835843131,2019-12-20T09:57:23.131,0.656,1.852,1.082,-0.404
1576835843150,2019-12-20T09:57:23.150,0.675,1.608,1.128,-0.442
1576835843171,2019-12-20T09:57:23.171,0.696,1.143,1.867,-0.503
1576835843190,2019-12-20T09:57:23.190,0.715,0.556,1.867,-0.495
1576835843210,2019-12-20T09:57:23.210,0.735,0.701,1.288,-0.396
1576835843231,2019-12-20T09:57:23.231,0.756,1.334,0.526,-0.366
