epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576671991545,2019-12-18T12:26:31.545,0.000,-0.046,-0.905,0.379
1576671991564,2019-12-18T12:26:31.564,0.019,-0.054,-0.914,0.382
1576671991584,2019-12-18T12:26:31.584,0.039,-0.049,-0.905,0.371
1576671991605,2019-12-18T12:26:31.605,0.060,-0.046,-0.898,0.367
1576671991624,2019-12-18T12:26:31.624,0.079,-0.035,-0.907,0.375
1576671991644,2019-12-18T12:26:31.644,0.099,-0.024,-0.919,0.379
1576671991663,2019-12-18T12:26:31.663,0.118,-0.019,-0.928,0.375
1576671991684,2019-12-18T12:26:31.684,0.139,-0.016,-0.919,0.369
1576671991703,2019-12-18T12:26:31.703,0.158,-0.019,-0.897,0.367
1576671991723,2019-12-18T12:26:31.723,0.178,-0.021,-0.897,0.373
1576671991744,2019-12-18T12:26:31.744,0.199,-0.021,-0.913,0.379
1576671991763,2019-12-18T12:26:31.763,0.218,-0.018,-0.919,0.373
1576671991783,2019-12-18T12:26:31.783,0.238,-0.011,-0.909,0.361
1576671991803,2019-12-18T12:26:31.803,0.258,-0.016,-0.901,0.363
1576671991823,2019-12-18T12:26:31.823,0.278,-0.028,-0.896,0.386
1576671991842,2019-12-18T12:26:31.842,0.297,-0.043,-0.893,0.400
1576671991863,2019-12-18T12:26:31.863,0.318,-0.045,-0.904,0.381
1576671991883,2019-12-18T12:26:31.883,0.338,-0.037,-0.926,0.362
1576671991902,2019-12-18T12:26:31.902,0.357,-0.017,-0.946,0.365
1576671991923,2019-12-18T12:26:31.923,0.378,-0.067,-0.931,0.374
1576671991942,2019-12-18T12:26:31.942,0.397,-0.072,-0.913,0.370
1576671991962,2019-12-18T12:26:31.962,0.417,-0.037,-0.880,0.343
1576671991981,2019-12-18T12:26:31.981,0.436,-0.035,-0.895,0.366
1576671992002,2019-12-18T12:26:32.002,0.457,-0.037,-0.914,0.388
1576671992022,2019-12-18T12:26:32.022,0.477,-0.037,-0.908,0.378
1576671992041,2019-12-18T12:26:32.041,0.496,-0.042,-0.924,0.375
1576671992062,2019-12-18T12:26:32.062,0.517,-0.039,-0.923,0.376
1576671992081,2019-12-18T12:26:32.081,0.536,-0.031,-0.896,0.366
1576671992101,2019-12-18T12:26:32.101,0.556,-0.029,-0.906,0.374
1576671992120,2019-12-18T12:26:32.120,0.575,-0.028,-0.919,0.382
1576671992141,2019-12-18T12:26:32.141,0.596,-0.028,-0.917,0.373
1576671992161,2019-12-18T12:26:32.161,0.616,-0.024,-0.914,0.375
1576671992180,2019-12-18T12:26:32.180,0.635,-0.017,-0.909,0.378
1576671992201,2019-12-18T12:26:32.201,0.656,-0.015,-0.902,0.380
1576671992220,2019-12-18T12:26:32.220,0.675,-0.021,-0.898,0.376
1576671992240,2019-12-18T12:26:32.240,0.695,-0.035,-0.905,0.380
1576671992260,2019-12-18T12:26:32.260,0.715,-0.046,-0.910,0.378
1576671992280,2019-12-18T12:26:32.280,0.735,-0.048,-0.906,0.369
1576671992299,2019-12-18T12:26:32.299,0.754,-0.047,-0.906,0.372
1576671992320,2019-12-18T12:26:32.320,0.775,-0.056,-0.912,0.380
1576671992340,2019-12-18T12:26:32.340,0.795,-0.060,-0.917,0.376
1576671992359,2019-12-18T12:26:32.359,0.814,-0.052,-0.913,0.370
1576671992380,2019-12-18T12:26:32.380,0.835,-0.037,-0.911,0.376
1576671992399,2019-12-18T12:26:32.399,0.854,-0.020,-0.906,0.386
1576671992419,2019-12-18T12:26:32.419,0.874,-0.010,-0.893,0.396
1576671992438,2019-12-18T12:26:32.438,0.893,-0.008,-0.891,0.394
1576671992459,2019-12-18T12:26:32.459,0.914,-0.006,-0.903,0.383
1576671992479,2019-12-18T12:26:32.479,0.934,-0.013,-0.927,0.386
1576671992498,2019-12-18T12:26:32.498,0.953,-0.027,-0.934,0.394
1576671992519,2019-12-18T12:26:32.519,0.974,-0.035,-0.922,0.385
1576671992538,2019-12-18T12:26:32.538,0.993,-0.037,-0.913,0.365
1576671992558,2019-12-18T12:26:32.558,1.013,-0.034,-0.896,0.364
1576671992577,2019-12-18T12:26:32.577,1.032,-0.025,-0.876,0.385
1576671992598,2019-12-18T12:26:32.598,1.053,-0.013,-0.876,0.405
1576671992618,2019-12-18T12:26:32.618,1.073,-0.007,-0.884,0.420
1576671992637,2019-12-18T12:26:32.637,1.092,-0.002,-0.890,0.419
1576671992658,2019-12-18T12:26:32.658,1.113,-0.021,-0.904,0.411
1576671992677,2019-12-18T12:26:32.677,1.132,-0.063,-0.916,0.400
1576671992698,2019-12-18T12:26:32.698,1.153,-0.016,-0.892,0.358
1576671992717,2019-12-18T12:26:32.717,1.172,0.025,-0.887,0.373
1576671992737,2019-12-18T12:26:32.737,1.192,0.022,-0.892,0.410
