epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576666969134,2019-12-18T11:02:49.134,0.000,0.512,-0.033,0.811
1576666969153,2019-12-18T11:02:49.153,0.019,0.465,-0.035,0.842
1576666969174,2019-12-18T11:02:49.174,0.040,0.445,-0.031,0.842
1576666969193,2019-12-18T11:02:49.193,0.059,0.526,-0.050,0.815
1576666969213,2019-12-18T11:02:49.213,0.079,0.521,-0.054,0.823
1576666969232,2019-12-18T11:02:49.232,0.098,0.537,-0.057,0.807
1576666969253,2019-12-18T11:02:49.253,0.119,0.587,-0.068,0.787
1576666969273,2019-12-18T11:02:49.273,0.139,0.580,0.006,0.829
1576666969292,2019-12-18T11:02:49.292,0.158,0.393,-0.151,0.820
1576666969313,2019-12-18T11:02:49.313,0.179,0.564,-0.122,0.781
1576666969332,2019-12-18T11:02:49.332,0.198,0.660,-0.055,0.784
1576666969352,2019-12-18T11:02:49.352,0.218,0.663,-0.035,0.783
1576666969371,2019-12-18T11:02:49.371,0.237,0.441,-0.052,0.831
1576666969392,2019-12-18T11:02:49.392,0.258,0.351,-0.050,0.864
1576666969413,2019-12-18T11:02:49.413,0.279,0.379,-0.048,0.870
1576666969432,2019-12-18T11:02:49.432,0.298,0.411,-0.045,0.866
1576666969452,2019-12-18T11:02:49.452,0.318,0.455,-0.042,0.851
1576666969471,2019-12-18T11:02:49.471,0.337,0.508,-0.047,0.828
1576666969492,2019-12-18T11:02:49.492,0.358,0.549,-0.053,0.817
1576666969511,2019-12-18T11:02:49.511,0.377,0.517,-0.050,0.820
1576666969531,2019-12-18T11:02:49.531,0.397,0.495,-0.048,0.831
1576666969552,2019-12-18T11:02:49.552,0.418,0.487,-0.047,0.836
1576666969571,2019-12-18T11:02:49.571,0.437,0.474,-0.046,0.839
1576666969591,2019-12-18T11:02:49.591,0.457,0.487,-0.045,0.835
1576666969610,2019-12-18T11:02:49.610,0.476,0.495,-0.044,0.832
1576666969631,2019-12-18T11:02:49.631,0.497,0.503,-0.042,0.829
1576666969650,2019-12-18T11:02:49.650,0.516,0.490,-0.043,0.833
1576666969670,2019-12-18T11:02:49.670,0.536,0.493,-0.045,0.832
1576666969691,2019-12-18T11:02:49.691,0.557,0.500,-0.043,0.830
1576666969710,2019-12-18T11:02:49.710,0.576,0.502,-0.042,0.830
1576666969730,2019-12-18T11:02:49.730,0.596,0.508,-0.041,0.826
1576666969749,2019-12-18T11:02:49.749,0.615,0.500,-0.041,0.829
1576666969770,2019-12-18T11:02:49.770,0.636,0.489,-0.041,0.833
1576666969789,2019-12-18T11:02:49.789,0.655,0.496,-0.039,0.833
1576666969809,2019-12-18T11:02:49.809,0.675,0.497,-0.042,0.831
1576666969829,2019-12-18T11:02:49.829,0.695,0.501,-0.040,0.828
1576666969849,2019-12-18T11:02:49.849,0.715,0.504,-0.040,0.829
1576666969870,2019-12-18T11:02:49.870,0.736,0.504,-0.040,0.828
1576666969889,2019-12-18T11:02:49.889,0.755,0.499,-0.041,0.829
1576666969909,2019-12-18T11:02:49.909,0.775,0.495,-0.039,0.831
1576666969928,2019-12-18T11:02:49.928,0.794,0.494,-0.039,0.833
1576666969949,2019-12-18T11:02:49.949,0.815,0.495,-0.038,0.833
1576666969968,2019-12-18T11:02:49.968,0.834,0.500,-0.038,0.830
1576666969988,2019-12-18T11:02:49.988,0.854,0.506,-0.037,0.829
1576666970009,2019-12-18T11:02:50.009,0.875,0.503,-0.038,0.831
1576666970028,2019-12-18T11:02:50.028,0.894,0.502,-0.045,0.829
1576666970048,2019-12-18T11:02:50.048,0.914,0.494,-0.046,0.831
1576666970067,2019-12-18T11:02:50.067,0.933,0.487,-0.045,0.833
1576666970088,2019-12-18T11:02:50.088,0.954,0.486,-0.046,0.834
1576666970107,2019-12-18T11:02:50.107,0.973,0.484,-0.047,0.838
1576666970127,2019-12-18T11:02:50.127,0.993,0.478,-0.047,0.839
1576666970148,2019-12-18T11:02:50.148,1.014,0.489,-0.042,0.837
1576666970167,2019-12-18T11:02:50.167,1.033,0.489,-0.044,0.838
1576666970187,2019-12-18T11:02:50.187,1.053,0.484,-0.043,0.837
1576666970206,2019-12-18T11:02:50.206,1.072,0.483,-0.044,0.837
1576666970227,2019-12-18T11:02:50.227,1.093,0.487,-0.045,0.841
1576666970246,2019-12-18T11:02:50.246,1.112,0.491,-0.043,0.840
1576666970267,2019-12-18T11:02:50.267,1.133,0.480,-0.044,0.840
1576666970287,2019-12-18T11:02:50.287,1.153,0.480,-0.046,0.842
1576666970306,2019-12-18T11:02:50.306,1.172,0.476,-0.047,0.845
1576666970327,2019-12-18T11:02:50.327,1.193,0.475,-0.047,0.846
1576666970346,2019-12-18T11:02:50.346,1.212,0.480,-0.048,0.845
1576666970366,2019-12-18T11:02:50.366,1.232,0.478,-0.050,0.846
1576666970385,2019-12-18T11:02:50.385,1.251,0.448,-0.052,0.852
1576666970406,2019-12-18T11:02:50.406,1.272,0.426,-0.049,0.861
1576666970425,2019-12-18T11:02:50.425,1.291,0.421,-0.045,0.869
1576666970445,2019-12-18T11:02:50.445,1.311,0.425,-0.044,0.866
1576666970466,2019-12-18T11:02:50.466,1.332,0.430,-0.051,0.862
1576666970485,2019-12-18T11:02:50.485,1.351,0.429,-0.048,0.867
1576666970505,2019-12-18T11:02:50.505,1.371,0.423,-0.046,0.874
1576666970524,2019-12-18T11:02:50.524,1.390,0.423,-0.050,0.871
1576666970545,2019-12-18T11:02:50.545,1.411,0.428,-0.053,0.872
1576666970564,2019-12-18T11:02:50.564,1.430,0.427,-0.050,0.883
1576666970584,2019-12-18T11:02:50.584,1.450,0.425,-0.047,0.889
1576666970605,2019-12-18T11:02:50.605,1.471,0.431,-0.056,0.878
1576666970624,2019-12-18T11:02:50.624,1.490,0.410,-0.062,0.886
1576666970644,2019-12-18T11:02:50.644,1.510,0.358,-0.067,0.916
1576666970663,2019-12-18T11:02:50.663,1.529,0.276,-0.086,0.923
1576666970684,2019-12-18T11:02:50.684,1.550,0.233,-0.095,0.912
1576666970703,2019-12-18T11:02:50.703,1.569,0.268,-0.103,0.906
1576666970724,2019-12-18T11:02:50.724,1.590,0.316,-0.181,0.914
1576666970744,2019-12-18T11:02:50.744,1.610,0.269,-0.220,0.936
1576666970763,2019-12-18T11:02:50.763,1.629,0.171,-0.165,0.961
1576666970784,2019-12-18T11:02:50.784,1.650,0.206,-0.124,0.923
1576666970803,2019-12-18T11:02:50.803,1.669,0.144,-0.113,0.922
1576666970823,2019-12-18T11:02:50.823,1.689,0.151,-0.069,0.930
1576666970842,2019-12-18T11:02:50.842,1.708,0.200,-0.008,0.926
1576666970863,2019-12-18T11:02:50.863,1.729,0.217,0.033,0.914
1576666970883,2019-12-18T11:02:50.883,1.749,0.249,0.071,0.922
1576666970902,2019-12-18T11:02:50.902,1.768,0.280,0.038,0.935
1576666970923,2019-12-18T11:02:50.923,1.789,0.178,0.045,0.938
1576666970942,2019-12-18T11:02:50.942,1.808,0.203,0.041,0.935
1576666970962,2019-12-18T11:02:50.962,1.828,0.249,0.034,0.932
1576666970981,2019-12-18T11:02:50.981,1.847,0.261,0.048,0.927
1576666971002,2019-12-18T11:02:51.002,1.868,0.264,0.049,0.926
1576666971022,2019-12-18T11:02:51.022,1.888,0.271,0.016,0.930
1576666971041,2019-12-18T11:02:51.041,1.907,0.234,-0.030,0.933
1576666971062,2019-12-18T11:02:51.062,1.928,0.217,-0.034,0.934
1576666971081,2019-12-18T11:02:51.081,1.947,0.242,-0.033,0.936
1576666971101,2019-12-18T11:02:51.101,1.967,0.250,-0.033,0.936
1576666971121,2019-12-18T11:02:51.121,1.987,0.246,-0.033,0.936
