epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576669883171,2019-12-18T11:51:23.171,0.000,2.264,-5.823,-2.576
1576669883190,2019-12-18T11:51:23.190,0.019,2.020,-6.090,-2.896
1576669883211,2019-12-18T11:51:23.211,0.040,2.317,-7.416,-3.155
1576669883230,2019-12-18T11:51:23.230,0.059,3.323,-9.268,-3.521
1576669883250,2019-12-18T11:51:23.250,0.079,4.063,-9.284,-2.447
1576669883271,2019-12-18T11:51:23.271,0.100,3.232,-8.346,-3.171
1576669883290,2019-12-18T11:51:23.290,0.119,3.186,-8.704,-3.300
1576669883310,2019-12-18T11:51:23.310,0.139,2.843,-5.358,-3.453
1576669883329,2019-12-18T11:51:23.329,0.158,3.407,-7.721,-3.758
1576669883350,2019-12-18T11:51:23.350,0.179,3.643,-8.857,-3.895
1576669883369,2019-12-18T11:51:23.369,0.198,3.445,-9.085,-4.184
1576669883390,2019-12-18T11:51:23.390,0.219,2.942,-8.834,-4.764
1576669883410,2019-12-18T11:51:23.410,0.239,2.248,-7.165,-5.587
1576669883429,2019-12-18T11:51:23.429,0.258,1.738,-6.928,-6.197
1576669883450,2019-12-18T11:51:23.450,0.279,1.768,-7.660,-5.099
1576669883469,2019-12-18T11:51:23.469,0.298,1.662,-6.730,-3.377
1576669883489,2019-12-18T11:51:23.489,0.318,2.012,-6.982,-2.889
1576669883508,2019-12-18T11:51:23.508,0.337,2.759,-7.508,-2.309
1576669883529,2019-12-18T11:51:23.529,0.358,2.843,-5.915,-1.128
1576669883549,2019-12-18T11:51:23.549,0.378,2.630,-4.200,-0.335
1576669883568,2019-12-18T11:51:23.568,0.397,2.050,-3.239,0.655
1576669883589,2019-12-18T11:51:23.589,0.418,2.180,-2.180,0.313
1576669883608,2019-12-18T11:51:23.608,0.437,2.157,-2.294,-0.351
1576669883628,2019-12-18T11:51:23.628,0.457,0.991,-2.088,-1.509
1576669883647,2019-12-18T11:51:23.647,0.476,1.098,-3.011,-2.896
1576669883668,2019-12-18T11:51:23.668,0.497,1.098,-1.258,-3.201
1576669883688,2019-12-18T11:51:23.688,0.517,1.402,-1.913,-3.681
1576669883707,2019-12-18T11:51:23.707,0.536,3.003,-6.189,-3.537
1576669883728,2019-12-18T11:51:23.728,0.557,4.123,-7.134,-4.314
1576669883747,2019-12-18T11:51:23.747,0.576,3.925,-4.604,-5.335
1576669883767,2019-12-18T11:51:23.767,0.596,4.291,-4.116,-5.168
1576669883786,2019-12-18T11:51:23.786,0.615,4.306,-5.793,-3.872
1576669883807,2019-12-18T11:51:23.807,0.636,3.628,-6.197,-1.913
1576669883827,2019-12-18T11:51:23.827,0.656,2.698,-2.637,0.587
1576669883847,2019-12-18T11:51:23.847,0.676,0.838,4.192,2.386
1576669883867,2019-12-18T11:51:23.867,0.696,-1.014,10.160,3.796
1576669883886,2019-12-18T11:51:23.886,0.715,-2.058,14.238,5.213
1576669883907,2019-12-18T11:51:23.907,0.736,-2.142,15.854,6.296
1576669883926,2019-12-18T11:51:23.926,0.755,-1.563,14.848,6.456
1576669883946,2019-12-18T11:51:23.946,0.775,-1.212,11.806,5.534
1576669883967,2019-12-18T11:51:23.967,0.796,-3.117,8.361,5.221
1576669883986,2019-12-18T11:51:23.986,0.815,-10.053,6.669,6.090
1576669884006,2019-12-18T11:51:24.006,0.835,-6.151,9.703,3.704
1576669884025,2019-12-18T11:51:24.025,0.854,0.122,6.509,2.363
1576669884046,2019-12-18T11:51:24.046,0.875,1.944,1.883,2.500
1576669884065,2019-12-18T11:51:24.065,0.894,2.066,0.762,1.654
1576669884085,2019-12-18T11:51:24.085,0.914,2.066,0.617,-0.526
1576669884106,2019-12-18T11:51:24.106,0.935,2.881,-1.265,-2.043
1576669884125,2019-12-18T11:51:24.125,0.954,4.383,-5.343,-2.721
1576669884145,2019-12-18T11:51:24.145,0.974,5.846,-8.491,-2.774
1576669884164,2019-12-18T11:51:24.164,0.993,6.715,-9.672,-2.492
1576669884185,2019-12-18T11:51:24.185,1.014,6.745,-9.512,-2.256
1576669884204,2019-12-18T11:51:24.204,1.033,6.601,-8.155,-1.959
1576669884224,2019-12-18T11:51:24.224,1.053,6.486,-6.433,-0.953
1576669884244,2019-12-18T11:51:24.244,1.073,6.433,-3.559,0.953
1576669884264,2019-12-18T11:51:24.264,1.093,6.113,-0.213,3.133
1576669884285,2019-12-18T11:51:24.285,1.114,5.084,2.424,4.268
1576669884304,2019-12-18T11:51:24.304,1.133,3.087,5.313,4.108
1576669884324,2019-12-18T11:51:24.324,1.153,0.816,8.453,3.765
1576669884343,2019-12-18T11:51:24.343,1.172,-0.671,10.389,4.123
1576669884364,2019-12-18T11:51:24.364,1.193,-1.639,11.014,4.550
1576669884383,2019-12-18T11:51:24.383,1.212,-3.720,10.313,2.637
