epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576840327882,2019-12-20T11:12:07.882,0.000,0.637,0.180,0.709
1576840327903,2019-12-20T11:12:07.903,0.021,0.643,0.182,0.714
1576840327922,2019-12-20T11:12:07.922,0.040,0.638,0.181,0.714
1576840327942,2019-12-20T11:12:07.942,0.060,0.633,0.179,0.714
1576840327961,2019-12-20T11:12:07.961,0.079,0.628,0.183,0.717
1576840327982,2019-12-20T11:12:07.982,0.100,0.627,0.181,0.717
1576840328001,2019-12-20T11:12:08.001,0.119,0.632,0.181,0.717
1576840328021,2019-12-20T11:12:08.021,0.139,0.638,0.178,0.713
1576840328042,2019-12-20T11:12:08.042,0.160,0.647,0.182,0.714
1576840328061,2019-12-20T11:12:08.061,0.179,0.646,0.180,0.710
1576840328082,2019-12-20T11:12:08.082,0.200,0.643,0.182,0.713
1576840328101,2019-12-20T11:12:08.101,0.219,0.637,0.182,0.719
1576840328121,2019-12-20T11:12:08.121,0.239,0.621,0.177,0.725
1576840328140,2019-12-20T11:12:08.140,0.258,0.611,0.171,0.728
1576840328161,2019-12-20T11:12:08.161,0.279,0.610,0.175,0.728
1576840328180,2019-12-20T11:12:08.180,0.298,0.610,0.181,0.727
1576840328200,2019-12-20T11:12:08.200,0.318,0.614,0.183,0.726
1576840328221,2019-12-20T11:12:08.221,0.339,0.619,0.182,0.727
1576840328240,2019-12-20T11:12:08.240,0.358,0.619,0.179,0.726
1576840328260,2019-12-20T11:12:08.260,0.378,0.616,0.180,0.725
1576840328279,2019-12-20T11:12:08.279,0.397,0.614,0.178,0.725
1576840328300,2019-12-20T11:12:08.300,0.418,0.618,0.181,0.733
1576840328319,2019-12-20T11:12:08.319,0.437,0.618,0.177,0.729
1576840328339,2019-12-20T11:12:08.339,0.457,0.615,0.177,0.719
1576840328360,2019-12-20T11:12:08.360,0.478,0.621,0.184,0.727
1576840328379,2019-12-20T11:12:08.379,0.497,0.628,0.177,0.729
1576840328399,2019-12-20T11:12:08.399,0.517,0.622,0.176,0.722
1576840328418,2019-12-20T11:12:08.418,0.536,0.624,0.183,0.719
1576840328439,2019-12-20T11:12:08.439,0.557,0.634,0.180,0.726
1576840328458,2019-12-20T11:12:08.458,0.576,0.627,0.175,0.722
1576840328479,2019-12-20T11:12:08.479,0.597,0.626,0.178,0.719
1576840328499,2019-12-20T11:12:08.499,0.617,0.629,0.184,0.720
1576840328518,2019-12-20T11:12:08.518,0.636,0.633,0.183,0.726
1576840328539,2019-12-20T11:12:08.539,0.657,0.624,0.177,0.721
1576840328558,2019-12-20T11:12:08.558,0.676,0.625,0.179,0.721
1576840328578,2019-12-20T11:12:08.578,0.696,0.626,0.180,0.725
1576840328597,2019-12-20T11:12:08.597,0.715,0.623,0.175,0.727
1576840328618,2019-12-20T11:12:08.618,0.736,0.618,0.178,0.724
1576840328638,2019-12-20T11:12:08.638,0.756,0.621,0.180,0.726
1576840328657,2019-12-20T11:12:08.657,0.775,0.622,0.178,0.727
1576840328678,2019-12-20T11:12:08.678,0.796,0.620,0.178,0.723
1576840328697,2019-12-20T11:12:08.697,0.815,0.625,0.179,0.723
1576840328717,2019-12-20T11:12:08.717,0.835,0.625,0.179,0.725
1576840328736,2019-12-20T11:12:08.736,0.854,0.620,0.178,0.724
1576840328757,2019-12-20T11:12:08.757,0.875,0.623,0.181,0.727
1576840328776,2019-12-20T11:12:08.776,0.894,0.624,0.180,0.721
1576840328796,2019-12-20T11:12:08.796,0.914,0.626,0.180,0.724
1576840328817,2019-12-20T11:12:08.817,0.935,0.622,0.179,0.726
1576840328836,2019-12-20T11:12:08.836,0.954,0.624,0.177,0.725
1576840328856,2019-12-20T11:12:08.856,0.974,0.619,0.181,0.726
1576840328875,2019-12-20T11:12:08.875,0.993,0.620,0.181,0.727
1576840328896,2019-12-20T11:12:08.896,1.014,0.621,0.180,0.724
1576840328915,2019-12-20T11:12:08.915,1.033,0.622,0.180,0.728
1576840328936,2019-12-20T11:12:08.936,1.054,0.620,0.177,0.729
1576840328956,2019-12-20T11:12:08.956,1.074,0.614,0.173,0.728
1576840328975,2019-12-20T11:12:08.975,1.093,0.617,0.182,0.729
1576840328996,2019-12-20T11:12:08.996,1.114,0.619,0.181,0.728
1576840329015,2019-12-20T11:12:09.015,1.133,0.621,0.180,0.725
1576840329035,2019-12-20T11:12:09.035,1.153,0.620,0.180,0.726
1576840329054,2019-12-20T11:12:09.054,1.172,0.619,0.180,0.727
1576840329075,2019-12-20T11:12:09.075,1.193,0.618,0.177,0.728
1576840329095,2019-12-20T11:12:09.095,1.213,0.619,0.179,0.727
1576840329114,2019-12-20T11:12:09.114,1.232,0.619,0.181,0.726
1576840329135,2019-12-20T11:12:09.135,1.253,0.620,0.178,0.728
1576840329154,2019-12-20T11:12:09.154,1.272,0.620,0.176,0.727
1576840329174,2019-12-20T11:12:09.174,1.292,0.622,0.180,0.724
1576840329193,2019-12-20T11:12:09.193,1.311,0.625,0.181,0.724
1576840329214,2019-12-20T11:12:09.214,1.332,0.625,0.180,0.725
1576840329234,2019-12-20T11:12:09.234,1.352,0.627,0.178,0.727
