epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576838556693,2019-12-20T10:42:36.693,0.000,0.414,-0.171,0.861
1576838556712,2019-12-20T10:42:36.712,0.019,0.409,-0.115,0.851
1576838556733,2019-12-20T10:42:36.733,0.040,0.381,-0.128,0.731
1576838556752,2019-12-20T10:42:36.752,0.059,0.416,-0.126,0.709
1576838556772,2019-12-20T10:42:36.772,0.079,0.456,-0.096,0.766
1576838556793,2019-12-20T10:42:36.793,0.100,0.375,-0.048,0.774
1576838556812,2019-12-20T10:42:36.812,0.119,0.554,-0.047,0.832
1576838556832,2019-12-20T10:42:36.832,0.139,0.531,0.066,0.903
1576838556851,2019-12-20T10:42:36.851,0.158,0.433,0.115,1.022
1576838556872,2019-12-20T10:42:36.872,0.179,0.443,0.111,1.113
1576838556891,2019-12-20T10:42:36.891,0.198,0.284,0.046,0.960
1576838556911,2019-12-20T10:42:36.911,0.218,0.240,-0.001,0.911
1576838556930,2019-12-20T10:42:36.930,0.237,0.086,-0.034,0.933
1576838556951,2019-12-20T10:42:36.951,0.258,0.043,0.004,0.959
1576838556971,2019-12-20T10:42:36.971,0.278,0.035,0.014,0.976
1576838556991,2019-12-20T10:42:36.991,0.298,0.030,0.002,0.968
1576838557011,2019-12-20T10:42:37.011,0.318,0.054,0.017,0.973
1576838557030,2019-12-20T10:42:37.030,0.337,0.060,0.008,0.989
1576838557051,2019-12-20T10:42:37.051,0.358,0.100,-0.026,0.952
1576838557070,2019-12-20T10:42:37.070,0.377,0.099,-0.024,0.943
1576838557090,2019-12-20T10:42:37.090,0.397,0.116,-0.016,0.956
1576838557111,2019-12-20T10:42:37.111,0.418,0.141,-0.047,0.963
1576838557130,2019-12-20T10:42:37.130,0.437,0.083,-0.023,0.953
1576838557150,2019-12-20T10:42:37.150,0.457,0.042,-0.054,0.962
1576838557169,2019-12-20T10:42:37.169,0.476,0.032,-0.037,0.964
1576838557190,2019-12-20T10:42:37.190,0.497,0.065,-0.035,0.963
1576838557209,2019-12-20T10:42:37.209,0.516,0.086,-0.036,0.958
1576838557229,2019-12-20T10:42:37.229,0.536,0.098,-0.035,0.953
1576838557250,2019-12-20T10:42:37.250,0.557,0.093,-0.027,0.961
1576838557269,2019-12-20T10:42:37.269,0.576,0.077,-0.029,0.960
1576838557289,2019-12-20T10:42:37.289,0.596,0.070,-0.026,0.961
1576838557308,2019-12-20T10:42:37.308,0.615,0.081,-0.028,0.958
1576838557329,2019-12-20T10:42:37.329,0.636,0.083,-0.027,0.961
1576838557348,2019-12-20T10:42:37.348,0.655,0.077,-0.031,0.962
1576838557368,2019-12-20T10:42:37.368,0.675,0.070,-0.034,0.957
1576838557389,2019-12-20T10:42:37.389,0.696,0.079,-0.032,0.960
1576838557408,2019-12-20T10:42:37.408,0.715,0.093,-0.027,0.960
1576838557429,2019-12-20T10:42:37.429,0.736,0.091,-0.029,0.958
1576838557448,2019-12-20T10:42:37.448,0.755,0.079,-0.028,0.958
1576838557468,2019-12-20T10:42:37.468,0.775,0.073,-0.028,0.960
1576838557487,2019-12-20T10:42:37.487,0.794,0.080,-0.024,0.964
1576838557508,2019-12-20T10:42:37.508,0.815,0.086,-0.027,0.957
1576838557528,2019-12-20T10:42:37.528,0.835,0.095,-0.028,0.954
1576838557547,2019-12-20T10:42:37.547,0.854,0.106,-0.023,0.962
1576838557568,2019-12-20T10:42:37.568,0.875,0.094,-0.025,0.962
1576838557587,2019-12-20T10:42:37.587,0.894,0.083,-0.025,0.959
1576838557607,2019-12-20T10:42:37.607,0.914,0.088,-0.027,0.958
1576838557626,2019-12-20T10:42:37.626,0.933,0.092,-0.028,0.961
1576838557647,2019-12-20T10:42:37.647,0.954,0.093,-0.030,0.957
1576838557666,2019-12-20T10:42:37.666,0.973,0.091,-0.032,0.958
1576838557686,2019-12-20T10:42:37.686,0.993,0.089,-0.033,0.959
1576838557707,2019-12-20T10:42:37.707,1.014,0.083,-0.031,0.962
1576838557726,2019-12-20T10:42:37.726,1.033,0.083,-0.033,0.959
1576838557746,2019-12-20T10:42:37.746,1.053,0.088,-0.032,0.959
1576838557765,2019-12-20T10:42:37.765,1.072,0.096,-0.036,0.956
1576838557786,2019-12-20T10:42:37.786,1.093,0.094,-0.030,0.960
1576838557805,2019-12-20T10:42:37.805,1.112,0.090,-0.030,0.959
1576838557826,2019-12-20T10:42:37.826,1.133,0.088,-0.032,0.959
1576838557846,2019-12-20T10:42:37.846,1.153,0.088,-0.031,0.961
1576838557865,2019-12-20T10:42:37.865,1.172,0.091,-0.033,0.958
1576838557886,2019-12-20T10:42:37.886,1.193,0.096,-0.031,0.959
1576838557905,2019-12-20T10:42:37.905,1.212,0.093,-0.033,0.960
1576838557925,2019-12-20T10:42:37.925,1.232,0.091,-0.034,0.960
1576838557944,2019-12-20T10:42:37.944,1.251,0.098,-0.031,0.957
1576838557965,2019-12-20T10:42:37.965,1.272,0.106,-0.034,0.954
1576838557985,2019-12-20T10:42:37.985,1.292,0.102,-0.033,0.958
1576838558004,2019-12-20T10:42:38.004,1.311,0.092,-0.031,0.962
1576838558025,2019-12-20T10:42:38.025,1.332,0.081,-0.039,0.960
1576838558044,2019-12-20T10:42:38.044,1.351,0.069,-0.042,0.970
1576838558064,2019-12-20T10:42:38.064,1.371,0.040,-0.035,0.991
1576838558083,2019-12-20T10:42:38.083,1.390,0.014,-0.027,1.017
1576838558104,2019-12-20T10:42:38.104,1.411,-0.060,0.020,1.078
1576838558124,2019-12-20T10:42:38.124,1.431,-0.204,0.041,1.073
1576838558143,2019-12-20T10:42:38.143,1.450,-0.221,0.030,1.183
1576838558164,2019-12-20T10:42:38.164,1.471,0.028,-0.080,1.460
1576838558183,2019-12-20T10:42:38.183,1.490,0.464,0.185,1.651
1576838558203,2019-12-20T10:42:38.203,1.510,0.200,0.121,1.742
1576838558222,2019-12-20T10:42:38.222,1.529,-0.172,0.010,1.966
1576838558243,2019-12-20T10:42:38.243,1.550,-0.298,-0.057,2.052
1576838558262,2019-12-20T10:42:38.262,1.569,-0.297,-0.131,1.920
1576838558283,2019-12-20T10:42:38.283,1.590,-0.255,-0.133,1.878
1576838558303,2019-12-20T10:42:38.303,1.610,-0.220,-0.019,1.910
1576838558322,2019-12-20T10:42:38.322,1.629,-0.205,0.112,1.910
1576838558343,2019-12-20T10:42:38.343,1.650,-0.391,0.171,1.726
1576838558362,2019-12-20T10:42:38.362,1.669,-0.434,0.245,1.589
1576838558382,2019-12-20T10:42:38.382,1.689,-0.344,0.378,1.552
1576838558401,2019-12-20T10:42:38.401,1.708,-0.282,0.506,1.499
1576838558422,2019-12-20T10:42:38.422,1.729,-0.219,0.572,1.449
1576838558442,2019-12-20T10:42:38.442,1.749,-0.251,0.625,1.282
1576838558461,2019-12-20T10:42:38.461,1.768,-0.272,0.643,0.926
1576838558482,2019-12-20T10:42:38.482,1.789,-0.037,0.689,0.999
1576838558501,2019-12-20T10:42:38.501,1.808,0.123,0.728,1.009
1576838558521,2019-12-20T10:42:38.521,1.828,0.030,0.596,0.740
1576838558540,2019-12-20T10:42:38.540,1.847,-0.040,0.412,0.494
1576838558561,2019-12-20T10:42:38.561,1.868,-0.026,0.215,0.320
1576838558581,2019-12-20T10:42:38.581,1.888,0.064,0.096,0.202
1576838558600,2019-12-20T10:42:38.600,1.907,0.170,-0.047,0.151
1576838558621,2019-12-20T10:42:38.621,1.928,0.173,-0.225,0.051
1576838558640,2019-12-20T10:42:38.640,1.947,0.234,-0.387,0.032
1576838558660,2019-12-20T10:42:38.660,1.967,0.252,-0.444,0.004
1576838558680,2019-12-20T10:42:38.680,1.987,0.198,-0.516,-0.057
1576838558700,2019-12-20T10:42:38.700,2.007,0.070,-0.605,-0.099
1576838558721,2019-12-20T10:42:38.721,2.028,-0.037,-0.646,-0.092
1576838558740,2019-12-20T10:42:38.740,2.047,-0.165,-0.686,-0.126
1576838558760,2019-12-20T10:42:38.760,2.067,-0.292,-0.764,-0.158
1576838558779,2019-12-20T10:42:38.779,2.086,-0.252,-0.791,-0.133
1576838558800,2019-12-20T10:42:38.800,2.107,-0.141,-0.804,-0.098
1576838558819,2019-12-20T10:42:38.819,2.126,-0.175,-0.832,-0.144
1576838558839,2019-12-20T10:42:38.839,2.146,-0.257,-0.848,-0.219
1576838558860,2019-12-20T10:42:38.860,2.167,-0.208,-0.873,-0.261
1576838558879,2019-12-20T10:42:38.879,2.186,-0.159,-0.883,-0.296
1576838558899,2019-12-20T10:42:38.899,2.206,-0.164,-0.881,-0.326
1576838558918,2019-12-20T10:42:38.918,2.225,-0.169,-0.852,-0.346
1576838558939,2019-12-20T10:42:38.939,2.246,-0.140,-0.852,-0.393
1576838558958,2019-12-20T10:42:38.958,2.265,-0.118,-0.857,-0.423
1576838558978,2019-12-20T10:42:38.978,2.285,-0.115,-0.843,-0.465
1576838558999,2019-12-20T10:42:38.999,2.306,-0.127,-0.857,-0.548
1576838559018,2019-12-20T10:42:39.018,2.325,-0.115,-0.872,-0.577
1576838559038,2019-12-20T10:42:39.038,2.345,-0.108,-0.858,-0.589
1576838559057,2019-12-20T10:42:39.057,2.364,-0.112,-0.872,-0.633
1576838559078,2019-12-20T10:42:39.078,2.385,-0.133,-0.900,-0.689
