epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576838556573,2019-12-20T10:42:36.573,0.000,-17.561,-55.175,-62.515
1576838556594,2019-12-20T10:42:36.594,0.021,-17.752,-56.303,-61.791
1576838556613,2019-12-20T10:42:36.613,0.040,-22.942,-67.188,-61.296
1576838556633,2019-12-20T10:42:36.633,0.060,-28.742,-80.823,-60.709
1576838556654,2019-12-20T10:42:36.654,0.081,-29.901,-69.794,-67.210
1576838556673,2019-12-20T10:42:36.673,0.100,-26.540,-40.168,-74.672
1576838556693,2019-12-20T10:42:36.693,0.120,-15.739,-4.840,-77.820
1576838556712,2019-12-20T10:42:36.712,0.139,-4.672,20.595,-77.744
1576838556733,2019-12-20T10:42:36.733,0.160,1.349,26.799,-73.125
1576838556752,2019-12-20T10:42:36.752,0.179,7.492,31.623,-63.857
1576838556772,2019-12-20T10:42:36.772,0.199,13.613,44.390,-57.355
1576838556793,2019-12-20T10:42:36.793,0.220,19.360,43.742,-56.044
1576838556812,2019-12-20T10:42:36.812,0.239,24.748,29.146,-58.216
1576838556832,2019-12-20T10:42:36.832,0.259,36.151,72.050,-69.428
1576838556851,2019-12-20T10:42:36.851,0.278,31.966,87.127,-65.320
1576838556872,2019-12-20T10:42:36.872,0.299,22.866,59.962,-27.721
1576838556891,2019-12-20T10:42:36.891,0.318,7.119,39.291,-7.576
1576838556911,2019-12-20T10:42:36.911,0.338,-4.970,45.968,-9.680
1576838556932,2019-12-20T10:42:36.932,0.359,-8.110,55.793,-3.788
1576838556951,2019-12-20T10:42:36.951,0.378,-4.116,43.735,11.410
1576838556971,2019-12-20T10:42:36.971,0.398,-0.877,33.857,4.886
1576838556991,2019-12-20T10:42:36.991,0.418,0.640,27.614,-6.227
1576838557011,2019-12-20T10:42:37.011,0.438,-1.220,20.061,-6.456
1576838557030,2019-12-20T10:42:37.030,0.457,-7.287,8.445,-7.835
1576838557051,2019-12-20T10:42:37.051,0.478,-11.829,0.495,-6.197
1576838557070,2019-12-20T10:42:37.070,0.497,-12.005,6.723,-1.296
1576838557090,2019-12-20T10:42:37.090,0.517,-11.059,11.532,-2.447
1576838557111,2019-12-20T10:42:37.111,0.538,-9.459,12.005,-7.637
1576838557130,2019-12-20T10:42:37.130,0.557,-6.280,15.572,-2.500
1576838557150,2019-12-20T10:42:37.150,0.577,-3.910,13.018,-9.230
1576838557169,2019-12-20T10:42:37.169,0.596,-2.058,7.462,-0.206
1576838557190,2019-12-20T10:42:37.190,0.617,-0.305,2.035,0.587
1576838557209,2019-12-20T10:42:37.209,0.636,1.341,-0.130,-0.297
1576838557229,2019-12-20T10:42:37.229,0.656,2.363,0.869,-0.343
1576838557250,2019-12-20T10:42:37.250,0.677,2.576,1.936,-0.328
1576838557269,2019-12-20T10:42:37.269,0.696,2.218,1.662,-0.328
1576838557289,2019-12-20T10:42:37.289,0.716,1.890,0.412,-0.229
1576838557308,2019-12-20T10:42:37.308,0.735,0.976,-0.953,-0.053
1576838557329,2019-12-20T10:42:37.329,0.756,0.427,-0.800,0.053
1576838557348,2019-12-20T10:42:37.348,0.775,0.107,-0.793,0.069
1576838557368,2019-12-20T10:42:37.368,0.795,0.450,-1.334,0.084
1576838557389,2019-12-20T10:42:37.389,0.816,1.616,-2.058,0.122
1576838557408,2019-12-20T10:42:37.408,0.835,2.401,-1.623,0.145
1576838557429,2019-12-20T10:42:37.429,0.856,2.279,-0.282,0.061
1576838557448,2019-12-20T10:42:37.448,0.875,2.188,0.389,0.023
1576838557468,2019-12-20T10:42:37.468,0.895,2.142,-0.396,0.122
1576838557487,2019-12-20T10:42:37.487,0.914,2.005,-1.723,0.335
1576838557508,2019-12-20T10:42:37.508,0.935,1.433,-2.561,0.427
1576838557528,2019-12-20T10:42:37.528,0.955,1.021,-2.409,0.412
1576838557547,2019-12-20T10:42:37.547,0.974,0.732,-1.646,0.328
1576838557568,2019-12-20T10:42:37.568,0.995,-0.053,-0.648,0.145
1576838557587,2019-12-20T10:42:37.587,1.014,-0.655,-0.404,0.198
1576838557607,2019-12-20T10:42:37.607,1.034,-1.151,-0.785,0.259
1576838557626,2019-12-20T10:42:37.626,1.053,-1.334,-1.098,0.297
1576838557647,2019-12-20T10:42:37.647,1.074,-1.372,-0.777,0.267
1576838557666,2019-12-20T10:42:37.666,1.093,-0.983,0.023,0.137
1576838557686,2019-12-20T10:42:37.686,1.113,-0.587,0.282,0.107
1576838557707,2019-12-20T10:42:37.707,1.134,-0.419,0.206,-0.038
1576838557726,2019-12-20T10:42:37.726,1.153,-0.130,-0.320,0.076
1576838557746,2019-12-20T10:42:37.746,1.173,0.168,-0.983,0.160
1576838557765,2019-12-20T10:42:37.765,1.192,0.229,-1.159,0.137
1576838557786,2019-12-20T10:42:37.786,1.213,0.724,-0.488,-0.053
1576838557805,2019-12-20T10:42:37.805,1.232,0.724,-0.175,-0.084
1576838557826,2019-12-20T10:42:37.826,1.253,0.793,-0.206,-0.038
1576838557846,2019-12-20T10:42:37.846,1.273,0.953,-0.427,-0.076
1576838557865,2019-12-20T10:42:37.865,1.292,0.777,-1.006,0.015
1576838557886,2019-12-20T10:42:37.886,1.313,0.983,-0.869,0.015
1576838557905,2019-12-20T10:42:37.905,1.332,1.098,-0.175,-0.160
1576838557925,2019-12-20T10:42:37.925,1.352,1.341,-0.351,-0.198
1576838557944,2019-12-20T10:42:37.944,1.371,1.585,-0.572,-0.206
1576838557965,2019-12-20T10:42:37.965,1.392,2.149,-0.267,-0.404
1576838557985,2019-12-20T10:42:37.985,1.412,3.201,0.922,-0.800
1576838558004,2019-12-20T10:42:38.004,1.431,3.849,1.448,-1.189
1576838558025,2019-12-20T10:42:38.025,1.452,4.878,0.762,-1.334
1576838558044,2019-12-20T10:42:38.044,1.471,8.613,-1.235,-1.364
1576838558064,2019-12-20T10:42:38.064,1.491,13.720,-6.059,-1.159
1576838558083,2019-12-20T10:42:38.083,1.510,19.367,-16.235,0.046
1576838558104,2019-12-20T10:42:38.104,1.531,25.922,-35.320,4.146
1576838558124,2019-12-20T10:42:38.124,1.551,30.564,-78.780,19.002
1576838558143,2019-12-20T10:42:38.143,1.570,43.498,-133.636,58.392
1576838558164,2019-12-20T10:42:38.164,1.591,36.296,-140.396,78.773
1576838558183,2019-12-20T10:42:38.183,1.610,31.784,-27.591,70.602
1576838558203,2019-12-20T10:42:38.203,1.630,24.276,119.413,9.573
1576838558222,2019-12-20T10:42:38.222,1.649,5.206,162.576,-11.875
1576838558243,2019-12-20T10:42:38.243,1.670,-11.448,168.651,-17.668
1576838558263,2019-12-20T10:42:38.263,1.690,-19.337,181.692,-36.883
1576838558283,2019-12-20T10:42:38.283,1.710,-16.212,196.639,-54.284
1576838558303,2019-12-20T10:42:38.303,1.730,-6.593,230.899,-74.444
1576838558322,2019-12-20T10:42:38.322,1.749,0.686,249.748,-103.498
1576838558343,2019-12-20T10:42:38.343,1.770,5.648,249.748,-136.120
1576838558362,2019-12-20T10:42:38.362,1.789,1.540,244.741,-164.520
1576838558382,2019-12-20T10:42:38.382,1.809,-10.175,208.864,-194.139
1576838558401,2019-12-20T10:42:38.401,1.828,-27.431,179.992,-219.352
1576838558422,2019-12-20T10:42:38.422,1.849,-48.117,166.730,-240.091
1576838558442,2019-12-20T10:42:38.442,1.869,-69.726,132.934,-249.748
1576838558461,2019-12-20T10:42:38.461,1.888,-88.415,61.441,-249.748
1576838558482,2019-12-20T10:42:38.482,1.909,-116.159,12.713,-249.558
