epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576685752324,2019-12-18T16:15:52.324,0.000,0.195,0.949,-0.260
1576685752344,2019-12-18T16:15:52.344,0.020,0.196,0.958,-0.263
1576685752363,2019-12-18T16:15:52.363,0.039,0.194,0.957,-0.264
1576685752384,2019-12-18T16:15:52.384,0.060,0.193,0.956,-0.263
1576685752403,2019-12-18T16:15:52.403,0.079,0.192,0.955,-0.263
1576685752423,2019-12-18T16:15:52.423,0.099,0.195,0.958,-0.265
1576685752443,2019-12-18T16:15:52.443,0.119,0.195,0.957,-0.265
1576685752463,2019-12-18T16:15:52.463,0.139,0.196,0.956,-0.265
1576685752484,2019-12-18T16:15:52.484,0.160,0.194,0.955,-0.268
1576685752503,2019-12-18T16:15:52.503,0.179,0.194,0.957,-0.266
1576685752523,2019-12-18T16:15:52.523,0.199,0.192,0.957,-0.265
1576685752542,2019-12-18T16:15:52.542,0.218,0.193,0.956,-0.266
1576685752563,2019-12-18T16:15:52.563,0.239,0.193,0.954,-0.265
1576685752582,2019-12-18T16:15:52.582,0.258,0.195,0.956,-0.263
1576685752602,2019-12-18T16:15:52.602,0.278,0.197,0.955,-0.262
1576685752621,2019-12-18T16:15:52.621,0.297,0.198,0.955,-0.263
1576685752642,2019-12-18T16:15:52.642,0.318,0.199,0.956,-0.263
1576685752662,2019-12-18T16:15:52.662,0.338,0.198,0.957,-0.264
1576685752681,2019-12-18T16:15:52.681,0.357,0.199,0.957,-0.263
1576685752702,2019-12-18T16:15:52.702,0.378,0.199,0.957,-0.265
1576685752721,2019-12-18T16:15:52.721,0.397,0.200,0.955,-0.267
1576685752741,2019-12-18T16:15:52.741,0.417,0.197,0.956,-0.262
1576685752760,2019-12-18T16:15:52.760,0.436,0.197,0.957,-0.260
1576685752781,2019-12-18T16:15:52.781,0.457,0.198,0.953,-0.258
1576685752801,2019-12-18T16:15:52.801,0.477,0.196,0.952,-0.257
