epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576671004840,2019-12-18T12:10:04.840,0.000,0.218,0.965,0.030
1576671004860,2019-12-18T12:10:04.860,0.020,0.221,0.973,0.030
1576671004881,2019-12-18T12:10:04.881,0.041,0.222,0.970,0.029
1576671004900,2019-12-18T12:10:04.900,0.060,0.219,0.970,0.032
1576671004920,2019-12-18T12:10:04.920,0.080,0.223,0.968,0.033
1576671004939,2019-12-18T12:10:04.939,0.099,0.223,0.969,0.033
1576671004960,2019-12-18T12:10:04.960,0.120,0.221,0.970,0.035
1576671004979,2019-12-18T12:10:04.979,0.139,0.225,0.970,0.036
1576671004999,2019-12-18T12:10:04.999,0.159,0.225,0.968,0.035
1576671005020,2019-12-18T12:10:05.020,0.180,0.225,0.969,0.033
1576671005039,2019-12-18T12:10:05.039,0.199,0.229,0.968,0.033
1576671005059,2019-12-18T12:10:05.059,0.219,0.230,0.968,0.030
1576671005078,2019-12-18T12:10:05.078,0.238,0.233,0.969,0.030
1576671005099,2019-12-18T12:10:05.099,0.259,0.232,0.969,0.027
1576671005118,2019-12-18T12:10:05.118,0.278,0.232,0.969,0.026
1576671005138,2019-12-18T12:10:05.138,0.298,0.236,0.968,0.027
1576671005159,2019-12-18T12:10:05.159,0.319,0.235,0.969,0.028
1576671005178,2019-12-18T12:10:05.178,0.338,0.237,0.969,0.029
1576671005198,2019-12-18T12:10:05.198,0.358,0.248,0.962,0.029
1576671005217,2019-12-18T12:10:05.217,0.377,0.244,0.962,0.029
1576671005238,2019-12-18T12:10:05.238,0.398,0.239,0.967,0.023
1576671005257,2019-12-18T12:10:05.257,0.417,0.238,0.970,0.024
1576671005278,2019-12-18T12:10:05.278,0.438,0.240,0.970,0.020
1576671005297,2019-12-18T12:10:05.297,0.457,0.242,0.966,0.020
1576671005317,2019-12-18T12:10:05.317,0.477,0.238,0.969,0.020
1576671005338,2019-12-18T12:10:05.338,0.498,0.233,0.972,0.015
1576671005357,2019-12-18T12:10:05.357,0.517,0.230,0.971,0.015
1576671005377,2019-12-18T12:10:05.377,0.537,0.230,0.975,0.014
1576671005396,2019-12-18T12:10:05.396,0.556,0.232,0.974,0.018
1576671005417,2019-12-18T12:10:05.417,0.577,0.232,0.969,0.018
1576671005436,2019-12-18T12:10:05.436,0.596,0.234,0.967,0.019
1576671005456,2019-12-18T12:10:05.456,0.616,0.233,0.972,0.020
1576671005477,2019-12-18T12:10:05.477,0.637,0.235,0.970,0.023
1576671005496,2019-12-18T12:10:05.496,0.656,0.234,0.969,0.027
1576671005516,2019-12-18T12:10:05.516,0.676,0.235,0.967,0.025
1576671005535,2019-12-18T12:10:05.535,0.695,0.237,0.968,0.024
1576671005556,2019-12-18T12:10:05.556,0.716,0.233,0.970,0.025
1576671005575,2019-12-18T12:10:05.575,0.735,0.233,0.970,0.026
1576671005595,2019-12-18T12:10:05.595,0.755,0.233,0.969,0.028
1576671005616,2019-12-18T12:10:05.616,0.776,0.234,0.968,0.028
1576671005635,2019-12-18T12:10:05.635,0.795,0.233,0.968,0.031
1576671005655,2019-12-18T12:10:05.655,0.815,0.234,0.966,0.031
1576671005674,2019-12-18T12:10:05.674,0.834,0.233,0.965,0.032
1576671005695,2019-12-18T12:10:05.695,0.855,0.231,0.967,0.030
1576671005714,2019-12-18T12:10:05.714,0.874,0.230,0.969,0.026
1576671005735,2019-12-18T12:10:05.735,0.895,0.230,0.969,0.027
1576671005755,2019-12-18T12:10:05.755,0.915,0.232,0.969,0.028
1576671005774,2019-12-18T12:10:05.774,0.934,0.235,0.970,0.025
1576671005795,2019-12-18T12:10:05.795,0.955,0.238,0.968,0.024
1576671005814,2019-12-18T12:10:05.814,0.974,0.239,0.966,0.025
1576671005834,2019-12-18T12:10:05.834,0.994,0.240,0.968,0.026
1576671005853,2019-12-18T12:10:05.853,1.013,0.241,0.968,0.026
1576671005874,2019-12-18T12:10:05.874,1.034,0.244,0.967,0.026
1576671005894,2019-12-18T12:10:05.894,1.054,0.241,0.966,0.027
1576671005913,2019-12-18T12:10:05.913,1.073,0.240,0.967,0.026
1576671005934,2019-12-18T12:10:05.934,1.094,0.238,0.968,0.027
1576671005953,2019-12-18T12:10:05.953,1.113,0.238,0.968,0.032
1576671005973,2019-12-18T12:10:05.973,1.133,0.240,0.968,0.035
1576671005992,2019-12-18T12:10:05.992,1.152,0.238,0.968,0.033
1576671006013,2019-12-18T12:10:06.013,1.173,0.233,0.967,0.029
1576671006033,2019-12-18T12:10:06.033,1.193,0.230,0.967,0.031
1576671006052,2019-12-18T12:10:06.052,1.212,0.231,0.966,0.032
1576671006073,2019-12-18T12:10:06.073,1.233,0.232,0.967,0.033
1576671006092,2019-12-18T12:10:06.092,1.252,0.231,0.968,0.035
1576671006112,2019-12-18T12:10:06.112,1.272,0.230,0.967,0.039
1576671006132,2019-12-18T12:10:06.132,1.292,0.231,0.967,0.038
1576671006152,2019-12-18T12:10:06.152,1.312,0.234,0.967,0.041
1576671006171,2019-12-18T12:10:06.171,1.331,0.235,0.966,0.042
