epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1578062483171,2020-01-03T14:41:23.171,0.000,-0.329,-0.932,0.098
1578062483192,2020-01-03T14:41:23.192,0.021,-0.333,-0.941,0.098
1578062483212,2020-01-03T14:41:23.212,0.041,-0.332,-0.938,0.097
1578062483231,2020-01-03T14:41:23.231,0.060,-0.332,-0.940,0.096
1578062483252,2020-01-03T14:41:23.252,0.081,-0.332,-0.939,0.096
1578062483271,2020-01-03T14:41:23.271,0.100,-0.334,-0.938,0.096
1578062483291,2020-01-03T14:41:23.291,0.120,-0.334,-0.939,0.094
1578062483310,2020-01-03T14:41:23.310,0.139,-0.334,-0.939,0.095
1578062483331,2020-01-03T14:41:23.331,0.160,-0.334,-0.938,0.095
1578062483351,2020-01-03T14:41:23.351,0.180,-0.335,-0.937,0.095
1578062483370,2020-01-03T14:41:23.370,0.199,-0.334,-0.937,0.095
1578062483391,2020-01-03T14:41:23.391,0.220,-0.335,-0.938,0.095
1578062483410,2020-01-03T14:41:23.410,0.239,-0.333,-0.937,0.095
1578062483430,2020-01-03T14:41:23.430,0.259,-0.330,-0.937,0.096
1578062483449,2020-01-03T14:41:23.449,0.278,-0.331,-0.936,0.097
1578062483470,2020-01-03T14:41:23.470,0.299,-0.334,-0.937,0.096
1578062483489,2020-01-03T14:41:23.489,0.318,-0.333,-0.938,0.096
1578062483509,2020-01-03T14:41:23.509,0.338,-0.333,-0.938,0.096
1578062483530,2020-01-03T14:41:23.530,0.359,-0.333,-0.938,0.095
1578062483549,2020-01-03T14:41:23.549,0.378,-0.334,-0.938,0.093
1578062483570,2020-01-03T14:41:23.570,0.399,-0.335,-0.938,0.094
1578062483589,2020-01-03T14:41:23.589,0.418,-0.334,-0.937,0.094
1578062483609,2020-01-03T14:41:23.609,0.438,-0.335,-0.938,0.093
1578062483628,2020-01-03T14:41:23.628,0.457,-0.336,-0.938,0.095
1578062483649,2020-01-03T14:41:23.649,0.478,-0.334,-0.937,0.096
1578062483669,2020-01-03T14:41:23.669,0.498,-0.333,-0.938,0.094
1578062483688,2020-01-03T14:41:23.688,0.517,-0.333,-0.936,0.095
1578062483709,2020-01-03T14:41:23.709,0.538,-0.333,-0.937,0.096
1578062483728,2020-01-03T14:41:23.728,0.557,-0.334,-0.937,0.094
1578062483748,2020-01-03T14:41:23.748,0.577,-0.332,-0.937,0.098
1578062483767,2020-01-03T14:41:23.767,0.596,-0.335,-0.936,0.098
1578062483788,2020-01-03T14:41:23.788,0.617,-0.335,-0.935,0.098
1578062483808,2020-01-03T14:41:23.808,0.637,-0.335,-0.935,0.095
1578062483827,2020-01-03T14:41:23.827,0.656,-0.335,-0.936,0.095
1578062483848,2020-01-03T14:41:23.848,0.677,-0.333,-0.936,0.094
1578062483867,2020-01-03T14:41:23.867,0.696,-0.336,-0.937,0.096
1578062483887,2020-01-03T14:41:23.887,0.716,-0.335,-0.937,0.096
1578062483906,2020-01-03T14:41:23.906,0.735,-0.335,-0.937,0.097
1578062483927,2020-01-03T14:41:23.927,0.756,-0.334,-0.936,0.098
1578062483947,2020-01-03T14:41:23.947,0.776,-0.334,-0.938,0.098
1578062483967,2020-01-03T14:41:23.967,0.796,-0.335,-0.937,0.096
