epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1578263174752,2020-01-05T22:26:14.752,0.000,0.412,0.114,0.015
1578263174772,2020-01-05T22:26:14.772,0.020,0.488,0.313,-0.191
1578263174791,2020-01-05T22:26:14.791,0.039,0.602,-0.152,-0.373
1578263174812,2020-01-05T22:26:14.812,0.060,0.564,-0.290,-0.381
1578263174831,2020-01-05T22:26:14.831,0.079,0.610,-0.114,-0.457
1578263174851,2020-01-05T22:26:14.851,0.099,0.701,0.091,-0.579
1578263174872,2020-01-05T22:26:14.872,0.120,0.800,0.434,-0.526
1578263174891,2020-01-05T22:26:14.891,0.139,0.892,0.610,-0.450
1578263174912,2020-01-05T22:26:14.912,0.160,1.120,0.709,-0.351
1578263174931,2020-01-05T22:26:14.931,0.179,1.288,0.755,-0.213
1578263174951,2020-01-05T22:26:14.951,0.199,1.387,0.488,-0.046
1578263174970,2020-01-05T22:26:14.970,0.218,1.494,0.404,0.046
1578263174991,2020-01-05T22:26:14.991,0.239,1.540,0.518,0.168
1578263175011,2020-01-05T22:26:15.011,0.259,1.639,0.473,0.290
1578263175030,2020-01-05T22:26:15.030,0.278,1.684,0.389,0.396
1578263175051,2020-01-05T22:26:15.051,0.299,1.837,0.396,0.457
1578263175070,2020-01-05T22:26:15.070,0.318,1.951,0.465,0.572
1578263175090,2020-01-05T22:26:15.090,0.338,2.088,0.518,0.724
1578263175109,2020-01-05T22:26:15.109,0.357,2.241,0.503,0.877
1578263175130,2020-01-05T22:26:15.130,0.378,2.241,0.549,1.059
1578263175150,2020-01-05T22:26:15.150,0.398,2.180,0.663,1.235
1578263175169,2020-01-05T22:26:15.169,0.417,2.119,0.869,1.288
1578263175190,2020-01-05T22:26:15.190,0.438,1.921,0.960,1.258
1578263175209,2020-01-05T22:26:15.209,0.457,1.585,0.602,1.166
1578263175229,2020-01-05T22:26:15.229,0.477,1.235,0.236,1.113
1578263175248,2020-01-05T22:26:15.248,0.496,0.694,0.130,1.021
1578263175269,2020-01-05T22:26:15.269,0.517,0.351,0.526,0.998
1578263175289,2020-01-05T22:26:15.289,0.537,0.008,1.159,0.838
1578263175309,2020-01-05T22:26:15.309,0.557,-0.457,0.960,0.389
1578263175329,2020-01-05T22:26:15.329,0.577,-0.816,-0.755,-0.030
1578263175348,2020-01-05T22:26:15.348,0.596,-0.953,-1.669,-0.358
1578263175369,2020-01-05T22:26:15.369,0.617,-0.983,-0.686,-0.655
1578263175388,2020-01-05T22:26:15.388,0.636,-0.816,0.991,-0.816
1578263175408,2020-01-05T22:26:15.408,0.656,-0.556,2.340,-1.021
1578263175429,2020-01-05T22:26:15.429,0.677,-0.313,1.913,-1.265
1578263175448,2020-01-05T22:26:15.448,0.696,-0.114,-0.008,-1.509
1578263175468,2020-01-05T22:26:15.468,0.716,0.091,-1.151,-1.913
1578263175487,2020-01-05T22:26:15.487,0.735,0.343,-2.241,-2.165
1578263175508,2020-01-05T22:26:15.508,0.756,0.678,-2.058,-2.355
1578263175527,2020-01-05T22:26:15.527,0.775,1.006,-0.770,-2.340
1578263175547,2020-01-05T22:26:15.547,0.795,1.159,0.137,-2.081
1578263175568,2020-01-05T22:26:15.568,0.816,1.303,0.709,-1.768
1578263175587,2020-01-05T22:26:15.587,0.835,1.235,0.556,-1.547
1578263175607,2020-01-05T22:26:15.607,0.855,0.960,-0.145,-1.227
1578263175626,2020-01-05T22:26:15.626,0.874,0.694,-0.625,-0.960
1578263175647,2020-01-05T22:26:15.647,0.895,0.488,-0.465,-0.762
1578263175666,2020-01-05T22:26:15.666,0.914,0.427,0.008,-0.488
1578263175686,2020-01-05T22:26:15.686,0.934,0.480,0.282,-0.252
1578263175707,2020-01-05T22:26:15.707,0.955,0.633,0.694,-0.175
1578263175726,2020-01-05T22:26:15.726,0.974,0.701,1.220,-0.160
1578263175746,2020-01-05T22:26:15.746,0.994,0.625,1.090,-0.046
1578263175766,2020-01-05T22:26:15.766,1.014,0.655,0.922,-0.145
1578263175786,2020-01-05T22:26:15.786,1.034,0.572,0.457,-0.328
1578263175805,2020-01-05T22:26:15.805,1.053,0.587,-0.358,-0.762
1578263175826,2020-01-05T22:26:15.826,1.074,0.595,-1.151,-1.380
1578263175845,2020-01-05T22:26:15.845,1.093,0.823,-1.623,-1.883
1578263175865,2020-01-05T22:26:15.865,1.113,1.166,-1.456,-2.409
1578263175886,2020-01-05T22:26:15.886,1.134,1.662,-0.960,-2.896
1578263175905,2020-01-05T22:26:15.905,1.153,1.974,-0.816,-3.392
1578263175925,2020-01-05T22:26:15.925,1.173,2.104,-0.846,-3.727
1578263175944,2020-01-05T22:26:15.944,1.192,2.104,-0.846,-3.849
1578263175965,2020-01-05T22:26:15.965,1.213,1.974,-0.861,-4.002
1578263175984,2020-01-05T22:26:15.984,1.232,1.898,-0.899,-4.101
1578263176004,2020-01-05T22:26:16.004,1.252,1.822,-1.075,-4.177
1578263176025,2020-01-05T22:26:16.025,1.273,1.715,-0.953,-4.169
1578263176044,2020-01-05T22:26:16.044,1.292,1.578,-1.159,-4.154
1578263176064,2020-01-05T22:26:16.064,1.312,1.532,-1.227,-4.085
1578263176083,2020-01-05T22:26:16.083,1.331,1.585,-1.303,-3.910
1578263176104,2020-01-05T22:26:16.104,1.352,2.012,-0.869,-3.613
1578263176123,2020-01-05T22:26:16.123,1.371,2.599,-0.633,-3.041
1578263176143,2020-01-05T22:26:16.143,1.391,3.346,-0.084,-2.287
1578263176164,2020-01-05T22:26:16.164,1.412,4.123,0.572,-1.380
1578263176183,2020-01-05T22:26:16.183,1.431,4.192,1.273,-0.503
