epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1578063525857,2020-01-03T14:58:45.857,0.000,-0.300,-0.946,0.067
1578063525876,2020-01-03T14:58:45.876,0.019,-0.299,-0.957,0.068
1578063525897,2020-01-03T14:58:45.897,0.040,-0.300,-0.954,0.069
1578063525916,2020-01-03T14:58:45.916,0.059,-0.303,-0.951,0.070
1578063525936,2020-01-03T14:58:45.936,0.079,-0.302,-0.950,0.073
1578063525957,2020-01-03T14:58:45.957,0.100,-0.300,-0.952,0.076
1578063525976,2020-01-03T14:58:45.976,0.119,-0.300,-0.949,0.078
1578063525996,2020-01-03T14:58:45.996,0.139,-0.301,-0.949,0.078
1578063526016,2020-01-03T14:58:46.016,0.159,-0.300,-0.949,0.080
1578063526036,2020-01-03T14:58:46.036,0.179,-0.298,-0.947,0.084
1578063526055,2020-01-03T14:58:46.055,0.198,-0.297,-0.945,0.083
1578063526076,2020-01-03T14:58:46.076,0.219,-0.301,-0.944,0.081
1578063526096,2020-01-03T14:58:46.096,0.239,-0.302,-0.947,0.080
1578063526115,2020-01-03T14:58:46.115,0.258,-0.300,-0.952,0.081
1578063526136,2020-01-03T14:58:46.136,0.279,-0.301,-0.954,0.081
1578063526155,2020-01-03T14:58:46.155,0.298,-0.304,-0.950,0.076
1578063526175,2020-01-03T14:58:46.175,0.318,-0.305,-0.948,0.074
1578063526194,2020-01-03T14:58:46.194,0.337,-0.300,-0.947,0.074
1578063526215,2020-01-03T14:58:46.215,0.358,-0.302,-0.946,0.075
1578063526235,2020-01-03T14:58:46.235,0.378,-0.307,-0.952,0.074
1578063526254,2020-01-03T14:58:46.254,0.397,-0.305,-0.954,0.073
1578063526275,2020-01-03T14:58:46.275,0.418,-0.307,-0.950,0.073
1578063526294,2020-01-03T14:58:46.294,0.437,-0.309,-0.944,0.074
1578063526314,2020-01-03T14:58:46.314,0.457,-0.308,-0.947,0.073
1578063526333,2020-01-03T14:58:46.333,0.476,-0.305,-0.950,0.072
1578063526354,2020-01-03T14:58:46.354,0.497,-0.307,-0.953,0.071
1578063526373,2020-01-03T14:58:46.373,0.516,-0.306,-0.951,0.072
1578063526393,2020-01-03T14:58:46.393,0.536,-0.306,-0.949,0.074
1578063526414,2020-01-03T14:58:46.414,0.557,-0.304,-0.950,0.077
1578063526433,2020-01-03T14:58:46.433,0.576,-0.305,-0.949,0.076
1578063526454,2020-01-03T14:58:46.454,0.597,-0.305,-0.948,0.075
1578063526473,2020-01-03T14:58:46.473,0.616,-0.300,-0.950,0.078
1578063526493,2020-01-03T14:58:46.493,0.636,-0.299,-0.950,0.078
1578063526512,2020-01-03T14:58:46.512,0.655,-0.302,-0.949,0.079
1578063526533,2020-01-03T14:58:46.533,0.676,-0.301,-0.950,0.078
1578063526553,2020-01-03T14:58:46.553,0.696,-0.302,-0.951,0.077
1578063526572,2020-01-03T14:58:46.572,0.715,-0.301,-0.951,0.078
1578063526593,2020-01-03T14:58:46.593,0.736,-0.298,-0.951,0.080
1578063526612,2020-01-03T14:58:46.612,0.755,-0.300,-0.950,0.080
1578063526632,2020-01-03T14:58:46.632,0.775,-0.303,-0.949,0.080
1578063526651,2020-01-03T14:58:46.651,0.794,-0.305,-0.950,0.081
1578063526672,2020-01-03T14:58:46.672,0.815,-0.303,-0.949,0.079
1578063526692,2020-01-03T14:58:46.692,0.835,-0.297,-0.949,0.079
1578063526711,2020-01-03T14:58:46.711,0.854,-0.302,-0.950,0.080
1578063526732,2020-01-03T14:58:46.732,0.875,-0.306,-0.949,0.079
1578063526751,2020-01-03T14:58:46.751,0.894,-0.303,-0.949,0.080
1578063526771,2020-01-03T14:58:46.771,0.914,-0.302,-0.949,0.076
1578063526790,2020-01-03T14:58:46.790,0.933,-0.302,-0.950,0.076
1578063526811,2020-01-03T14:58:46.811,0.954,-0.304,-0.948,0.077
1578063526831,2020-01-03T14:58:46.831,0.974,-0.306,-0.955,0.077
1578063526851,2020-01-03T14:58:46.851,0.994,-0.306,-0.953,0.080
1578063526871,2020-01-03T14:58:46.871,1.014,-0.286,-0.937,0.082
1578063526890,2020-01-03T14:58:46.890,1.033,-0.291,-0.951,0.082
1578063526911,2020-01-03T14:58:46.911,1.054,-0.303,-0.961,0.080
1578063526930,2020-01-03T14:58:46.930,1.073,-0.321,-0.946,0.073
1578063526950,2020-01-03T14:58:46.950,1.093,-0.319,-0.938,0.072
1578063526971,2020-01-03T14:58:46.971,1.114,-0.306,-0.954,0.076
1578063526990,2020-01-03T14:58:46.990,1.133,-0.302,-0.954,0.073
1578063527010,2020-01-03T14:58:47.010,1.153,-0.301,-0.950,0.070
1578063527029,2020-01-03T14:58:47.029,1.172,-0.305,-0.956,0.076
1578063527050,2020-01-03T14:58:47.050,1.193,-0.307,-0.954,0.076
1578063527069,2020-01-03T14:58:47.069,1.212,-0.305,-0.948,0.080
1578063527089,2020-01-03T14:58:47.089,1.232,-0.299,-0.948,0.086
1578063527110,2020-01-03T14:58:47.110,1.253,-0.299,-0.949,0.083
1578063527129,2020-01-03T14:58:47.129,1.272,-0.298,-0.949,0.080
1578063527149,2020-01-03T14:58:47.149,1.292,-0.297,-0.953,0.082
1578063527168,2020-01-03T14:58:47.168,1.311,-0.294,-0.953,0.086
1578063527189,2020-01-03T14:58:47.189,1.332,-0.296,-0.948,0.087
1578063527208,2020-01-03T14:58:47.208,1.351,-0.299,-0.950,0.085
1578063527228,2020-01-03T14:58:47.228,1.371,-0.300,-0.953,0.083
1578063527247,2020-01-03T14:58:47.247,1.390,-0.304,-0.953,0.080
