epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1578261592009,2020-01-05T21:59:52.009,0.000,1.852,0.595,0.145
1578261592028,2020-01-05T21:59:52.028,0.019,1.723,0.602,0.648
1578261592049,2020-01-05T21:59:52.049,0.040,1.463,0.335,0.442
1578261592069,2020-01-05T21:59:52.069,0.060,1.357,0.274,0.503
1578261592088,2020-01-05T21:59:52.088,0.079,1.296,0.396,0.457
1578261592109,2020-01-05T21:59:52.109,0.100,1.090,0.518,0.267
1578261592128,2020-01-05T21:59:52.128,0.119,0.777,0.572,0.076
1578261592149,2020-01-05T21:59:52.149,0.140,0.640,0.823,-0.099
1578261592169,2020-01-05T21:59:52.169,0.160,0.610,0.983,-0.282
1578261592188,2020-01-05T21:59:52.188,0.179,0.579,1.235,-0.534
1578261592209,2020-01-05T21:59:52.209,0.200,0.511,1.669,-0.739
1578261592228,2020-01-05T21:59:52.228,0.219,0.213,1.631,-0.777
1578261592248,2020-01-05T21:59:52.248,0.239,-0.282,1.136,-0.793
1578261592267,2020-01-05T21:59:52.267,0.258,-0.602,0.480,-0.846
1578261592288,2020-01-05T21:59:52.288,0.279,-0.709,0.229,-0.747
1578261592307,2020-01-05T21:59:52.307,0.298,-0.640,0.183,-0.716
1578261592327,2020-01-05T21:59:52.327,0.318,-0.534,0.168,-0.640
1578261592348,2020-01-05T21:59:52.348,0.339,-0.137,0.168,-0.587
1578261592367,2020-01-05T21:59:52.367,0.358,0.252,0.160,-0.473
1578261592387,2020-01-05T21:59:52.387,0.378,0.427,0.221,-0.404
1578261592406,2020-01-05T21:59:52.406,0.397,0.595,0.008,-0.244
1578261592427,2020-01-05T21:59:52.427,0.418,0.793,-0.267,-0.122
1578261592446,2020-01-05T21:59:52.446,0.437,1.067,-0.320,0.023
1578261592466,2020-01-05T21:59:52.466,0.457,1.334,-0.320,0.084
1578261592487,2020-01-05T21:59:52.487,0.478,1.349,-0.221,0.221
1578261592506,2020-01-05T21:59:52.506,0.497,1.212,-0.206,0.259
1578261592526,2020-01-05T21:59:52.526,0.517,1.258,0.069,0.320
1578261592546,2020-01-05T21:59:52.546,0.537,1.258,0.274,0.213
1578261592566,2020-01-05T21:59:52.566,0.557,1.250,0.183,0.122
1578261592585,2020-01-05T21:59:52.585,0.576,1.159,-0.091,0.099
1578261592606,2020-01-05T21:59:52.606,0.597,1.052,-0.198,-0.038
1578261592626,2020-01-05T21:59:52.626,0.617,0.938,-0.152,-0.221
1578261592645,2020-01-05T21:59:52.645,0.636,0.953,0.008,-0.457
1578261592666,2020-01-05T21:59:52.666,0.657,0.991,0.191,-0.610
1578261592685,2020-01-05T21:59:52.685,0.676,0.998,0.274,-0.724
1578261592705,2020-01-05T21:59:52.705,0.696,1.067,0.274,-0.716
1578261592724,2020-01-05T21:59:52.724,0.715,1.098,0.198,-0.762
1578261592745,2020-01-05T21:59:52.745,0.736,1.014,0.168,-0.747
1578261592765,2020-01-05T21:59:52.765,0.756,1.052,0.259,-0.663
1578261592784,2020-01-05T21:59:52.784,0.775,1.067,0.069,-0.602
1578261592805,2020-01-05T21:59:52.805,0.796,1.014,-0.160,-0.495
1578261592824,2020-01-05T21:59:52.824,0.815,0.960,-0.107,-0.465
1578261592844,2020-01-05T21:59:52.844,0.835,0.930,-0.122,-0.274
1578261592863,2020-01-05T21:59:52.863,0.854,0.915,-0.160,-0.038
1578261592884,2020-01-05T21:59:52.884,0.875,0.877,-0.274,0.130
1578261592904,2020-01-05T21:59:52.904,0.895,0.755,-0.168,0.206
1578261592923,2020-01-05T21:59:52.923,0.914,0.511,-0.069,0.381
1578261592944,2020-01-05T21:59:52.944,0.935,0.328,-0.152,0.595
1578261592963,2020-01-05T21:59:52.963,0.954,0.313,-0.282,0.823
1578261592984,2020-01-05T21:59:52.984,0.975,0.343,-0.465,0.899
