epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576759979159,2019-12-19T12:52:59.159,0.000,0.846,0.141,0.560
1576759979178,2019-12-19T12:52:59.178,0.019,0.844,0.124,0.554
1576759979199,2019-12-19T12:52:59.199,0.040,0.826,0.111,0.532
1576759979218,2019-12-19T12:52:59.218,0.059,0.823,0.106,0.530
1576759979238,2019-12-19T12:52:59.238,0.079,0.828,0.080,0.521
1576759979258,2019-12-19T12:52:59.258,0.099,0.823,0.075,0.516
1576759979278,2019-12-19T12:52:59.278,0.119,0.797,0.078,0.504
1576759979297,2019-12-19T12:52:59.297,0.138,0.800,0.062,0.494
1576759979318,2019-12-19T12:52:59.318,0.159,0.837,0.039,0.496
1576759979338,2019-12-19T12:52:59.338,0.179,0.844,0.029,0.498
1576759979357,2019-12-19T12:52:59.357,0.198,0.832,0.022,0.489
1576759979378,2019-12-19T12:52:59.378,0.219,0.796,-0.001,0.479
1576759979397,2019-12-19T12:52:59.397,0.238,0.728,-0.022,0.462
1576759979417,2019-12-19T12:52:59.417,0.258,0.755,-0.000,0.432
1576759979436,2019-12-19T12:52:59.436,0.277,0.863,0.020,0.432
1576759979457,2019-12-19T12:52:59.457,0.298,0.902,0.041,0.434
1576759979477,2019-12-19T12:52:59.477,0.318,0.820,0.058,0.444
1576759979496,2019-12-19T12:52:59.496,0.337,0.682,0.066,0.400
1576759979517,2019-12-19T12:52:59.517,0.358,0.705,0.065,0.370
1576759979536,2019-12-19T12:52:59.536,0.377,0.943,0.121,0.468
1576759979556,2019-12-19T12:52:59.556,0.397,1.449,0.238,0.549
1576759979575,2019-12-19T12:52:59.575,0.416,0.946,-0.045,0.430
1576759979596,2019-12-19T12:52:59.596,0.437,0.472,-0.045,0.437
1576759979616,2019-12-19T12:52:59.616,0.457,0.727,0.107,0.531
1576759979635,2019-12-19T12:52:59.635,0.476,1.035,0.175,0.606
1576759979656,2019-12-19T12:52:59.656,0.497,0.844,0.127,0.570
1576759979675,2019-12-19T12:52:59.675,0.516,0.618,0.106,0.564
1576759979696,2019-12-19T12:52:59.696,0.537,0.665,0.137,0.595
1576759979715,2019-12-19T12:52:59.715,0.556,0.801,0.154,0.620
1576759979735,2019-12-19T12:52:59.735,0.576,0.845,0.140,0.624
1576759979756,2019-12-19T12:52:59.756,0.597,0.789,0.114,0.616
1576759979775,2019-12-19T12:52:59.775,0.616,0.759,0.098,0.615
1576759979795,2019-12-19T12:52:59.795,0.636,0.779,0.088,0.614
1576759979814,2019-12-19T12:52:59.814,0.655,0.779,0.075,0.605
1576759979835,2019-12-19T12:52:59.835,0.676,0.770,0.075,0.597
1576759979854,2019-12-19T12:52:59.854,0.695,0.784,0.085,0.592
1576759979874,2019-12-19T12:52:59.874,0.715,0.787,0.094,0.586
1576759979895,2019-12-19T12:52:59.895,0.736,0.773,0.096,0.578
1576759979914,2019-12-19T12:52:59.914,0.755,0.773,0.097,0.578
1576759979934,2019-12-19T12:52:59.934,0.775,0.783,0.100,0.580
1576759979953,2019-12-19T12:52:59.953,0.794,0.777,0.096,0.579
1576759979974,2019-12-19T12:52:59.974,0.815,0.772,0.093,0.584
1576759979993,2019-12-19T12:52:59.993,0.834,0.779,0.093,0.589
1576759980013,2019-12-19T12:53:00.013,0.854,0.776,0.089,0.587
1576759980032,2019-12-19T12:53:00.032,0.873,0.766,0.084,0.583
1576759980053,2019-12-19T12:53:00.053,0.894,0.769,0.084,0.584
1576759980073,2019-12-19T12:53:00.073,0.914,0.781,0.084,0.586
1576759980092,2019-12-19T12:53:00.092,0.933,0.781,0.088,0.584
1576759980113,2019-12-19T12:53:00.113,0.954,0.772,0.090,0.581
1576759980132,2019-12-19T12:53:00.132,0.973,0.775,0.095,0.583
1576759980153,2019-12-19T12:53:00.153,0.994,0.772,0.085,0.590
1576759980172,2019-12-19T12:53:00.172,1.013,0.775,0.072,0.598
1576759980192,2019-12-19T12:53:00.192,1.033,0.776,0.069,0.607
1576759980213,2019-12-19T12:53:00.213,1.054,0.771,0.073,0.609
1576759980232,2019-12-19T12:53:00.232,1.073,0.769,0.073,0.604
1576759980252,2019-12-19T12:53:00.252,1.093,0.769,0.074,0.602
1576759980271,2019-12-19T12:53:00.271,1.112,0.772,0.074,0.601
1576759980292,2019-12-19T12:53:00.292,1.133,0.779,0.074,0.596
1576759980311,2019-12-19T12:53:00.311,1.152,0.778,0.078,0.595
1576759980331,2019-12-19T12:53:00.331,1.172,0.771,0.079,0.592
1576759980352,2019-12-19T12:53:00.352,1.193,0.766,0.080,0.589
1576759980371,2019-12-19T12:53:00.371,1.212,0.771,0.081,0.589
1576759980391,2019-12-19T12:53:00.391,1.232,0.778,0.079,0.591
1576759980410,2019-12-19T12:53:00.410,1.251,0.777,0.078,0.592
1576759980431,2019-12-19T12:53:00.431,1.272,0.770,0.080,0.592
1576759980450,2019-12-19T12:53:00.450,1.291,0.771,0.080,0.593
1576759980470,2019-12-19T12:53:00.470,1.311,0.772,0.081,0.597
1576759980491,2019-12-19T12:53:00.491,1.332,0.773,0.080,0.593
1576759980510,2019-12-19T12:53:00.510,1.351,0.774,0.080,0.590
1576759980530,2019-12-19T12:53:00.530,1.371,0.773,0.082,0.588
1576759980550,2019-12-19T12:53:00.550,1.391,0.774,0.081,0.586
1576759980570,2019-12-19T12:53:00.570,1.411,0.777,0.080,0.589
1576759980589,2019-12-19T12:53:00.589,1.430,0.773,0.080,0.590
1576759980610,2019-12-19T12:53:00.610,1.451,0.767,0.081,0.588
1576759980630,2019-12-19T12:53:00.630,1.471,0.771,0.081,0.587
1576759980649,2019-12-19T12:53:00.649,1.490,0.777,0.080,0.586
1576759980670,2019-12-19T12:53:00.670,1.511,0.779,0.080,0.585
