epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576759693972,2019-12-19T12:48:13.972,0.000,0.468,-0.030,0.843
1576759693992,2019-12-19T12:48:13.992,0.020,0.483,-0.028,0.847
1576759694013,2019-12-19T12:48:14.013,0.041,0.453,-0.026,0.856
1576759694032,2019-12-19T12:48:14.032,0.060,0.422,-0.022,0.868
1576759694052,2019-12-19T12:48:14.052,0.080,0.383,-0.020,0.884
1576759694071,2019-12-19T12:48:14.071,0.099,0.379,-0.018,0.884
1576759694092,2019-12-19T12:48:14.092,0.120,0.417,-0.019,0.869
1576759694111,2019-12-19T12:48:14.111,0.139,0.438,-0.020,0.867
1576759694131,2019-12-19T12:48:14.131,0.159,0.424,-0.018,0.875
1576759694152,2019-12-19T12:48:14.152,0.180,0.411,-0.017,0.874
1576759694171,2019-12-19T12:48:14.171,0.199,0.447,-0.036,0.867
1576759694191,2019-12-19T12:48:14.191,0.219,0.382,-0.017,0.889
1576759694211,2019-12-19T12:48:14.211,0.239,0.337,0.006,0.924
1576759694231,2019-12-19T12:48:14.231,0.259,0.215,0.024,0.949
1576759694250,2019-12-19T12:48:14.250,0.278,0.139,0.015,0.957
1576759694271,2019-12-19T12:48:14.271,0.299,0.166,0.014,0.938
1576759694291,2019-12-19T12:48:14.291,0.319,0.259,-0.001,0.922
1576759694310,2019-12-19T12:48:14.310,0.338,0.348,-0.003,0.915
1576759694331,2019-12-19T12:48:14.331,0.359,0.390,-0.009,0.903
1576759694350,2019-12-19T12:48:14.350,0.378,0.341,-0.023,0.916
1576759694370,2019-12-19T12:48:14.370,0.398,0.259,-0.011,0.928
1576759694389,2019-12-19T12:48:14.389,0.417,0.218,0.001,0.939
1576759694410,2019-12-19T12:48:14.410,0.438,0.185,0.004,0.942
1576759694430,2019-12-19T12:48:14.430,0.458,0.172,0.003,0.931
1576759694449,2019-12-19T12:48:14.449,0.477,0.244,-0.009,0.920
1576759694470,2019-12-19T12:48:14.470,0.498,0.256,-0.010,0.929
1576759694489,2019-12-19T12:48:14.489,0.517,0.243,-0.008,0.932
1576759694509,2019-12-19T12:48:14.509,0.537,0.243,-0.003,0.934
1576759694528,2019-12-19T12:48:14.528,0.556,0.246,-0.005,0.932
1576759694549,2019-12-19T12:48:14.549,0.577,0.253,-0.005,0.935
1576759694569,2019-12-19T12:48:14.569,0.597,0.247,-0.003,0.934
1576759694588,2019-12-19T12:48:14.588,0.616,0.235,-0.004,0.932
1576759694609,2019-12-19T12:48:14.609,0.637,0.230,-0.005,0.934
1576759694628,2019-12-19T12:48:14.628,0.656,0.239,-0.004,0.934
1576759694649,2019-12-19T12:48:14.649,0.677,0.250,-0.004,0.932
1576759694668,2019-12-19T12:48:14.668,0.696,0.248,-0.007,0.931
1576759694688,2019-12-19T12:48:14.688,0.716,0.244,-0.006,0.932
1576759694707,2019-12-19T12:48:14.707,0.735,0.238,-0.006,0.933
1576759694728,2019-12-19T12:48:14.728,0.756,0.243,-0.008,0.932
1576759694748,2019-12-19T12:48:14.748,0.776,0.235,-0.004,0.933
1576759694767,2019-12-19T12:48:14.767,0.795,0.236,-0.003,0.935
1576759694788,2019-12-19T12:48:14.788,0.816,0.250,-0.006,0.933
1576759694807,2019-12-19T12:48:14.807,0.835,0.243,-0.008,0.932
1576759694827,2019-12-19T12:48:14.827,0.855,0.240,-0.007,0.932
1576759694846,2019-12-19T12:48:14.846,0.874,0.239,-0.005,0.935
1576759694867,2019-12-19T12:48:14.867,0.895,0.243,-0.007,0.931
1576759694887,2019-12-19T12:48:14.887,0.915,0.242,-0.007,0.932
1576759694906,2019-12-19T12:48:14.906,0.934,0.245,-0.008,0.933
1576759694927,2019-12-19T12:48:14.927,0.955,0.244,-0.009,0.930
1576759694946,2019-12-19T12:48:14.946,0.974,0.240,-0.009,0.928
1576759694966,2019-12-19T12:48:14.966,0.994,0.240,-0.008,0.926
1576759694985,2019-12-19T12:48:14.985,1.013,0.251,-0.011,0.919
1576759695006,2019-12-19T12:48:15.006,1.034,0.258,-0.017,0.913
1576759695026,2019-12-19T12:48:15.026,1.054,0.268,-0.024,0.910
1576759695045,2019-12-19T12:48:15.045,1.073,0.257,-0.024,0.924
1576759695066,2019-12-19T12:48:15.066,1.094,0.236,-0.006,0.967
1576759695085,2019-12-19T12:48:15.085,1.113,0.200,0.001,1.013
1576759695106,2019-12-19T12:48:15.106,1.134,0.162,0.016,1.066
1576759695125,2019-12-19T12:48:15.125,1.153,0.098,0.029,1.100
1576759695145,2019-12-19T12:48:15.145,1.173,0.108,0.023,1.206
1576759695166,2019-12-19T12:48:15.166,1.194,0.370,0.145,1.549
1576759695185,2019-12-19T12:48:15.185,1.213,0.386,0.339,1.783
1576759695205,2019-12-19T12:48:15.205,1.233,0.089,0.201,1.734
1576759695224,2019-12-19T12:48:15.224,1.252,0.158,0.246,1.749
1576759695245,2019-12-19T12:48:15.245,1.273,0.546,0.321,1.681
1576759695264,2019-12-19T12:48:15.264,1.292,0.606,0.403,1.814
1576759695284,2019-12-19T12:48:15.284,1.312,-0.050,0.408,1.982
1576759695303,2019-12-19T12:48:15.303,1.331,-0.420,0.407,1.841
1576759695324,2019-12-19T12:48:15.324,1.352,-0.342,0.424,1.721
1576759695344,2019-12-19T12:48:15.344,1.372,-0.209,0.440,1.691
1576759695363,2019-12-19T12:48:15.363,1.391,-0.129,0.436,1.609
1576759695384,2019-12-19T12:48:15.384,1.412,-0.105,0.438,1.443
1576759695403,2019-12-19T12:48:15.403,1.431,-0.131,0.461,1.284
1576759695423,2019-12-19T12:48:15.423,1.451,-0.119,0.491,1.209
1576759695442,2019-12-19T12:48:15.442,1.470,-0.077,0.524,1.143
1576759695463,2019-12-19T12:48:15.463,1.491,-0.164,0.504,0.995
1576759695483,2019-12-19T12:48:15.483,1.511,-0.172,0.529,0.952
1576759695503,2019-12-19T12:48:15.503,1.531,-0.138,0.572,0.916
1576759695523,2019-12-19T12:48:15.523,1.551,-0.179,0.571,0.793
1576759695542,2019-12-19T12:48:15.542,1.570,-0.209,0.473,0.620
1576759695563,2019-12-19T12:48:15.563,1.591,-0.056,0.360,0.460
1576759695582,2019-12-19T12:48:15.582,1.610,0.021,0.236,0.341
1576759695602,2019-12-19T12:48:15.602,1.630,-0.036,0.071,0.234
