epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576760265421,2019-12-19T12:57:45.421,0.000,4.009,-3.277,0.046
1576760265441,2019-12-19T12:57:45.441,0.020,3.773,-2.447,0.091
1576760265460,2019-12-19T12:57:45.460,0.039,3.209,-0.030,0.137
1576760265481,2019-12-19T12:57:45.481,0.060,2.630,-0.229,0.038
1576760265500,2019-12-19T12:57:45.500,0.079,2.264,-0.953,0.084
1576760265521,2019-12-19T12:57:45.521,0.100,1.921,1.212,0.130
1576760265540,2019-12-19T12:57:45.540,0.119,1.776,2.302,0.213
1576760265560,2019-12-19T12:57:45.560,0.139,1.235,1.288,0.412
1576760265581,2019-12-19T12:57:45.581,0.160,0.968,-2.226,0.213
1576760265600,2019-12-19T12:57:45.600,0.179,2.233,-9.649,0.518
1576760265620,2019-12-19T12:57:45.620,0.199,3.963,-15.960,1.860
1576760265639,2019-12-19T12:57:45.639,0.218,3.262,-7.607,2.325
1576760265660,2019-12-19T12:57:45.660,0.239,1.189,1.220,2.881
1576760265679,2019-12-19T12:57:45.679,0.258,0.381,4.802,4.306
1576760265699,2019-12-19T12:57:45.699,0.278,1.814,9.253,4.482
1576760265720,2019-12-19T12:57:45.720,0.299,0.328,17.287,0.938
1576760265739,2019-12-19T12:57:45.739,0.318,-0.305,16.662,-2.447
1576760265759,2019-12-19T12:57:45.759,0.338,-0.617,12.058,-5.122
1576760265778,2019-12-19T12:57:45.778,0.357,-1.677,8.171,-7.477
1576760265799,2019-12-19T12:57:45.799,0.378,-1.982,0.595,-7.607
1576760265818,2019-12-19T12:57:45.818,0.397,-0.655,-4.878,-5.244
1576760265838,2019-12-19T12:57:45.838,0.417,2.378,-4.787,-2.127
1576760265859,2019-12-19T12:57:45.859,0.438,5.770,-3.232,3.049
1576760265878,2019-12-19T12:57:45.878,0.457,9.063,0.838,7.218
1576760265898,2019-12-19T12:57:45.898,0.477,11.578,-1.837,7.957
1576760265918,2019-12-19T12:57:45.918,0.497,13.811,-22.462,6.136
1576760265938,2019-12-19T12:57:45.938,0.517,12.995,-30.160,8.575
1576760265957,2019-12-19T12:57:45.957,0.536,10.755,-30.671,7.591
1576760265978,2019-12-19T12:57:45.978,0.557,11.235,-40.000,4.108
1576760265998,2019-12-19T12:57:45.998,0.577,9.329,-34.360,0.655
1576760266017,2019-12-19T12:57:46.017,0.596,5.953,-14.794,2.797
1576760266038,2019-12-19T12:57:46.038,0.617,5.259,-5.678,4.741
1576760266057,2019-12-19T12:57:46.057,0.636,5.495,-2.561,5.297
1576760266077,2019-12-19T12:57:46.077,0.656,5.221,-1.090,7.195
1576760266096,2019-12-19T12:57:46.096,0.675,2.828,2.248,4.726
1576760266117,2019-12-19T12:57:46.117,0.696,0.145,17.416,-3.034
1576760266137,2019-12-19T12:57:46.137,0.716,-2.271,31.471,-13.956
1576760266156,2019-12-19T12:57:46.156,0.735,-4.390,39.253,-27.203
1576760266177,2019-12-19T12:57:46.177,0.756,-5.404,35.633,-40.450
