epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576837009344,2019-12-20T10:16:49.344,0.000,0.168,-9.360,-3.255
1576837009364,2019-12-20T10:16:49.364,0.020,0.114,-9.116,-3.514
1576837009384,2019-12-20T10:16:49.384,0.040,-0.229,-7.050,-2.706
1576837009404,2019-12-20T10:16:49.404,0.060,-0.953,-4.649,-2.172
1576837009425,2019-12-20T10:16:49.425,0.081,-0.854,-4.322,-2.256
1576837009444,2019-12-20T10:16:49.444,0.100,-0.419,-4.764,-2.096
1576837009464,2019-12-20T10:16:49.464,0.120,-0.236,-5.488,-1.723
1576837009483,2019-12-20T10:16:49.483,0.139,0.099,-6.021,-1.829
1576837009504,2019-12-20T10:16:49.504,0.160,0.495,-6.128,-1.730
1576837009523,2019-12-20T10:16:49.523,0.179,0.450,-6.029,-1.334
1576837009543,2019-12-20T10:16:49.543,0.199,1.570,-4.741,-1.639
1576837009564,2019-12-20T10:16:49.564,0.220,2.050,-2.652,-1.197
1576837009583,2019-12-20T10:16:49.583,0.239,1.806,-0.236,-0.160
1576837009603,2019-12-20T10:16:49.603,0.259,1.707,1.921,0.084
1576837009622,2019-12-20T10:16:49.622,0.278,0.800,2.515,-0.252
1576837009643,2019-12-20T10:16:49.643,0.299,0.130,0.732,-0.229
1576837009662,2019-12-20T10:16:49.662,0.318,0.114,-1.341,-0.282
1576837009682,2019-12-20T10:16:49.682,0.338,0.015,-0.831,-0.351
1576837009703,2019-12-20T10:16:49.703,0.359,-0.320,1.303,-0.282
1576837009722,2019-12-20T10:16:49.722,0.378,-0.313,3.262,-0.366
1576837009742,2019-12-20T10:16:49.742,0.398,0.061,5.099,-0.633
1576837009761,2019-12-20T10:16:49.761,0.417,0.198,7.050,-1.357
1576837009782,2019-12-20T10:16:49.782,0.438,0.610,7.111,-1.502
1576837009801,2019-12-20T10:16:49.801,0.457,1.014,4.505,-0.938
1576837009822,2019-12-20T10:16:49.822,0.478,1.349,2.203,-0.267
1576837009842,2019-12-20T10:16:49.842,0.498,1.227,1.517,-0.160
1576837009861,2019-12-20T10:16:49.861,0.517,0.938,1.692,0.183
1576837009882,2019-12-20T10:16:49.882,0.538,0.755,2.050,0.747
1576837009901,2019-12-20T10:16:49.901,0.557,0.610,2.165,0.884
1576837009921,2019-12-20T10:16:49.921,0.577,0.518,2.393,0.732
1576837009940,2019-12-20T10:16:49.940,0.596,0.259,2.965,0.739
1576837009961,2019-12-20T10:16:49.961,0.617,-0.046,3.453,0.709
1576837009981,2019-12-20T10:16:49.981,0.637,-0.137,3.613,0.655
1576837010000,2019-12-20T10:16:50.000,0.656,-0.030,3.354,0.701
1576837010021,2019-12-20T10:16:50.021,0.677,0.061,2.950,0.701
1576837010040,2019-12-20T10:16:50.040,0.696,0.152,2.950,0.549
1576837010060,2019-12-20T10:16:50.060,0.716,0.274,2.820,0.320
1576837010079,2019-12-20T10:16:50.079,0.735,0.198,2.180,0.366
1576837010100,2019-12-20T10:16:50.100,0.756,0.122,1.189,0.335
1576837010120,2019-12-20T10:16:50.120,0.776,0.396,0.122,0.328
1576837010139,2019-12-20T10:16:50.139,0.795,0.541,0.030,0.229
1576837010160,2019-12-20T10:16:50.160,0.816,0.648,0.030,-0.137
1576837010179,2019-12-20T10:16:50.179,0.835,0.785,-0.610,-0.366
1576837010199,2019-12-20T10:16:50.199,0.855,0.793,-1.052,-0.213
1576837010218,2019-12-20T10:16:50.218,0.874,0.495,-0.290,-0.107
1576837010239,2019-12-20T10:16:50.239,0.895,0.381,0.091,-0.267
1576837010258,2019-12-20T10:16:50.258,0.914,0.541,-0.137,-0.488
1576837010279,2019-12-20T10:16:50.279,0.935,0.549,-0.412,-0.503
1576837010299,2019-12-20T10:16:50.299,0.955,0.366,-1.151,-0.534
1576837010318,2019-12-20T10:16:50.318,0.974,0.290,-2.188,-0.579
1576837010339,2019-12-20T10:16:50.339,0.995,0.518,-2.782,-0.709
1576837010358,2019-12-20T10:16:50.358,1.014,0.762,-1.738,-0.556
1576837010378,2019-12-20T10:16:50.378,1.034,1.136,0.229,-0.351
1576837010397,2019-12-20T10:16:50.397,1.053,0.938,1.402,-0.404
1576837010418,2019-12-20T10:16:50.418,1.074,0.655,1.418,0.023
1576837010438,2019-12-20T10:16:50.438,1.094,0.541,0.808,0.053
1576837010457,2019-12-20T10:16:50.457,1.113,0.686,0.625,-0.015
1576837010478,2019-12-20T10:16:50.478,1.134,0.678,0.998,-0.152
1576837010497,2019-12-20T10:16:50.497,1.153,0.968,1.410,-0.130
1576837010517,2019-12-20T10:16:50.517,1.173,0.892,1.502,-0.061
1576837010536,2019-12-20T10:16:50.536,1.192,0.709,1.540,-0.069
1576837010557,2019-12-20T10:16:50.557,1.213,0.663,1.341,-0.030
1576837010577,2019-12-20T10:16:50.577,1.233,0.945,1.372,-0.191
1576837010596,2019-12-20T10:16:50.596,1.252,1.197,1.593,-0.244
1576837010617,2019-12-20T10:16:50.617,1.273,1.151,1.456,-0.259
1576837010636,2019-12-20T10:16:50.636,1.292,0.892,1.052,-0.114
1576837010656,2019-12-20T10:16:50.656,1.312,0.823,0.396,-0.091
1576837010676,2019-12-20T10:16:50.676,1.332,0.823,0.343,-0.152
1576837010696,2019-12-20T10:16:50.696,1.352,0.846,0.663,0.008
1576837010717,2019-12-20T10:16:50.717,1.373,0.915,0.907,-0.213
1576837010736,2019-12-20T10:16:50.736,1.392,0.755,0.915,-0.419
1576837010756,2019-12-20T10:16:50.756,1.412,0.777,0.183,-0.762
1576837010775,2019-12-20T10:16:50.775,1.431,0.747,-0.373,-1.250
1576837010796,2019-12-20T10:16:50.796,1.452,0.602,-0.739,-2.012
1576837010815,2019-12-20T10:16:50.815,1.471,-0.922,0.694,-3.651
1576837010835,2019-12-20T10:16:50.835,1.491,-5.213,4.863,-6.563
1576837010856,2019-12-20T10:16:50.856,1.512,-11.372,19.916,-10.861
1576837010875,2019-12-20T10:16:50.875,1.531,-22.218,65.084,-13.659
1576837010895,2019-12-20T10:16:50.895,1.551,-31.845,126.441,-6.913
1576837010914,2019-12-20T10:16:50.914,1.570,-40.617,148.323,-14.276
1576837010935,2019-12-20T10:16:50.935,1.591,-28.232,50.343,-51.395
