epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1575991439220,2019-12-10T15:23:59.220,0.000,0.824,0.238,-0.549
1575991439240,2019-12-10T15:23:59.240,0.020,0.832,0.240,-0.557
1575991439260,2019-12-10T15:23:59.260,0.040,0.829,0.238,-0.556
1575991439280,2019-12-10T15:23:59.280,0.060,0.827,0.238,-0.558
1575991439299,2019-12-10T15:23:59.299,0.079,0.828,0.237,-0.554
1575991439320,2019-12-10T15:23:59.320,0.100,0.829,0.237,-0.556
1575991439339,2019-12-10T15:23:59.339,0.119,0.828,0.235,-0.555
1575991439359,2019-12-10T15:23:59.359,0.139,0.829,0.236,-0.550
1575991439380,2019-12-10T15:23:59.380,0.160,0.832,0.237,-0.549
1575991439399,2019-12-10T15:23:59.399,0.179,0.831,0.236,-0.548
1575991439419,2019-12-10T15:23:59.419,0.199,0.829,0.236,-0.552
1575991439438,2019-12-10T15:23:59.438,0.218,0.833,0.235,-0.554
1575991439459,2019-12-10T15:23:59.459,0.239,0.832,0.236,-0.554
1575991439478,2019-12-10T15:23:59.478,0.258,0.832,0.236,-0.554
1575991439498,2019-12-10T15:23:59.498,0.278,0.836,0.235,-0.549
1575991439519,2019-12-10T15:23:59.519,0.299,0.834,0.245,-0.545
1575991439538,2019-12-10T15:23:59.538,0.318,0.827,0.253,-0.542
1575991439558,2019-12-10T15:23:59.558,0.338,0.821,0.257,-0.537
1575991439577,2019-12-10T15:23:59.577,0.357,0.818,0.260,-0.545
1575991439598,2019-12-10T15:23:59.598,0.378,0.828,0.253,-0.549
1575991439617,2019-12-10T15:23:59.617,0.397,0.856,0.250,-0.545
1575991439637,2019-12-10T15:23:59.637,0.417,0.861,0.254,-0.546
1575991439657,2019-12-10T15:23:59.657,0.437,0.828,0.251,-0.551
1575991439677,2019-12-10T15:23:59.677,0.457,0.804,0.235,-0.545
1575991439698,2019-12-10T15:23:59.698,0.478,0.816,0.229,-0.536
1575991439717,2019-12-10T15:23:59.717,0.497,0.842,0.240,-0.538
1575991439737,2019-12-10T15:23:59.737,0.517,0.858,0.242,-0.548
1575991439756,2019-12-10T15:23:59.756,0.536,0.844,0.241,-0.554
1575991439777,2019-12-10T15:23:59.777,0.557,0.818,0.243,-0.557
1575991439796,2019-12-10T15:23:59.796,0.576,0.809,0.239,-0.557
1575991439816,2019-12-10T15:23:59.816,0.596,0.822,0.233,-0.550
1575991439837,2019-12-10T15:23:59.837,0.617,0.839,0.233,-0.544
1575991439856,2019-12-10T15:23:59.856,0.636,0.845,0.243,-0.544
1575991439876,2019-12-10T15:23:59.876,0.656,0.837,0.251,-0.546
1575991439895,2019-12-10T15:23:59.895,0.675,0.827,0.248,-0.546
1575991439916,2019-12-10T15:23:59.916,0.696,0.828,0.240,-0.541
1575991439935,2019-12-10T15:23:59.935,0.715,0.837,0.240,-0.537
1575991439955,2019-12-10T15:23:59.955,0.735,0.842,0.243,-0.538
1575991439976,2019-12-10T15:23:59.976,0.756,0.838,0.245,-0.539
1575991439995,2019-12-10T15:23:59.995,0.775,0.832,0.245,-0.542
1575991440015,2019-12-10T15:24:00.015,0.795,0.829,0.244,-0.546
1575991440034,2019-12-10T15:24:00.034,0.814,0.832,0.246,-0.546
1575991440055,2019-12-10T15:24:00.055,0.835,0.835,0.248,-0.545
1575991440074,2019-12-10T15:24:00.074,0.854,0.834,0.246,-0.544
1575991440094,2019-12-10T15:24:00.094,0.874,0.832,0.245,-0.545
1575991440115,2019-12-10T15:24:00.115,0.895,0.830,0.242,-0.547
1575991440134,2019-12-10T15:24:00.134,0.914,0.832,0.240,-0.547
1575991440155,2019-12-10T15:24:00.155,0.935,0.836,0.242,-0.546
1575991440174,2019-12-10T15:24:00.174,0.954,0.835,0.240,-0.545
1575991440194,2019-12-10T15:24:00.194,0.974,0.831,0.238,-0.544
1575991440213,2019-12-10T15:24:00.213,0.993,0.831,0.238,-0.545
1575991440234,2019-12-10T15:24:00.234,1.014,0.832,0.240,-0.549
1575991440254,2019-12-10T15:24:00.254,1.034,0.834,0.241,-0.550
1575991440273,2019-12-10T15:24:00.273,1.053,0.834,0.241,-0.548
