epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576671991524,2019-12-18T12:26:31.524,0.000,-0.473,1.037,-1.524
1576671991545,2019-12-18T12:26:31.545,0.021,-0.617,0.694,-0.884
1576671991564,2019-12-18T12:26:31.564,0.040,0.221,0.808,-0.770
1576671991584,2019-12-18T12:26:31.584,0.060,0.998,0.107,-0.915
1576671991605,2019-12-18T12:26:31.605,0.081,-0.404,-0.450,-1.349
1576671991624,2019-12-18T12:26:31.624,0.100,-2.530,-0.686,-1.745
1576671991644,2019-12-18T12:26:31.644,0.120,-2.813,-0.191,-1.814
1576671991663,2019-12-18T12:26:31.663,0.139,-1.669,0.846,-1.463
1576671991684,2019-12-18T12:26:31.684,0.160,0.511,1.364,-1.220
1576671991703,2019-12-18T12:26:31.703,0.179,1.463,1.768,-1.113
1576671991723,2019-12-18T12:26:31.723,0.199,0.221,2.157,-1.044
1576671991744,2019-12-18T12:26:31.744,0.220,-0.800,2.752,-1.258
1576671991763,2019-12-18T12:26:31.763,0.239,0.274,3.415,-1.349
1576671991783,2019-12-18T12:26:31.783,0.259,1.959,3.758,-1.341
1576671991803,2019-12-18T12:26:31.803,0.279,1.410,3.849,-0.892
1576671991823,2019-12-18T12:26:31.823,0.299,0.709,2.866,-0.595
1576671991842,2019-12-18T12:26:31.842,0.318,0.518,1.639,-0.976
1576671991863,2019-12-18T12:26:31.863,0.339,0.274,1.311,-0.960
1576671991883,2019-12-18T12:26:31.883,0.359,-0.793,2.561,-0.884
1576671991902,2019-12-18T12:26:31.902,0.378,-1.288,3.735,-1.151
1576671991923,2019-12-18T12:26:31.923,0.399,0.290,4.245,-0.800
1576671991942,2019-12-18T12:26:31.942,0.418,1.936,1.090,0.564
1576671991962,2019-12-18T12:26:31.962,0.438,4.436,-0.823,0.869
1576671991981,2019-12-18T12:26:31.981,0.457,0.861,1.311,-0.343
1576671992002,2019-12-18T12:26:32.002,0.478,-0.503,1.410,-1.502
1576671992022,2019-12-18T12:26:32.022,0.498,0.877,-1.098,-1.082
1576671992041,2019-12-18T12:26:32.041,0.517,-0.427,-1.059,-0.564
1576671992062,2019-12-18T12:26:32.062,0.538,1.662,-0.678,-0.968
1576671992081,2019-12-18T12:26:32.081,0.557,3.445,-0.777,-0.960
1576671992101,2019-12-18T12:26:32.101,0.577,0.587,0.091,-0.351
1576671992120,2019-12-18T12:26:32.120,0.596,0.610,0.183,-0.473
1576671992141,2019-12-18T12:26:32.141,0.617,2.348,-0.061,-1.067
1576671992161,2019-12-18T12:26:32.161,0.637,2.767,0.450,-1.463
1576671992180,2019-12-18T12:26:32.180,0.656,3.407,0.800,-1.555
1576671992201,2019-12-18T12:26:32.201,0.677,3.720,1.319,-1.402
1576671992220,2019-12-18T12:26:32.220,0.696,3.605,1.372,-1.189
1576671992240,2019-12-18T12:26:32.240,0.716,2.470,1.296,-0.671
1576671992260,2019-12-18T12:26:32.260,0.736,2.188,0.930,-0.442
1576671992280,2019-12-18T12:26:32.280,0.756,2.538,0.739,-0.793
1576671992301,2019-12-18T12:26:32.301,0.777,1.814,1.311,-1.159
1576671992320,2019-12-18T12:26:32.320,0.796,1.235,1.311,-1.288
1576671992340,2019-12-18T12:26:32.340,0.816,2.081,0.366,-1.441
1576671992359,2019-12-18T12:26:32.359,0.835,2.912,-0.389,-1.654
1576671992380,2019-12-18T12:26:32.380,0.856,2.965,-0.983,-2.027
1576671992399,2019-12-18T12:26:32.399,0.875,3.209,-1.578,-2.515
1576671992419,2019-12-18T12:26:32.419,0.895,3.415,-1.639,-2.889
1576671992438,2019-12-18T12:26:32.438,0.914,3.056,-0.991,-3.018
1576671992459,2019-12-18T12:26:32.459,0.935,1.791,0.198,-3.262
1576671992479,2019-12-18T12:26:32.479,0.955,1.357,0.556,-3.491
1576671992498,2019-12-18T12:26:32.498,0.974,4.078,-0.747,-3.941
1576671992519,2019-12-18T12:26:32.519,0.995,7.546,-2.332,-4.131
1576671992538,2019-12-18T12:26:32.538,1.014,8.788,-2.988,-3.232
1576671992558,2019-12-18T12:26:32.558,1.034,7.851,-2.180,-2.180
1576671992577,2019-12-18T12:26:32.577,1.053,5.610,-1.059,-1.921
1576671992598,2019-12-18T12:26:32.598,1.074,2.835,-0.122,-2.119
1576671992618,2019-12-18T12:26:32.618,1.094,1.883,0.404,-2.279
1576671992637,2019-12-18T12:26:32.637,1.113,2.919,-0.015,-2.546
1576671992658,2019-12-18T12:26:32.658,1.134,2.660,0.206,-2.927
1576671992677,2019-12-18T12:26:32.677,1.153,1.692,-0.282,-2.553
1576671992698,2019-12-18T12:26:32.698,1.174,2.698,-2.500,-0.823
1576671992717,2019-12-18T12:26:32.717,1.193,-1.075,-0.389,0.770
1576671992737,2019-12-18T12:26:32.737,1.213,-1.166,0.442,0.495
1576671992758,2019-12-18T12:26:32.758,1.234,1.646,-1.021,-0.183
1576671992777,2019-12-18T12:26:32.777,1.253,0.366,-1.966,-0.252
1576671992797,2019-12-18T12:26:32.797,1.273,0.564,-0.663,-0.556
1576671992816,2019-12-18T12:26:32.816,1.292,1.387,0.724,-0.412
1576671992837,2019-12-18T12:26:32.837,1.313,-0.869,1.791,0.770
1576671992856,2019-12-18T12:26:32.856,1.332,-0.579,0.953,1.692
1576671992876,2019-12-18T12:26:32.876,1.352,-0.450,0.457,1.715
1576671992897,2019-12-18T12:26:32.897,1.373,-0.648,-0.107,1.502
1576671992916,2019-12-18T12:26:32.916,1.392,-1.616,-0.160,1.700
1576671992936,2019-12-18T12:26:32.936,1.412,-2.424,0.587,1.822
1576671992955,2019-12-18T12:26:32.955,1.431,-1.288,0.686,1.578
1576671992976,2019-12-18T12:26:32.976,1.452,-0.831,0.168,1.585
1576671992995,2019-12-18T12:26:32.995,1.471,-0.884,-0.168,1.784
1576671993015,2019-12-18T12:26:33.015,1.491,-0.846,-0.252,1.905
1576671993036,2019-12-18T12:26:33.036,1.512,-1.319,0.107,1.646
1576671993055,2019-12-18T12:26:33.055,1.531,-1.341,0.564,1.159
1576671993075,2019-12-18T12:26:33.075,1.551,-0.816,0.694,0.823
1576671993095,2019-12-18T12:26:33.095,1.571,-0.191,0.130,0.762
1576671993115,2019-12-18T12:26:33.115,1.591,0.198,-0.343,0.579
1576671993134,2019-12-18T12:26:33.134,1.610,0.114,-0.145,0.252
1576671993155,2019-12-18T12:26:33.155,1.631,0.038,0.152,0.030
1576671993174,2019-12-18T12:26:33.174,1.650,0.313,0.244,-0.023
1576671993194,2019-12-18T12:26:33.194,1.670,0.229,0.480,-0.046
1576671993215,2019-12-18T12:26:33.215,1.691,0.434,0.274,0.145
1576671993234,2019-12-18T12:26:33.234,1.710,0.899,-0.404,0.145
1576671993254,2019-12-18T12:26:33.254,1.730,0.823,-0.556,0.076
